Date,ExpDate,Strike Price,Call/Put,Market Price,Delta,Gamma,Vega,Theta
24/04/2009,15/05/2009,320,Put,0,-0.893,0.03,2.742,-4.379
24/04/2009,15/05/2009,330,Put,0,-1.232,0.041,3.626,-5.662
24/04/2009,15/05/2009,340,Call,0,98.009,0.062,5.472,-8.665
24/04/2009,15/05/2009,340,Put,0,-1.69,0.055,4.759,-7.265
24/04/2009,15/05/2009,350,Call,0,97.367,0.081,6.921,-10.673
24/04/2009,15/05/2009,350,Put,0,-2.305,0.074,6.193,-9.241
24/04/2009,15/05/2009,360,Call,0,96.529,0.105,8.701,-13.061
24/04/2009,15/05/2009,360,Put,0,-3.126,0.099,7.982,-11.642
24/04/2009,15/05/2009,370,Call,0,95.44,0.135,10.859,-15.861
24/04/2009,15/05/2009,370,Put,0,-4.209,0.13,10.182,-14.508
24/04/2009,15/05/2009,380,Call,0,94.035,0.173,13.438,-19.092
24/04/2009,15/05/2009,380,Put,0,-5.626,0.168,12.835,-17.862
24/04/2009,15/05/2009,390,Call,0,92.235,0.219,16.465,-22.744
24/04/2009,15/05/2009,390,Put,0,-7.458,0.216,15.969,-21.696
24/04/2009,15/05/2009,400,Call,74.3,89.953,0.274,19.944,-26.769
24/04/2009,15/05/2009,400,Put,3.11,-9.795,0.272,19.578,-26.016
24/04/2009,15/05/2009,410,Call,65.13,87.092,0.339,23.835,-31.067
24/04/2009,15/05/2009,410,Put,4.2,-12.733,0.338,23.611,-30.836
24/04/2009,15/05/2009,420,Call,56.55,83.551,0.413,28.044,-35.469
24/04/2009,15/05/2009,420,Put,5.49,-16.366,0.413,27.952,-35.231
24/04/2009,15/05/2009,430,Call,48.6,79.237,0.493,32.4,-39.732
24/04/2009,15/05/2009,430,Put,7.2,-20.775,0.493,32.411,-39.669
24/04/2009,15/05/2009,440,Call,40.72,74.077,0.578,36.647,-43.531
24/04/2009,15/05/2009,440,Put,9.43,-26.014,0.576,36.713,-43.927
24/04/2009,15/05/2009,450,Call,33.62,68.035,0.661,40.439,-46.309
