Date,Exp.Date,Strike Price,Call/Put,Market Price,Delta,Gamma,Vega,Theta
10/01/2008,18/01/2008,540,Put,0.08,-0.122,0.006,0.427,-1.272
10/01/2008,18/01/2008,550,Put,0.07,-0.162,0.008,0.555,-1.613
10/01/2008,18/01/2008,560,Call,151.2,99.324,0.027,1.997,-11.8
10/01/2008,18/01/2008,560,Put,0.07,-0.218,0.011,0.727,-2.061
10/01/2008,18/01/2008,570,Call,140.15,99.174,0.034,2.382,-12.935
10/01/2008,18/01/2008,570,Put,0.2,-0.297,0.016,0.959,-2.653
10/01/2008,18/01/2008,580,Call,129.1,98.98,0.043,2.865,-14.294
10/01/2008,18/01/2008,580,Put,0.13,-0.408,0.022,1.276,-3.442
10/01/2008,18/01/2008,590,Call,120.05,98.726,0.054,3.474,-15.933
10/01/2008,18/01/2008,590,Put,0.15,-0.567,0.03,1.71,-4.496
10/01/2008,18/01/2008,600,Call,109.15,98.39,0.07,4.249,-17.925
10/01/2008,18/01/2008,600,Put,0.2,-0.796,0.043,2.309,-8.185
10/01/2008,18/01/2008,610,Call,98.95,97.94,0.091,5.243,-20.362
10/01/2008,18/01/2008,610,Put,0.21,-1.131,0.061,3.138,-8.421
10/01/2008,18/01/2008,620,Call,89.05,97.327,0.12,6.525,-23.358
10/01/2008,18/01/2008,620,Put,0.28,-1.624,0.088,4.286,-10.511
10/01/2008,18/01/2008,630,Call,80.2,96.483,0.16,8.188,-27.05
10/01/2008,18/01/2008,630,Put,0.45,-2.355,0.126,5.873,-13.804
10/01/2008,18/01/2008,640,Call,69.65,95.304,0.215,10.35,-31.593
10/01/2008,18/01/2008,640,Put,0.5,-3.446,0.182,8.056,-18.35
10/01/2008,18/01/2008,650,Call,61,93.636,0.292,13.155,-37.139
10/01/2008,18/01/2008,650,Put,0.63,-5.078,0.263,11.02,-18.945
10/01/2008,18/01/2008,660,Call,52.75,91.251,0.398,16.762,-43.791
10/01/2008,18/01/2008,660,Put,0.9,-7.519,0.377,14.958,-24.121
10/01/2008,18/01/2008,670,Call,43,87.816,0.544,21.305,-51.489
10/01/2008,18/01/2008,670,Put,1.55,-11.143,0.535,20.003,-34.333
10/01/2008,18/01/2008,680,Call,33.9,82.855,0.738,26.795,-59.809
10/01/2008,18/01/2008,680,Put,2.78,-16.447,0.741,26.091,-48.532
10/01/2008,18/01/2008,690,Call,25.3,75.745,0.984,32.91,-62.845
10/01/2008,18/01/2008,690,Put,4.65,-24.085,0.989,32.785,-61.727
10/01/2008,18/01/2008,700,Call,18.8,65.725,1.257,38.666,-78.763
10/01/2008,18/01/2008,700,Put,7.66,-34.786,1.215,38.879,-72.95
10/01/2008,18/01/2008,710,Call,11.72,52.449,1.439,41.881,-74.909
10/01/2008,18/01/2008,710,Put,11.73,-47.62,1.318,41.885,-76.335
10/01/2008,18/01/2008,720,Call,7.85,38.039,1.404,40.067,-74.463
10/01/2008,18/01/2008,720,Put,17.12,-60.36,1.249,40.542,-71.486
