Date,ExpDate,Strike Price,Call/Put,Market Price,Delta,Gamma,Vega,Theta
07/02/2008,15/02/2008,540,Put,0.13,-0.323,0.015,1.008,-3.225
07/02/2008,15/02/2008,550,Call,147.95,97.34,0.072,6.332,-33.317
07/02/2008,15/02/2008,550,Put,0.1,-0.433,0.02,1.314,-4.109
07/02/2008,15/02/2008,560,Call,136.4,96.857,0.086,7.273,-36.723
07/02/2008,15/02/2008,560,Put,0.1,-0.587,0.028,1.722,-5.261
07/02/2008,15/02/2008,570,Call,125.55,96.263,0.103,8.384,-40.596
07/02/2008,15/02/2008,570,Put,0.13,-0.802,0.038,2.267,-6.766
07/02/2008,15/02/2008,580,Call,118.5,95.53,0.125,9.694,-44.996
07/02/2008,15/02/2008,580,Put,0.18,-1.105,0.053,2.999,-8.735
07/02/2008,15/02/2008,590,Call,110.7,94.619,0.151,11.242,-49.983
07/02/2008,15/02/2008,590,Put,0.15,-1.534,0.073,3.98,-11.307
07/02/2008,15/02/2008,600,Call,98.1,93.479,0.185,13.066,-55.609
07/02/2008,15/02/2008,600,Put,0.45,-2.144,0.101,5.293,-15.756
07/02/2008,15/02/2008,610,Call,90.15,92.048,0.226,15.211,-61.909
07/02/2008,15/02/2008,610,Put,0.48,-3.017,0.141,7.041,-16.282
07/02/2008,15/02/2008,620,Call,77.8,90.241,0.276,17.716,-68.879
07/02/2008,15/02/2008,620,Put,0.69,-4.266,0.196,9.348,-24.489
07/02/2008,15/02/2008,630,Call,68.05,87.952,0.339,20.612,-76.444
07/02/2008,15/02/2008,630,Put,1.45,-6.056,0.272,12.348,-36.823
07/02/2008,15/02/2008,640,Call,57.85,85.047,0.415,23.902,-84.422
07/02/2008,15/02/2008,640,Put,1.63,-8.608,0.375,16.158,-38.489
07/02/2008,15/02/2008,650,Call,49.15,81.36,0.506,27.545,-92.45
07/02/2008,15/02/2008,650,Put,2.33,-12.217,0.508,20.826,-47.495
07/02/2008,15/02/2008,660,Call,40.55,76.696,0.612,31.41,-99.912
07/02/2008,15/02/2008,660,Put,3.48,-17.245,0.676,26.242,-58.687
07/02/2008,15/02/2008,670,Call,32.8,70.844,0.73,35.232,-106.421
07/02/2008,15/02/2008,670,Put,5.5,-24.089,0.872,31.993,-69.906
07/02/2008,15/02/2008,680,Call,25.15,63.607,0.851,38.545,-108.636
07/02/2008,15/02/2008,680,Put,7.59,-33.137,1.071,37.241,-77.657
07/02/2008,15/02/2008,690,Call,18.8,54.855,0.954,40.643,-110.136
07/02/2008,15/02/2008,690,Put,10.35,-44.361,1.225,40.538,-76.122
07/02/2008,15/02/2008,700,Call,12.7,44.92,1.003,40.615,-100.955
07/02/2008,15/02/2008,700,Put,15.93,-57.041,1.274,40.309,-77.48
07/02/2008,15/02/2008,710,Call,8.86,34.615,0.976,37.871,-93.359
07/02/2008,15/02/2008,710,Put,21.35,-69.785,1.177,35.819,-59.977
07/02/2008,15/02/2008,720,Call,5.34,24.986,0.867,32.629,-74.921
07/02/2008,15/02/2008,720,Put,27,-81.045,0.949,27.852,-16.065
07/02/2008,15/02/2008,730,Call,2.8,16.791,0.704,25.803,-52.36
07/02/2008,15/02/2008,730,Put,35.75,-89.69,0.653,18.474,-26.452
07/02/2008,15/02/2008,740,Call,1.67,10.355,0.518,18.521,-38.335
07/02/2008,15/02/2008,740,Put,44.85,-95.295,0.372,10.139,-11.321
