Date,Exp.Date,Strike Price,Call/Put,Market Price,Delta,Gamma,Vega,Theta
08/06/2007,15/06/2007,700,Put,0.25,-0.633,0.031,2.055,-5.916
08/06/2007,15/06/2007,710,Call,117.8,99.967,0.003,0.141,-9.225
08/06/2007,15/06/2007,710,Put,0.17,-0.783,0.04,2.481,-8.031
08/06/2007,15/06/2007,720,Call,109.2,99.939,0.006,0.249,-9.519
08/06/2007,15/06/2007,720,Put,0.2,-0.985,0.052,3.033,-9.11
08/06/2007,15/06/2007,730,Call,98.9,99.885,0.011,0.444,-9.946
08/06/2007,15/06/2007,730,Put,0.22,-1.262,0.069,3.761,-9.715
08/06/2007,15/06/2007,740,Call,87.9,99.782,0.021,0.797,-10.615
08/06/2007,15/06/2007,740,Put,0.25,-1.648,0.092,4.732,-10.626
08/06/2007,15/06/2007,750,Call,78.3,99.58,0.039,1.437,-11.718
08/06/2007,15/06/2007,750,Put,0.32,-2.201,0.127,6.05,-12.812
08/06/2007,15/06/2007,760,Call,68.3,99.183,0.074,2.586,-13.582
08/06/2007,15/06/2007,760,Put,0.46,-3.011,0.177,7.861,-16.946
08/06/2007,15/06/2007,770,Call,58.4,98.407,0.14,4.613,-16.734
08/06/2007,15/06/2007,770,Put,0.63,-4.228,0.253,10.378,-21.075
08/06/2007,15/06/2007,780,Call,48.8,96.901,0.258,8.069,-21.923
08/06/2007,15/06/2007,780,Put,0.85,-6.106,0.368,13.897,-25.645
08/06/2007,15/06/2007,790,Call,39.2,94.048,0.463,13.638,-29.979
08/06/2007,15/06/2007,790,Put,1.25,-9.076,0.545,18.789,-32.561
08/06/2007,15/06/2007,800,Call,29.85,88.853,0.786,21.83,-40.482
08/06/2007,15/06/2007,800,Put,1.95,-13.863,0.814,25.4,-41.49
08/06/2007,15/06/2007,810,Call,20.9,79.975,1.233,32.165,-51.157
08/06/2007,15/06/2007,810,Put,3.22,-22.003,1.193,33.982,-51.512
08/06/2007,15/06/2007,820,Call,13.49,66.101,1.705,41.964,-64.808
08/06/2007,15/06/2007,820,Put,5.53,-35.012,1.591,42.47,-59.642
08/06/2007,15/06/2007,825,Call,10.42,57.315,1.869,44.954,-67.95
08/06/2007,15/06/2007,825,Put,7.51,-43.18,1.723,45.055,-62.709
08/06/2007,15/06/2007,830,Call,7.76,47.79,1.934,45.652,-67.287
08/06/2007,15/06/2007,830,Put,9.62,-51.933,1.769,45.669,-60.285
08/06/2007,15/06/2007,840,Call,3.37,29.09,1.706,39.323,-50.707
08/06/2007,15/06/2007,840,Put,15.49,-68.748,1.572,40.601,-47.458
08/06/2007,15/06/2007,850,Call,1.36,14.78,1.157,26.544,-31.665
08/06/2007,15/06/2007,850,Put,23.25,-81.517,1.151,30.638,-29.069
08/06/2007,15/06/2007,860,Call,0.55,6.469,0.627,14.574,-17.385
08/06/2007,15/06/2007,860,Put,32.51,-89.848,0.742,20.417,-19.45
08/06/2007,15/06/2007,870,Call,0.28,2.474,0.284,6.714,-10.645
08/06/2007,15/06/2007,870,Put,42.4,-94.759,0.434,12.347,-7.007
08/06/2007,15/06/2007,880,Call,0.15,0.83,0.109,2.638,-2.832
08/06/2007,15/06/2007,880,Put,52.25,-97.423,0.236,6.931,1.257
08/06/2007,15/06/2007,890,Call,0.25,0.247,0.037,0.9,-0.897
08/06/2007,15/06/2007,890,Put,62.1,-98.779,0.121,3.676,6.168
08/06/2007,15/06/2007,900,Call,0.3,0.066,0.011,0.272,-0.25
08/06/2007,15/06/2007,900,Put,72.2,-99.437,0.06,1.869,8.884
08/06/2007,15/06/2007,910,Call,0.08,0.016,0.003,0.074,-0.062
08/06/2007,15/06/2007,910,Put,81.2,-99.745,0.029,0.921,10.33
08/06/2007,15/06/2007,920,Call,0.05,0.004,0.001,0.018,-0.014
08/06/2007,15/06/2007,920,Put,91.2,-99.886,0.013,0.444,11.101
08/06/2007,15/06/2007,930,Call,0.08,0.001,0,0.004,-0.003
08/06/2007,15/06/2007,930,Put,101.6,-99.949,0.006,0.211,11.533
08/06/2007,15/06/2007,940,Call,0.2,0,0,0.001,-0.001
08/06/2007,15/06/2007,940,Put,111.7,-99.977,0.003,0.099,11.801
08/06/2007,15/06/2007,950,Call,0.08,0,0,0,0
08/06/2007,15/06/2007,950,Put,121.5,-99.99,0.001,0.047,11.993
08/06/2007,20/07/2007,700,Put,1.38,-3.992,0.103,24.236,-7.976
08/06/2007,20/07/2007,710,Call,121.35,95.267,0.123,27.797,-17.82
08/06/2007,20/07/2007,710,Put,1.7,-4.9,0.125,28.578,-9.131
08/06/2007,20/07/2007,720,Call,111.85,94.238,0.149,32.485,-19.08
08/06/2007,20/07/2007,720,Put,2.14,-6.017,0.152,33.6,-10.537
08/06/2007,20/07/2007,730,Call,102.5,92.972,0.179,37.898,-20.452
08/06/2007,20/07/2007,730,Put,2.65,-7.385,0.183,39.358,-12.015
08/06/2007,20/07/2007,740,Call,94,91.416,0.216,44.09,-21.926
08/06/2007,20/07/2007,740,Put,3.21,-9.058,0.22,45.884,-13.334
08/06/2007,20/07/2007,750,Call,84.45,89.508,0.259,51.096,-23.483
08/06/2007,20/07/2007,750,Put,3.99,-11.094,0.263,53.178,-14.933
08/06/2007,20/07/2007,760,Call,74.65,87.172,0.31,58.902,-23.654
08/06/2007,20/07/2007,760,Put,5.02,-13.56,0.312,61.187,-16.718
08/06/2007,20/07/2007,770,Call,65.8,84.327,0.368,67.424,-25.526
08/06/2007,20/07/2007,770,Put,6.15,-16.526,0.367,69.782,-18.192
08/06/2007,20/07/2007,780,Call,58.3,80.883,0.434,76.478,-29.35
08/06/2007,20/07/2007,780,Put,7.67,-20.062,0.427,78.736,-19.848
08/06/2007,20/07/2007,790,Call,49.6,76.745,0.506,85.742,-29.87
08/06/2007,20/07/2007,790,Put,9.4,-24.236,0.492,87.696,-20.997
08/06/2007,20/07/2007,800,Call,41.6,71.801,0.58,94.756,-30.693
08/06/2007,20/07/2007,800,Put,11.5,-29.099,0.558,96.168,-21.729
08/06/2007,20/07/2007,810,Call,34.57,66.005,0.652,102.746,-31.618
08/06/2007,20/07/2007,810,Put,14.4,-34.677,0.621,103.512,-22.492
08/06/2007,20/07/2007,820,Call,27.6,59.396,0.714,108.73,-31.254
08/06/2007,20/07/2007,820,Put,17.63,-40.957,0.677,108.959,-22.178
08/06/2007,20/07/2007,825,Call,0,55.825,0.739,110.645,-30.82
08/06/2007,20/07/2007,825,Put,0,-44.34,0.701,110.711,-21.756
08/06/2007,20/07/2007,830,Call,21.72,52.108,0.757,111.68,-30.5
08/06/2007,20/07/2007,830,Put,21.5,-47.867,0.719,111.676,-21.114
08/06/2007,20/07/2007,840,Call,16.56,44.379,0.774,110.732,-28.869
08/06/2007,20/07/2007,840,Put,26.17,-55.264,0.74,110.868,-19.207
08/06/2007,20/07/2007,850,Call,12.2,36.536,0.757,105.445,-26.231
08/06/2007,20/07/2007,850,Put,31.48,-62.924,0.734,105.951,-16.23
08/06/2007,20/07/2007,860,Call,8.25,28.962,0.707,95.993,-22.193
08/06/2007,20/07/2007,860,Put,37.55,-70.548,0.696,96.739,-12.324
08/06/2007,20/07/2007,870,Call,5.5,22.031,0.627,83.227,-18.209
08/06/2007,20/07/2007,870,Put,45,-77.781,0.625,83.629,-8.938
08/06/2007,20/07/2007,880,Call,3.49,16.04,0.527,68.534,-14.117
08/06/2007,20/07/2007,880,Put,52.8,-84.258,0.526,67.704,-4.822
08/06/2007,20/07/2007,890,Call,2.2,11.162,0.418,53.521,-10.649
08/06/2007,20/07/2007,890,Put,61.8,-89.668,0.409,50.647,0.88
08/06/2007,20/07/2007,900,Call,1.4,7.423,0.314,39.636,-7.917
08/06/2007,20/07/2007,900,Put,70.65,-93.823,0.29,34.442,4.729
08/06/2007,20/07/2007,910,Call,0.95,4.706,0.223,27.8,-6.122
08/06/2007,20/07/2007,910,Put,80.15,-96.704,0.183,20.866,7.721
08/06/2007,20/07/2007,920,Call,0.55,2.825,0.149,18.367,-4.077
08/06/2007,20/07/2007,920,Put,89.57,-98.471,0.1,10.983,9.771
08/06/2007,20/07/2007,930,Call,0.33,1.6,0.093,11.395,-2.756
08/06/2007,20/07/2007,930,Put,99.18,-99.402,0.046,4.868,10.995
08/06/2007,20/07/2007,940,Call,0.22,0.851,0.055,6.617,-2.022
08/06/2007,20/07/2007,940,Put,108.8,-99.811,0.017,1.747,11.637
08/06/2007,20/07/2007,950,Call,0.25,0.424,0.03,3.584,-0.636
08/06/2007,20/07/2007,950,Put,118.55,-99.954,0.005,0.483,11.955
08/06/2007,17/08/2007,700,Put,3.4,-7.232,0.134,49.935,-9.153
08/06/2007,17/08/2007,710,Call,125.6,91.769,0.153,55.083,-18.813
08/06/2007,17/08/2007,710,Put,4.15,-8.474,0.154,56.293,-10.298
08/06/2007,17/08/2007,720,Call,116,90.389,0.176,61.8,-19.799
