Date,ExpDate,Strike Price,Call/Put,Market Price,Delta,Gamma,Vega,Theta
11/06/2009,19/06/2009,390,Put,0.05,-0.195,0.011,0.487,-1.758
11/06/2009,19/06/2009,400,Call,130.1,99.404,0.028,1.33,-5.313
11/06/2009,19/06/2009,400,Put,0.1,-0.264,0.015,0.643,-2.24
11/06/2009,19/06/2009,410,Call,120.07,99.224,0.037,1.679,-6.463
11/06/2009,19/06/2009,410,Put,0.12,-0.365,0.021,0.859,-2.887
11/06/2009,19/06/2009,420,Call,110,98.977,0.05,2.14,-7.93
11/06/2009,19/06/2009,420,Put,0.15,-0.511,0.03,1.162,-3.762
11/06/2009,19/06/2009,430,Call,100.29,98.631,0.068,2.755,-9.813
11/06/2009,19/06/2009,430,Put,0.18,-0.728,0.044,1.59,-7.417
11/06/2009,19/06/2009,440,Call,90.45,98.14,0.094,3.582,-12.243
11/06/2009,19/06/2009,440,Put,0.2,-1.055,0.064,2.2,-7.988
11/06/2009,19/06/2009,450,Call,80.03,97.434,0.132,4.699,-15.387
11/06/2009,19/06/2009,450,Put,0.27,-1.556,0.096,3.078,-10.048
11/06/2009,19/06/2009,460,Call,70.5,96.403,0.186,6.214,-19.449
11/06/2009,19/06/2009,460,Put,0.32,-2.337,0.144,4.347,-11.353
11/06/2009,19/06/2009,470,Call,60.65,94.879,0.264,8.263,-24.659
11/06/2009,19/06/2009,470,Put,0.5,-3.568,0.219,6.176,-15.823
11/06/2009,19/06/2009,480,Call,51.13,92.601,0.378,11.008,-31.221
11/06/2009,19/06/2009,480,Put,0.77,-5.531,0.334,8.787,-21.477
11/06/2009,19/06/2009,490,Call,41.58,89.174,0.54,14.6,-39.194
11/06/2009,19/06/2009,490,Put,1.2,-8.678,0.508,12.42,-28.576
11/06/2009,19/06/2009,500,Call,32.42,84.023,0.765,19.083,-48.235
11/06/2009,19/06/2009,500,Put,1.98,-13.698,0.762,17.222,-38.256
11/06/2009,19/06/2009,510,Call,23.93,76.378,1.054,24.181,-56.68
11/06/2009,19/06/2009,510,Put,3.4,-21.553,1.104,22.964,-49.81
11/06/2009,19/06/2009,520,Call,16.2,65.39,1.38,28.93,-63.418
11/06/2009,19/06/2009,520,Put,5.7,-33.441,1.487,28.554,-58.377
11/06/2009,19/06/2009,530,Call,9.88,50.638,1.61,31.278,-64.353
11/06/2009,19/06/2009,530,Put,9.47,-49.449,1.731,31.279,-60.644
11/06/2009,19/06/2009,540,Call,5.34,34.244,1.559,28.818,-56.187
11/06/2009,19/06/2009,540,Put,14.83,-66.823,1.64,28.468,-50.913
11/06/2009,19/06/2009,550,Call,2.47,20.148,1.218,22.077,-39.984
11/06/2009,19/06/2009,550,Put,22.34,-81.559,1.236,20.921,-36.511
11/06/2009,19/06/2009,560,Call,1.03,10.434,0.789,14.233,-23.826
11/06/2009,19/06/2009,560,Put,30.87,-91.588,0.735,12.15,-19.721
11/06/2009,19/06/2009,570,Call,0.42,4.694,0.43,7.727,-12.744
11/06/2009,19/06/2009,570,Put,40.17,-96.952,0.337,5.444,-8.21
11/06/2009,19/06/2009,580,Call,0.18,1.828,0.198,3.545,-6.661
11/06/2009,19/06/2009,580,Put,50.18,-99.151,0.116,1.831,-2.592
11/06/2009,19/06/2009,590,Call,0.1,0.615,0.077,1.379,-2.052
11/06/2009,19/06/2009,590,Put,60.05,-99.825,0.029,0.449,-0.676
11/06/2009,19/06/2009,600,Call,0.1,0.179,0.025,0.456,-0.627
11/06/2009,19/06/2009,600,Put,70.07,-99.974,0.005,0.078,-0.227
11/06/2009,19/06/2009,610,Call,0.05,0.045,0.007,0.128,-0.162
11/06/2009,19/06/2009,610,Put,79.67,-99.997,0.001,0.009,-0.158
11/06/2009,19/06/2009,620,Call,0.05,0.01,0.002,0.031,-0.035
11/06/2009,19/06/2009,620,Put,89.95,-100,0,0.001,-0.153
11/06/2009,19/06/2009,630,Call,0.03,0.002,0,0.006,-0.007
11/06/2009,19/06/2009,630,Put,99.82,-100,0,0,-0.155
11/06/2009,19/06/2009,640,Call,0.03,0,0,0.001,-0.001
11/06/2009,19/06/2009,640,Put,109.43,-100,0,0,-0.157
11/06/2009,19/06/2009,650,Call,0.07,0,0,0,0
11/06/2009,19/06/2009,650,Put,119.89,-100,0,0,-0.159
11/06/2009,19/06/2009,660,Call,0.07,0,0,0,0
11/06/2009,19/06/2009,660,Put,131.68,-100,0,0,-0.162
11/06/2009,19/06/2009,670,Call,0.02,0,0,0,0
11/06/2009,19/06/2009,670,Put,141.73,-100,0,0,-0.164
11/06/2009,19/06/2009,680,Put,149.56,-100,0,0,-0.167
11/06/2009,19/06/2009,690,Put,159.71,-100,0,0,-0.169
11/06/2009,19/06/2009,700,Put,175.87,-100,0,0,-0.172
11/06/2009,17/07/2009,390,Put,0.8,-2.332,0.065,9.19,-6.464
11/06/2009,17/07/2009,400,Call,130.35,96.397,0.092,13.178,-9.333
11/06/2009,17/07/2009,400,Put,1,-2.982,0.083,11.281,-7.576
11/06/2009,17/07/2009,410,Call,120.94,95.512,0.114,15.748,-10.82
11/06/2009,17/07/2009,410,Put,1.3,-3.807,0.104,13.788,-9.112
11/06/2009,17/07/2009,420,Call,110.62,94.413,0.14,18.748,-12.492
11/06/2009,17/07/2009,420,Put,1.63,-4.85,0.131,16.763,-10.596
11/06/2009,17/07/2009,430,Call,101.59,93.053,0.171,22.215,-14.351
11/06/2009,17/07/2009,430,Put,2.1,-6.164,0.163,20.253,-12.487
11/06/2009,17/07/2009,440,Call,92.14,91.375,0.209,26.173,-16.386
11/06/2009,17/07/2009,440,Put,2.67,-7.809,0.202,24.292,-14.452
11/06/2009,17/07/2009,450,Call,83.14,89.316,0.253,30.626,-18.572
11/06/2009,17/07/2009,450,Put,3.4,-9.855,0.248,28.886,-16.644
11/06/2009,17/07/2009,460,Call,73.68,86.806,0.304,35.539,-20.864
11/06/2009,17/07/2009,460,Put,4.36,-12.378,0.302,34.001,-19.081
11/06/2009,17/07/2009,470,Call,65.12,83.768,0.362,40.831,-23.193
11/06/2009,17/07/2009,470,Put,5.6,-15.459,0.363,39.549,-21.644
11/06/2009,17/07/2009,480,Call,56.7,80.126,0.426,46.353,-25.459
11/06/2009,17/07/2009,480,Put,7.1,-19.178,0.431,45.364,-24.065
11/06/2009,17/07/2009,490,Call,48.56,75.81,0.494,51.877,-27.528
11/06/2009,17/07/2009,490,Put,9,-23.606,0.503,51.191,-26.358
11/06/2009,17/07/2009,500,Call,40.87,70.768,0.564,57.077,-29.239
11/06/2009,17/07/2009,500,Put,11.37,-28.795,0.576,56.678,-28.298
11/06/2009,17/07/2009,510,Call,33.7,64.974,0.631,61.538,-30.362
11/06/2009,17/07/2009,510,Put,14.23,-34.758,0.646,61.366,-29.64
11/06/2009,17/07/2009,520,Call,27.14,58.448,0.688,64.764,-30.855
