Date,Exp.Date,Strike Price,Call/Put,Market Price,Delta,Gamma,Vega,Theta
17/09/2008,19/09/2008,510,Put,0.13,-0.075,0.004,0.133,-1.417
17/09/2008,19/09/2008,520,Put,0.13,-0.098,0.005,0.17,-1.814
17/09/2008,19/09/2008,530,Call,164.74,98.915,0.034,1.472,-33.12
17/09/2008,19/09/2008,530,Put,0.13,-0.129,0.007,0.219,-2.347
17/09/2008,19/09/2008,540,Call,153.92,98.758,0.04,1.656,-36.271
17/09/2008,19/09/2008,540,Put,0.11,-0.173,0.009,0.286,-3.071
17/09/2008,19/09/2008,550,Call,144.66,98.566,0.048,1.874,-40.001
17/09/2008,19/09/2008,550,Put,0.15,-0.233,0.013,0.376,-4.065
17/09/2008,19/09/2008,560,Call,133.75,98.33,0.058,2.136,-44.455
17/09/2008,19/09/2008,560,Put,0.07,-0.319,0.017,0.499,-5.446
17/09/2008,19/09/2008,570,Call,124.15,98.036,0.07,2.453,-49.822
17/09/2008,19/09/2008,570,Put,0.15,-0.442,0.024,0.667,-7.387
17/09/2008,19/09/2008,580,Call,114.44,97.665,0.086,2.839,-56.35
17/09/2008,19/09/2008,580,Put,0.15,-0.619,0.034,0.901,-10.146
17/09/2008,19/09/2008,590,Call,104.3,97.191,0.106,3.315,-64.368
17/09/2008,19/09/2008,590,Put,0.2,-0.878,0.049,1.226,-19.303
17/09/2008,19/09/2008,600,Call,94.2,96.576,0.133,3.905,-74.31
17/09/2008,19/09/2008,600,Put,0.3,-1.262,0.071,1.68,-28.525
17/09/2008,19/09/2008,610,Call,84.29,95.764,0.169,4.644,-86.744
17/09/2008,19/09/2008,610,Put,0.38,-1.834,0.103,2.317,-35.732
17/09/2008,19/09/2008,620,Call,74.5,94.678,0.217,5.576,-102.408
17/09/2008,19/09/2008,620,Put,0.52,-2.698,0.15,3.208,-47.9
17/09/2008,19/09/2008,630,Call,64.54,93.197,0.283,6.756,-122.216
17/09/2008,19/09/2008,630,Put,0.72,-4.009,0.22,4.444,-64.276
17/09/2008,19/09/2008,640,Call,54.14,91.143,0.374,8.253,-147.206
17/09/2008,19/09/2008,640,Put,1.02,-6.005,0.322,6.134,-87.187
17/09/2008,19/09/2008,650,Call,45.47,88.246,0.498,10.137,-178.29
17/09/2008,19/09/2008,650,Put,1.53,-9.036,0.466,8.379,-122.245
17/09/2008,19/09/2008,660,Call,36.82,84.102,0.668,12.457,-215.549
17/09/2008,19/09/2008,660,Put,2.3,-13.599,0.665,11.221,-166.719
17/09/2008,19/09/2008,670,Call,27.36,78.115,0.895,15.174,-256.513
17/09/2008,19/09/2008,670,Put,3.46,-20.326,0.92,14.532,-217.128
17/09/2008,19/09/2008,680,Call,19.63,69.481,1.177,18.006,-292.754
17/09/2008,19/09/2008,680,Put,5.59,-29.891,1.211,17.839,-277.607
17/09/2008,19/09/2008,690,Call,12.91,57.291,1.47,20.154,-305.142
17/09/2008,19/09/2008,690,Put,8.77,-42.779,1.452,20.161,-309.963
17/09/2008,19/09/2008,700,Call,7.69,41.843,1.562,20.068,-291.48
17/09/2008,19/09/2008,700,Put,13.63,-57.633,1.48,20.122,-298.856
17/09/2008,19/09/2008,710,Call,4.01,27.415,1.334,17.124,-220.683
17/09/2008,19/09/2008,710,Put,20.45,-71.253,1.28,17.521,-246.318
17/09/2008,19/09/2008,720,Call,2.1,16.564,0.979,12.798,-147.45
17/09/2008,19/09/2008,720,Put,27.95,-82.079,0.975,13.456,-170.405
17/09/2008,19/09/2008,730,Call,1.02,9.251,0.641,8.531,-83.446
17/09/2008,19/09/2008,730,Put,36.72,-89.723,0.662,9.213,-100.858
17/09/2008,19/09/2008,740,Call,0.53,4.813,0.381,5.155,-47.316
17/09/2008,19/09/2008,740,Put,46.28,-94.563,0.405,5.677,-51.793
17/09/2008,19/09/2008,750,Call,0.27,2.352,0.208,2.864,-25.267
17/09/2008,19/09/2008,750,Put,56.57,-97.337,0.225,3.178,-23.033
17/09/2008,19/09/2008,760,Call,0.18,1.087,0.106,1.481,-17.201
17/09/2008,19/09/2008,760,Put,66.13,-98.787,0.114,1.628,-8.385
17/09/2008,19/09/2008,770,Call,0.12,0.479,0.051,0.72,-4.046
17/09/2008,19/09/2008,770,Put,76.19,-99.483,0.054,0.77,-1.695
17/09/2008,19/09/2008,780,Call,0.15,0.203,0.023,0.332,-1.624
17/09/2008,19/09/2008,780,Put,86.19,-99.794,0.023,0.338,1.112
17/09/2008,19/09/2008,790,Call,2.48,0.083,0.01,0.147,-0.631
17/09/2008,19/09/2008,790,Put,96.4,-99.922,0.009,0.138,2.22
17/09/2008,19/09/2008,800,Call,0.05,0.033,0.004,0.062,-0.239
17/09/2008,19/09/2008,800,Put,106.33,-99.972,0.004,0.053,2.645
17/09/2008,19/09/2008,810,Call,0.11,0.013,0.002,0.026,-0.089
17/09/2008,19/09/2008,810,Put,116.36,-99.991,0.001,0.019,2.814
17/09/2008,19/09/2008,820,Call,0.11,0.005,0.001,0.01,-0.032
17/09/2008,19/09/2008,820,Put,125.23,-99.997,0,0.007,2.894
17/09/2008,19/09/2008,830,Call,0.05,0.002,0,0.004,-0.012
17/09/2008,19/09/2008,830,Put,135.49,-99.999,0,0.002,2.943
17/09/2008,19/09/2008,840,Call,0.03,0.001,0,0.002,-0.004
17/09/2008,19/09/2008,840,Put,145.3,-100,0,0.001,2.982
17/09/2008,19/09/2008,850,Call,0.12,0,0,0.001,-0.001
17/09/2008,19/09/2008,850,Put,154.67,-100,0,0,3.019
17/09/2008,19/09/2008,860,Call,0.12,0,0,0,-0.001
17/09/2008,19/09/2008,860,Put,165,-100,0,0,3.055
17/09/2008,19/09/2008,870,Put,175,-100,0,0,3.091
17/09/2008,19/09/2008,880,Put,183.69,-100,0,0,3.126
17/09/2008,19/09/2008,890,Put,193.19,-100,0,0,3.162
17/09/2008,17/10/2008,510,Put,0.56,-1.516,0.037,7.625,-6.118
17/09/2008,17/10/2008,520,Put,0.71,-1.901,0.046,9.253,-7.337
17/09/2008,17/10/2008,530,Call,164.6,97.834,0.054,10.333,-9.979
17/09/2008,17/10/2008,530,Put,0.85,-2.379,0.057,11.181,-8.339
17/09/2008,17/10/2008,540,Call,156.48,97.286,0.067,12.486,-11.503
17/09/2008,17/10/2008,540,Put,1.15,-2.968,0.07,13.448,-10.442
