Date,ExpDate,Strike Price,Call/Put,Market Price,Delta,Gamma,Vega,Theta
10/06/2009,19/06/2009,390,Put,0.07,-0.192,0.011,0.503,-1.478
10/06/2009,19/06/2009,400,Call,121.39,99.735,0.016,0.674,-1.812
10/06/2009,19/06/2009,400,Put,0.1,-0.292,0.017,0.735,-2.113
10/06/2009,19/06/2009,410,Call,111.35,99.594,0.025,0.989,-2.633
10/06/2009,19/06/2009,410,Put,0.12,-0.448,0.027,1.079,-3.032
10/06/2009,19/06/2009,420,Call,101.76,99.372,0.038,1.457,-3.824
10/06/2009,19/06/2009,420,Put,0.13,-0.692,0.041,1.588,-4.358
10/06/2009,19/06/2009,430,Call,91.73,99.022,0.059,2.152,-5.545
10/06/2009,19/06/2009,430,Put,0.2,-1.075,0.063,2.337,-7.217
10/06/2009,19/06/2009,440,Call,81.92,98.467,0.092,3.176,-8.014
10/06/2009,19/06/2009,440,Put,0.28,-1.68,0.098,3.434,-9.368
10/06/2009,19/06/2009,450,Call,71.95,97.583,0.142,4.672,-11.51
10/06/2009,19/06/2009,450,Put,0.4,-2.633,0.15,5.019,-12.293
10/06/2009,19/06/2009,460,Call,62.19,96.183,0.218,6.818,-16.355
10/06/2009,19/06/2009,460,Put,0.65,-4.127,0.228,7.263,-17.608
10/06/2009,19/06/2009,470,Call,52.36,93.98,0.332,9.81,-22.846
10/06/2009,19/06/2009,470,Put,1,-6.445,0.342,10.345,-23.684
10/06/2009,19/06/2009,480,Call,43.02,90.563,0.493,13.807,-31.107
10/06/2009,19/06/2009,480,Put,1.6,-9.987,0.501,14.39,-32.034
10/06/2009,19/06/2009,490,Call,34.01,85.385,0.711,18.797,-40.804
10/06/2009,19/06/2009,490,Put,2.62,-15.262,0.712,19.347,-42.426
10/06/2009,19/06/2009,500,Call,25.62,77.818,0.979,24.391,-50.744
10/06/2009,19/06/2009,500,Put,4.3,-22.835,0.965,24.794,-53.616
10/06/2009,19/06/2009,510,Call,18.15,67.331,1.262,29.557,-58.139
10/06/2009,19/06/2009,510,Put,6.87,-33.224,1.221,29.757,-62.469
10/06/2009,19/06/2009,520,Call,11.86,53.849,1.467,32.533,-61.954
10/06/2009,19/06/2009,520,Put,10.61,-46.246,1.387,32.54,-65.861
10/06/2009,19/06/2009,530,Call,7.06,38.876,1.468,31.41,-57.806
10/06/2009,19/06/2009,530,Put,15.84,-60.227,1.375,31.608,-62.224
10/06/2009,19/06/2009,540,Call,3.76,25.187,1.244,26.158,-45.995
10/06/2009,19/06/2009,540,Put,22.53,-72.94,1.187,27.136,-51.808
10/06/2009,19/06/2009,550,Call,1.79,14.798,0.903,18.964,-31.137
10/06/2009,19/06/2009,550,Put,30.71,-83.116,0.907,20.67,-38.966
10/06/2009,19/06/2009,560,Call,0.82,7.842,0.574,12.037,-18.956
10/06/2009,19/06/2009,560,Put,39.35,-90.375,0.617,14.017,-25.71
10/06/2009,19/06/2009,570,Call,0.38,3.743,0.32,6.723,-10.944
10/06/2009,19/06/2009,570,Put,48.83,-94.996,0.375,8.49,-15.08
10/06/2009,19/06/2009,580,Call,0.17,1.61,0.158,3.322,-5.854
10/06/2009,19/06/2009,580,Put,58.57,-97.629,0.204,4.607,-7.911
10/06/2009,19/06/2009,590,Call,0.15,0.625,0.069,1.459,-2.122
10/06/2009,19/06/2009,590,Put,70.31,-98.977,0.1,2.246,-3.751
10/06/2009,19/06/2009,600,Call,0.1,0.219,0.027,0.572,-0.785
10/06/2009,19/06/2009,600,Put,78.69,-99.597,0.044,0.987,-1.646
10/06/2009,19/06/2009,610,Call,0.07,0.07,0.01,0.201,-0.259
10/06/2009,19/06/2009,610,Put,88.57,-99.855,0.017,0.392,-0.707
10/06/2009,19/06/2009,620,Call,0.07,0.02,0.003,0.064,-0.077
10/06/2009,19/06/2009,620,Put,98.61,-99.953,0.006,0.141,-0.336
10/06/2009,19/06/2009,630,Call,0.18,0.005,0.001,0.018,-0.02
10/06/2009,19/06/2009,630,Put,108.61,-99.986,0.002,0.046,-0.207
10/06/2009,19/06/2009,640,Call,0.05,0.001,0,0.005,-0.005
10/06/2009,19/06/2009,640,Put,120.56,-99.996,0.001,0.014,-0.167
10/06/2009,19/06/2009,650,Call,0.07,0,0,0.001,-0.001
10/06/2009,19/06/2009,650,Put,128.75,-99.999,0,0.004,-0.158
10/06/2009,19/06/2009,660,Call,0.07,0,0,0,0
10/06/2009,19/06/2009,660,Put,140.53,-100,0,0.001,-0.157
10/06/2009,19/06/2009,670,Call,0.02,0,0,0,0
10/06/2009,19/06/2009,670,Put,150.68,-100,0,0,-0.159
10/06/2009,19/06/2009,680,Put,158.51,-100,0,0,-0.161
10/06/2009,19/06/2009,690,Put,168.56,-100,0,0,-0.163
10/06/2009,19/06/2009,700,Put,184.49,-100,0,0,-0.165
10/06/2009,17/07/2009,390,Put,1.05,-3.039,0.082,11.444,-7.703
10/06/2009,17/07/2009,400,Call,122.01,95.99,0.105,14.362,-9.515
10/06/2009,17/07/2009,400,Put,1.35,-3.897,0.103,14.032,-9.175
10/06/2009,17/07/2009,410,Call,112.51,94.931,0.13,17.336,-11.168
10/06/2009,17/07/2009,410,Put,1.75,-4.978,0.129,17.088,-10.935
10/06/2009,17/07/2009,420,Call,102.58,93.61,0.161,20.797,-13.024
10/06/2009,17/07/2009,420,Put,2.28,-6.33,0.161,20.647,-12.965
