Date,Exp.Date,Strike Price,Call/Put,Market Price,Delta,Gamma,Vega,Theta
29/05/2008,20/06/2008,600,Put,0.21,-0.766,0.032,3.861,-2.944
29/05/2008,20/06/2008,610,Call,130.5,98.952,0.044,5.079,-6.589
29/05/2008,20/06/2008,610,Put,0.15,-1.03,0.043,5.003,-3.702
29/05/2008,20/06/2008,620,Call,121.25,98.588,0.059,6.573,-7.596
29/05/2008,20/06/2008,620,Put,0.3,-1.392,0.058,6.491,-4.579
29/05/2008,20/06/2008,630,Call,112.7,98.089,0.079,8.512,-8.847
29/05/2008,20/06/2008,630,Put,0.45,-1.889,0.079,8.427,-6.248
29/05/2008,20/06/2008,640,Call,99.25,97.403,0.107,11.016,-10.393
29/05/2008,20/06/2008,640,Put,0.55,-2.573,0.106,10.93,-7.193
29/05/2008,20/06/2008,650,Call,92.95,96.461,0.143,14.228,-12.289
29/05/2008,20/06/2008,650,Put,0.7,-3.514,0.143,14.144,-8.509
29/05/2008,20/06/2008,660,Call,79.7,95.168,0.192,18.302,-14.585
29/05/2008,20/06/2008,660,Put,1.02,-4.807,0.192,18.226,-11.026
29/05/2008,20/06/2008,670,Call,72.55,93.397,0.256,23.389,-17.312
29/05/2008,20/06/2008,670,Put,1.33,-6.58,0.255,23.326,-13.095
29/05/2008,20/06/2008,680,Call,64.2,90.986,0.338,29.605,-20.467
29/05/2008,20/06/2008,680,Put,2,-8.995,0.338,29.559,-16.923
29/05/2008,20/06/2008,690,Call,55.05,87.735,0.441,36.965,-23.974
29/05/2008,20/06/2008,690,Put,2.82,-12.253,0.441,36.941,-20.477
29/05/2008,20/06/2008,700,Call,43,83.407,0.565,45.304,-21.69
29/05/2008,20/06/2008,700,Put,3.7,-16.582,0.565,45.285,-23.145
29/05/2008,20/06/2008,710,Call,36.95,77.755,0.708,54.15,-34.829
29/05/2008,20/06/2008,710,Put,5.5,-22.14,0.709,54.005,-27.771
29/05/2008,20/06/2008,720,Call,29.5,70.552,0.858,62.616,-38.236
29/05/2008,20/06/2008,720,Put,7.64,-29.171,0.868,62.344,-30.62
29/05/2008,20/06/2008,730,Call,21.35,61.683,0.993,69.298,-36.649
29/05/2008,20/06/2008,730,Put,10.1,-37.948,1.029,69.098,-31.077
29/05/2008,20/06/2008,740,Call,15.05,51.382,1.082,72.371,-35.868
29/05/2008,20/06/2008,740,Put,13.59,-48.658,1.165,72.374,-29.909
29/05/2008,20/06/2008,750,Call,10.01,40.267,1.094,70.261,-33.048
