Date,ExpDate,Strike Price,Call/Put,Market Price,Delta,Gamma,Vega,Theta
28/07/2008,15/08/2008,550,Put,0.12,-0.255,0.012,1.25,-1.271
28/07/2008,15/08/2008,560,Put,0.08,-0.382,0.018,1.796,-1.798
28/07/2008,15/08/2008,570,Call,136.8,98.548,0.052,5.797,-9.227
28/07/2008,15/08/2008,570,Put,0.15,-0.57,0.027,2.565,-2.527
28/07/2008,15/08/2008,580,Call,125.73,98.118,0.067,7.233,-10.713
28/07/2008,15/08/2008,580,Put,0.2,-0.847,0.039,3.636,-4.009
28/07/2008,15/08/2008,590,Call,116.59,97.553,0.087,9.03,-12.501
28/07/2008,15/08/2008,590,Put,0.3,-1.253,0.056,5.111,-5.525
28/07/2008,15/08/2008,600,Call,106.95,96.806,0.113,11.267,-14.641
28/07/2008,15/08/2008,600,Put,0.38,-1.842,0.081,7.109,-6.604
28/07/2008,15/08/2008,610,Call,97.06,95.82,0.146,14.036,-17.185
28/07/2008,15/08/2008,610,Put,0.57,-2.686,0.114,9.769,-8.916
28/07/2008,15/08/2008,620,Call,87.11,94.517,0.189,17.431,-20.172
28/07/2008,15/08/2008,620,Put,0.85,-3.884,0.159,13.233,-11.927
28/07/2008,15/08/2008,630,Call,77.62,92.801,0.243,21.54,-23.624
28/07/2008,15/08/2008,630,Put,1.27,-5.558,0.218,17.629,-15.737
28/07/2008,15/08/2008,640,Call,68.22,90.549,0.311,26.426,-27.523
28/07/2008,15/08/2008,640,Put,1.83,-7.858,0.293,23.032,-19.917
28/07/2008,15/08/2008,650,Call,58.98,87.611,0.394,32.093,-31.787
28/07/2008,15/08/2008,650,Put,2.63,-10.953,0.385,29.419,-24.775
28/07/2008,15/08/2008,660,Call,50.36,83.815,0.492,38.439,-36.24
28/07/2008,15/08/2008,660,Put,3.81,-15.023,0.493,36.606,-30.317
28/07/2008,15/08/2008,670,Call,41.54,78.976,0.605,45.201,-39.869
28/07/2008,15/08/2008,670,Put,5.4,-20.231,0.614,44.188,-35.641
28/07/2008,15/08/2008,680,Call,33.7,72.922,0.727,51.877,-44.512
28/07/2008,15/08/2008,680,Put,7.44,-26.665,0.738,51.48,-40.109
28/07/2008,15/08/2008,690,Call,26.52,65.516,0.846,57.694,-47.839
28/07/2008,15/08/2008,690,Put,10.24,-34.35,0.854,57.61,-43.578
28/07/2008,15/08/2008,700,Call,19.91,56.772,0.942,61.566,-48.457
28/07/2008,15/08/2008,700,Put,13.69,-43.205,0.947,61.56,-44.575
28/07/2008,15/08/2008,710,Call,14.36,47.056,0.989,62.297,-47.127
