underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^VIX,2017-08-15,VIX,2017-08-16,9.000,C,3.4000,3.4000,3.1000,3.2000,33,2019,3.0000,4922,3.3000,11.8200,11.8200,236,3.2000,2929,3.5000,12.0400,12.0400,3.1903,3318,
^VIX,2017-08-15,VIX,2017-08-16,9.000,P,0.0200,0.0200,0.0200,0.0200,10,0,0.0000,12726,0.0500,11.8200,11.8200,0,0.0000,10956,0.0500,12.0400,12.0400,0.0200,666,
^VIX,2017-08-15,VIX,2017-08-16,9.500,C,2.7500,2.7800,2.5400,2.6500,1042,584,2.5500,1919,2.7500,11.8200,11.8200,986,2.7000,1174,2.9500,12.0400,12.0400,2.6800,2967,
^VIX,2017-08-15,VIX,2017-08-16,9.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,14600,0.0500,11.8200,11.8200,0,0.0000,12770,0.0500,12.0400,12.0400,0.0000,44824,
^VIX,2017-08-15,VIX,2017-08-16,10.000,C,2.0000,2.3900,2.0000,2.3000,760,360,2.0500,253,2.2000,11.8200,11.8200,1302,2.2000,1173,2.4500,12.0400,12.0400,2.1951,12927,
^VIX,2017-08-15,VIX,2017-08-16,10.000,P,0.0100,0.0300,0.0100,0.0100,194,0,0.0000,12653,0.0500,11.8200,11.8200,0,0.0000,8307,0.0500,12.0400,12.0400,0.0189,98248,
^VIX,2017-08-15,VIX,2017-08-16,10.500,C,1.5000,1.9600,1.4900,1.5400,1026,1368,1.5500,6429,1.7500,11.8200,11.8200,535,1.7500,1832,1.9500,12.0400,12.0400,1.7167,5769,
^VIX,2017-08-15,VIX,2017-08-16,10.500,P,0.0300,0.0300,0.0100,0.0100,3522,0,0.0000,13544,0.0500,11.8200,11.8200,0,0.0000,7753,0.0500,12.0400,12.0400,0.0100,158208,
^VIX,2017-08-15,VIX,2017-08-16,11.000,C,1.0000,1.4500,0.9900,1.2500,1523,775,1.1000,9103,1.2500,11.8200,11.8200,1088,1.2500,3484,1.4500,12.0400,12.0400,1.1521,46234,
^VIX,2017-08-15,VIX,2017-08-16,11.000,P,0.0500,0.0500,0.0100,0.0500,51908,0,0.0000,25171,0.0500,11.8200,11.8200,0,0.0000,17967,0.0500,12.0400,12.0400,0.0252,227358,
^VIX,2017-08-15,VIX,2017-08-16,11.500,C,0.7000,0.9800,0.5500,0.7500,153,5203,0.6500,15596,0.8000,11.8200,11.8200,59,0.8000,6485,1.0000,12.0400,12.0400,0.8041,55322,
^VIX,2017-08-15,VIX,2017-08-16,11.500,P,0.1000,0.1500,0.0500,0.0800,71251,24020,0.0500,9776,0.1000,11.8200,11.8200,5411,0.0500,9144,0.1000,12.0400,12.0400,0.0938,155510,
^VIX,2017-08-15,VIX,2017-08-16,12.000,C,0.4000,0.6700,0.3200,0.5000,56658,393,0.4000,14705,0.4500,11.8200,11.8200,643,0.5000,588,0.5500,12.0400,12.0400,0.4386,188497,
^VIX,2017-08-15,VIX,2017-08-16,12.000,P,0.4000,0.4000,0.2000,0.2500,51170,260,0.2500,9327,0.3000,11.8200,11.8200,5705,0.1500,15948,0.2500,12.0400,12.0400,0.2906,180566,
^VIX,2017-08-15,VIX,2017-08-16,12.500,C,0.2000,0.5500,0.2000,0.3000,26288,13632,0.2000,3108,0.2500,11.8200,11.8200,10353,0.2500,1795,0.3500,12.0400,12.0400,0.3086,51977,
^VIX,2017-08-15,VIX,2017-08-16,12.500,P,0.7300,0.7500,0.4500,0.4500,30731,13613,0.5500,3924,0.6500,11.8200,11.8200,1610,0.4500,500,0.5000,12.0400,12.0400,0.6444,60977,
^VIX,2017-08-15,VIX,2017-08-16,13.000,C,0.1500,0.3500,0.1200,0.2000,85495,251,0.1500,19233,0.2000,11.8200,11.8200,9309,0.1500,2751,0.2000,12.0400,12.0400,0.2418,83703,
^VIX,2017-08-15,VIX,2017-08-16,13.000,P,1.2000,1.2000,0.8500,0.9000,3174,14840,0.9500,11965,1.1000,11.8200,11.8200,7658,0.8000,8627,0.9500,12.0400,12.0400,1.0395,95950,
^VIX,2017-08-15,VIX,2017-08-16,13.500,C,0.1000,0.2500,0.1000,0.1300,28829,764,0.1000,19099,0.1500,11.8200,11.8200,8003,0.1000,4345,0.1500,12.0400,12.0400,0.1608,65125,
^VIX,2017-08-15,VIX,2017-08-16,13.500,P,1.6000,1.6000,1.3400,1.3500,2136,14172,1.4000,7658,1.5500,11.8200,11.8200,7637,1.2000,8114,1.4000,12.0400,12.0400,1.4430,26010,
