Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,ExpDate,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,1013,5.3,1017.8,1004.7,,, ,1,0,I,1013,1010.3,0,,1007.7,,,,,,160119,,0.208,,15:30:00,,,,,,,,,RUT Index,0,,
RUT 16N790,1.65,-0.85,1.65,1.65,1.6,0.464,P,-2.399,0.043,O,1.44,1.65,0,0.038,2.5,611,0.171,0.456,160219,,160119,-2.163,0.208,-13.17,15:30:00,,16.709,0.445,0,0.444,790,1.44,1.23,Feb 790 Puts,,1,1.25
RUT 16O790,3.85,-0.81,3.85,3.6,3.7,0.395,P,-4.993,0.065,O,3.56,3.85,0,0.052,4.66,237,0.011,0.392,160318,,160119,-8.706,0.208,-13.865,15:30:00,,41.958,0.388,0.002,0.391,790,3.56,3.52,Mar 790 Puts,,50,3.4
RUT 16P790,,,,,,,P,-2.27,0.042,O,0,,0,0.037,,,,,160415,,,-5.712,0.208,-3.908,,,26.732,,0.008,0.259,790,,1.13,Apr 790 Puts,,,
RUT 16R790,-1,,,,12.9,0.34,P,-10.898,0.086,O,12.25,,0,0.085,,24,-0.025,0.335,160617,,160119,-50.092,0.208,-13.201,15:30:00,,120.627,0.329,0.034,0.337,790,12.25,12.56,Jun 790 Puts,,,11.6
RUT 16U790,-1,,,,22,0.32,P,-14.426,0.088,O,20.9,,0,0.11,,,-0.031,0.314,160916,,160119,-109.339,0.208,-11.717,15:30:00,,185.055,0.308,0.077,0.317,790,20.9,21.56,Sep 790 Puts,,,19.8
RUT 16N800,-1,,,,1.7,0.449,P,-2.748,0.049,O,1.55,,0,0.038,,1072,0.099,0.442,160219,,160119,-2.476,0.208,-13.789,15:30:00,,18.712,0.434,0,0.434,800,1.55,1.41,Feb 800 Puts,,,1.4
RUT 16O800,-1,,,,4.1,0.388,P,-5.566,0.072,O,3.95,,0,0.052,,3852,0.01,0.385,160318,,160119,-9.704,0.208,-14.836,15:30:00,,45.726,0.381,0.003,0.384,800,3.95,3.91,Mar 800 Puts,,,3.8
RUT 16P800,,,,,,,P,-2.862,0.051,O,0,,0,0.038,,,,,160415,,,-7.213,0.208,-4.749,,,32.432,,0.011,0.259,800,,1.47,Apr 800 Puts,,,
RUT 16R800,-1,,,,14,0.336,P,-11.76,0.092,O,13.35,,0,0.085,,382,-0.017,0.331,160617,,160119,-54.071,0.208,-13.798,15:30:00,,127.347,0.326,0.042,0.333,800,13.35,13.58,Jun 800 Puts,,,12.7
