Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,ExpDate,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,1206.9,5.8,1209.4,1203.4,,, ,1,0,I,1206.9,1203.4,0,,1201.1,,,,,,160714,,0.175,,15:30:00,,,,,,,,,RUT Index,0,,
RUT 16S980,-1,,,,0.05,,P,0,0,O,0.03,,0,0,,1312,,,160715,,160714,0,0.175,0,15:30:00,,0,,0,0.152,980,0.03,0,Jul 980 Puts,,,
RUT 16T980,0.82,-0.12,0.85,0.82,0.95,0.329,P,-1.851,0.037,O,0.87,0.82,0,0.028,0.94,4362,0.024,0.325,160819,,160714,-2.28,0.175,-7.652,15:30:00,,17.261,0.321,0,0.324,980,0.87,0.85,Aug 980 Puts,,22,0.8
RUT 16U980,-1,,,,2.6,0.293,P,-4.079,0.059,O,2.53,,0,0.039,,441,-0.008,0.292,160916,,160714,-9.032,0.175,-9.904,15:30:00,,44.311,0.29,0.002,0.292,980,2.53,2.55,Sep 980 Puts,,,2.45
RUT 16X980,-1,,,,11.3,0.267,P,-10.445,0.087,O,10.95,,0,0.066,,70,-0.017,0.264,161216,,160714,-57.716,0.175,-11.826,15:30:00,,141.759,0.262,0.038,0.266,980,10.95,11.14,Dec 980 Puts,,,10.6
RUT 17O980,-1,,,,20.8,0.257,P,-14.544,0.091,O,20.2,,0,0.088,,1,-0.02,0.254,170317,,160714,-130.422,0.175,-11.235,15:30:00,,224.029,0.251,0.082,0.256,980,20.2,20.61,Mar17 980 Puts,,,19.6
RUT 16S990,-1,,,,0.05,,P,0,0,O,0.03,,0,0,,1812,,,160715,,160714,0,0.175,0,15:30:00,,0,,0,0.152,990,0.03,0,Jul 990 Puts,,,
RUT 16T990,0.91,-0.01,0.93,0.91,1.05,0.321,P,-2.079,0.042,O,1,0.91,0,0.028,0.92,1507,0.053,0.318,160819,,160714,-2.559,0.175,-8.486,15:30:00,,19.045,0.315,0,0.315,990,1,0.95,Aug 990 Puts,,10,0.95
RUT 16U990,-1,,,,2.85,0.287,P,-4.51,0.066,O,2.78,,0,0.038,,550,-0.004,0.285,160916,,160714,-9.982,0.175,-10.504,15:30:00,,48.05,0.284,0.004,0.286,990,2.78,2.79,Sep 990 Puts,,,2.7
RUT 16X990,-1,,,,12,0.262,P,-11.201,0.093,O,11.7,,0,0.066,,190,-0.018,0.26,161216,,160714,-61.88,0.175,-12.223,15:30:00,,149.056,0.258,0.046,0.261,990,11.7,11.91,Dec 990 Puts,,,11.4
RUT 17O990,-1,,,,22.1,0.253,P,-15.395,0.096,O,21.4,,0,0.088,,7,-0.018,0.25,170317,,160714,-138.04,0.175,-11.539,15:30:00,,232.673,0.247,0.093,0.252,990,21.4,21.79,Mar17 990 Puts,,,20.7
RUT 16S1000,-1,,,,0.05,,P,0,0,O,0.03,,0,0,,2399,,,160715,,160714,0,0.175,0,15:30:00,,0,,0,0.152,1000,0.03,0,Jul 1000 Puts,,,
RUT 16T1000,-1,,,,1.15,0.311,P,-2.341,0.048,O,1.08,,0,0.028,,4607,0.029,0.308,160819,,160714,-2.881,0.175,-8.923,15:30:00,,21.054,0.304,0,0.306,1000,1.08,1.05,Aug 1000 Puts,,,1
RUT 16U1000,-1,,,,3.2,0.282,P,-4.994,0.073,O,3.08,,0,0.038,,2140,0.003,0.279,160916,,160714,-11.049,0.175,-11.213,15:30:00,,52.13,0.277,0.006,0.279,1000,3.08,3.07,Sep 1000 Puts,,,2.95
RUT 16X1000,-1,,,,12.7,0.256,P,-12.015,0.1,O,12.45,,0,0.066,,3848,-0.024,0.254,161216,,160714,-66.363,0.175,-12.571,15:30:00,,156.647,0.253,0.055,0.256,1000,12.45,12.75,Dec 1000 Puts,,,12.2
RUT 17O1000,-1,,,,23.5,0.25,P,-16.297,0.101,O,22.8,,0,0.088,,365,-0.011,0.247,170317,,160714,-146.112,0.175,-11.842,15:30:00,,241.499,0.244,0.106,0.248,1000,22.8,23.05,Mar17 1000 Puts,,,22.1
RUT 16G1010,-1,,,,200.6,,C,100,0,O,196.1,,0,0,,5,-0.004,,160715,,160714,2.765,0.175,-0.518,15:30:00,,0,,1,0.152,1010,-0.8,196.85,Jul 1010 Calls,,,191.6
RUT 16H1010,-1,,,,199.3,,C,94.976,0.077,O,197.4,,0,0.16,,20,-0.003,,160819,,160714,93.271,0.175,-19.664,15:30:00,,39.303,,0.999,0.355,1010,0.5,198.05,Aug 1010 Calls,,,195.5
RUT 16I1010,-1,,,,199.3,,C,92.544,0.092,O,197.55,,0,0.162,,27,-0.008,,160916,,160714,160.241,0.175,-17.428,15:30:00,,71.204,,0.992,0.304,1010,0.65,199.15,Sep 1010 Calls,,,195.8
RUT 16L1010,-1,,,,204,0.257,C,87.059,0.107,O,202.7,,0,0.172,,,-0.003,0.249,161216,,160714,356.446,0.175,-13.717,15:30:00,,164.964,0.241,0.935,0.253,1010,5.8,203.38,Dec 1010 Calls,,,201.4
RUT 17C1010,-1,,,,209.4,0.241,C,82.915,0.107,O,207.8,,0,0.183,,1,-0.009,0.234,170317,,160714,525.216,0.175,-12.421,15:30:00,,248.955,0.228,0.881,0.242,1010,10.9,209.76,Mar17 1010 Calls,,,206.2
RUT 16S1010,-1,,,,0.05,,P,0,0,O,0.03,,0,0,,4727,,,160715,,160714,0,0.175,0,15:30:00,,0,,0,0.152,1010,0.03,0,Jul 1010 Puts,,,
RUT 16T1010,1.14,-0.26,1.17,1.1,1.25,0.301,P,-2.645,0.054,O,1.17,1.14,0,0.027,1.4,4792,0,0.298,160819,,160714,-3.253,0.175,-9.398,15:30:00,,23.318,0.295,0.001,0.298,1010,1.17,1.17,Aug 1010 Puts,,13,1.1
RUT 16U1010,-1,,,,3.5,0.275,P,-5.538,0.081,O,3.35,,0,0.038,,366,-0.009,0.272,160916,,160714,-12.249,0.175,-11.821,15:30:00,,56.581,0.27,0.008,0.273,1010,3.35,3.38,Sep 1010 Puts,,,3.2
RUT 16X1010,-1,,,,13.7,0.253,P,-12.891,0.107,O,13.45,,0,0.066,,2,-0.014,0.251,161216,,160714,-71.188,0.175,-13.085,15:30:00,,164.526,0.25,0.065,0.252,1010,13.45,13.64,Dec 1010 Puts,,,13.2
RUT 17O1010,-1,,,,24.9,0.247,P,-17.251,0.107,O,24.2,,0,0.088,,39,-0.008,0.244,170317,,160714,-154.661,0.175,-12.141,15:30:00,,250.486,0.241,0.119,0.245,1010,24.2,24.39,Mar17 1010 Puts,,,23.5
RUT 16G1020,-1,,,,190.9,,C,100,0,O,187.3,,0,0,,25,0.002,,160715,,160714,2.793,0.175,-0.523,15:30:00,,0,,1,0.152,1020,0.4,186.85,Jul 1020 Calls,,,183.7
RUT 16H1020,-1,,,,189.1,,C,94.562,0.085,O,187.25,,0,0.152,,34,-0.005,,160819,,160714,93.749,0.175,-20.242,15:30:00,,41.849,,0.999,0.343,1020,0.35,188.23,Aug 1020 Calls,,,185.4
RUT 16I1020,-1,,,,190,,C,91.947,0.1,O,188.2,,0,0.155,,16,-0.007,,160916,,160714,160.676,0.175,-17.943,15:30:00,,75.485,,0.988,0.296,1020,1.3,189.49,Sep 1020 Calls,,,186.4
RUT 16L1020,-1,,,,195.1,0.253,C,86.12,0.114,O,193.8,,0,0.165,,3,-0.003,0.245,161216,,160714,355.508,0.175,-14.236,15:30:00,,173.076,0.237,0.923,0.248,1020,6.9,194.36,Dec 1020 Calls,,,192.5
RUT 17C1020,-1,,,,202.1,0.243,C,81.891,0.113,O,200.5,,0,0.177,,,-0.004,0.236,170317,,160714,522.744,0.175,-13.13,15:30:00,,258.272,0.23,0.867,0.239,1020,13.6,201.24,Mar17 1020 Calls,,,198.9
RUT 16S1020,0.01,0,0.05,0.01,0.05,,P,0,0,O,0.02,0.05,0,0,0.01,3174,,,160715,,160714,0,0.175,0,15:30:00,,0,,0,0.152,1020,0.02,0,Jul 1020 Puts,,20,
RUT 16T1020,1.28,-0.12,1.41,1.28,1.4,0.293,P,-2.998,0.062,O,1.32,1.28,0,0.027,1.4,3298,0.008,0.29,160819,,160714,-3.685,0.175,-10.225,15:30:00,,25.873,0.287,0.001,0.289,1020,1.32,1.31,Aug 1020 Puts,,49,1.25
RUT 16U1020,-1,,,,3.8,0.267,P,-6.151,0.091,O,3.7,,0,0.038,,1207,-0.008,0.266,160916,,160714,-13.6,0.175,-12.541,15:30:00,,61.431,0.264,0.012,0.266,1020,3.7,3.73,Sep 1020 Puts,,,3.6
