Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,ExpDate,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,1423.3,4.1,1424.2,1420.1,,, ,1,0,I,1423.3,1423.1,0,,1419.2,,,,,,170613,,0.107,,15:30:00,,,,,,,,,RUT Index,0,,
RUT 17R1180,-1,,,,0.05,,P,-0.008,0,O,0.03,,0,0.009,,,,,170616,,170613,-0.001,0.107,-0.142,15:30:00,,0.044,,0,0.554,1180,0.03,0,Jun 1180 Puts,,,
RUT 17S1180,-1,,,,1.15,0.296,P,-1.967,0.036,O,0.98,,0,0.026,,412,0,0.288,170721,,170613,-3.007,0.107,-8.044,15:30:00,,22.039,0.279,0,0.288,1180,0.98,0.98,Jul 1180 Puts,,,0.8
RUT 17T1180,-1,,,,2.85,0.264,P,-3.983,0.055,O,2.6,,0,0.034,,158,-0.008,0.259,170818,,170613,-10.67,0.107,-9.842,15:30:00,,52.106,0.254,0,0.259,1180,2.6,2.62,Aug 1180 Puts,,,2.35
RUT 17U1180,-1,,,,5.2,0.251,P,-6.059,0.067,O,4.85,,0,0.042,,98,-0.008,0.247,170915,,170613,-23.323,0.107,-10.98,15:30:00,,86.741,0.243,0,0.248,1180,4.85,4.89,Sep 1180 Puts,,,4.5
RUT 17X1180,-1,,,,15.4,0.24,P,-11.875,0.083,O,14.95,,0,0.067,,23,-0.009,0.238,171215,,170613,-92.396,0.107,-12.226,15:30:00,,200.179,0.236,0.007,0.239,1180,14.95,15.09,Dec 1180 Puts,,,14.5
RUT 17R1190,-1,,,,0.05,,P,-0.01,0.001,O,0.03,,0,0.009,,3546,,,170616,,170613,-0.001,0.107,-0.165,15:30:00,,0.052,,0,0.535,1190,0.03,0,Jun 1190 Puts,,,
RUT 17S1190,-1,,,,1.3,0.29,P,-2.177,0.04,O,1.05,,0,0.026,,636,-0.019,0.28,170721,,170613,-3.326,0.107,-8.399,15:30:00,,24.012,0.268,0,0.281,1190,1.05,1.07,Jul 1190 Puts,,,0.8
RUT 17T1190,-1,,,,3.1,0.258,P,-4.369,0.06,O,2.83,,0,0.034,,146,-0.007,0.253,170818,,170613,-11.701,0.107,-10.388,15:30:00,,56.156,0.248,0,0.254,1190,2.83,2.85,Aug 1190 Puts,,,2.55
RUT 17U1190,-1,,,,5.6,0.247,P,-6.587,0.073,O,5.25,,0,0.042,,78,-0.008,0.243,170915,,170613,-25.349,0.107,-11.503,15:30:00,,92.554,0.239,0.001,0.243,1190,5.25,5.29,Sep 1190 Puts,,,4.9
RUT 17X1190,-1,,,,16.4,0.237,P,-12.62,0.087,O,15.95,,0,0.067,,112,-0.006,0.235,171215,,170613,-98.194,0.107,-12.573,15:30:00,,208.887,0.233,0.01,0.236,1190,15.95,16.04,Dec 1190 Puts,,,15.5
RUT 17R1200,-1,,,,0.05,,P,-0.012,0.001,O,0.03,,0,0.008,,3497,,,170616,,170613,-0.001,0.107,-0.194,15:30:00,,0.062,,0,0.516,1200,0.03,0,Jun 1200 Puts,,,
RUT 17S1200,-1,,,,1.3,0.278,P,-2.415,0.045,O,1.13,,0,0.025,,1473,-0.034,0.272,170721,,170613,-3.689,0.107,-8.86,15:30:00,,26.207,0.265,0,0.274,1200,1.13,1.17,Jul 1200 Puts,,,0.95
RUT 17T1200,-1,,,,3.4,0.253,P,-4.8,0.067,O,3.1,,0,0.034,,129,-0.003,0.248,170818,,170613,-12.85,0.107,-11.046,15:30:00,,60.552,0.243,0,0.248,1200,3.1,3.11,Aug 1200 Puts,,,2.8
