Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,Exp.Date,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,1364.8,7.9,1366.4,1357.9,,, ,1,0,I,1364.8,1357.9,0,,1356.9,,,,,,170822,,0.096,,15:30:00,,,,,,,,,RUT Index,0,,
RUT 17U1120,-1,,,,0.7,0.363,P,-0.785,0.019,O,0.43,,0,0.021,,939,0.433,,170915,,170822,-0.723,0.096,-4.817,15:30:00,,7.602,,0,0.324,1120,0.43,0.3,Sep 1120 Puts,,,0.15
RUT 17V1120,-1,,,,2.15,0.278,P,-3.216,0.048,O,1.95,,0,0.033,,106,0,0.273,171020,,170822,-7.375,0.096,-8.895,15:30:00,,39.662,0.267,0,0.273,1120,1.95,1.95,Oct 1120 Puts,,,1.75
RUT 17W1120,-1,,,,4.3,0.263,P,-5.352,0.063,O,4,,0,0.042,,327,-0.024,0.259,171117,,170822,-18.273,0.096,-10.312,15:30:00,,72.569,0.255,0,0.26,1120,4,4.1,Nov 1120 Puts,,,3.7
RUT 17X1120,-1,,,,6.7,0.254,P,-7.232,0.072,O,6.45,,0,0.05,,163,-0.014,0.251,171215,,170822,-32.909,0.096,-11.007,15:30:00,,105.297,0.249,0,0.252,1120,6.45,6.54,Dec 1120 Puts,,,6.2
RUT 18M1120,-1,,,,9.4,0.242,P,-8.895,0.077,O,9.1,,0,0.057,,5,-0.009,0.24,180119,,170822,-53.167,0.096,-10.73,15:30:00,,140.331,0.238,0.001,0.241,1120,9.1,9.18,Jan18 1120 Puts,,,8.8
RUT 17U1130,-1,,,,0.7,0.349,P,-0.894,0.022,O,0.5,,0,0.021,,401,0.471,0.332,170915,,170822,-0.822,0.096,-7.244,15:30:00,,8.516,0.311,0,0.316,1130,0.5,0.34,Sep 1130 Puts,,,0.3
RUT 17V1130,-1,,,,2.4,0.273,P,-3.581,0.054,O,2.17,,0,0.033,,144,0,0.268,171020,,170822,-8.21,0.096,-9.531,15:30:00,,43.319,0.263,0,0.268,1130,2.17,2.17,Oct 1130 Puts,,,1.95
RUT 17W1130,-1,,,,4.7,0.258,P,-5.876,0.069,O,4.45,,0,0.042,,7,-0.009,0.255,171117,,170822,-20.059,0.096,-11.059,15:30:00,,78.094,0.252,0,0.256,1130,4.45,4.49,Nov 1130 Puts,,,4.2
RUT 17X1130,-1,,,,7.3,0.25,P,-7.851,0.078,O,7.05,,0,0.05,,127,-0.007,0.248,171215,,170822,-35.724,0.096,-11.601,15:30:00,,112.077,0.246,0,0.248,1130,7.05,7.1,Dec 1130 Puts,,,6.8
