Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,Exp.Date,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,1218.4,6.1,1219.3,1209.7,,, ,1,0,I,1218.4,1214.1,0,,1212.3,,,,,,160914,,0.104,,15:30:00,,,,,,,,,RUT Index,0,,
RUT 16U980,-1,,,,0.05,,P,0,0,O,0.03,,0,0.007,,435,,,160916,,160914,0,0.104,-0.003,15:30:00,,0.001,,0,0.646,980,0.03,0,Sep 980 Puts,,,
RUT 16V980,-1,,,,1.1,0.345,P,-1.955,0.036,O,1,,0,0.03,,474,0.031,0.339,161021,,160914,-2.503,0.104,-8.386,15:30:00,,18.489,0.334,0,0.338,980,1,0.97,Oct 980 Puts,,,0.9
RUT 16W980,-1,,,,3.2,0.314,P,-4.532,0.059,O,3.03,,0,0.042,,81,-0.035,0.311,161118,,160914,-10.336,0.104,-11.301,15:30:00,,49.03,0.307,0,0.313,980,3.03,3.14,Nov 980 Puts,,,2.85
RUT 16X980,-1,,,,6.2,0.304,P,-6.932,0.072,O,5.95,,0,0.053,,78,-0.008,0.301,161216,,160914,-22.888,0.104,-13.028,15:30:00,,81.79,0.298,0,0.301,980,5.95,6,Dec 980 Puts,,,5.7
RUT 17O980,-1,,,,16.4,0.282,P,-12.316,0.085,O,15.7,,0,0.079,,43,-0.013,0.278,170317,,160914,-82.689,0.104,-12.937,15:30:00,,174.797,0.274,0.002,0.279,980,15.7,15.91,Mar17 980 Puts,,,15
RUT 16U990,-1,,,,0.05,,P,0,0,O,0.03,,0,0.007,,637,,,160916,,160914,0,0.104,-0.004,15:30:00,,0.001,,0,0.625,990,0.03,0,Sep 990 Puts,,,
RUT 16V990,-1,,,,1.2,0.335,P,-2.232,0.041,O,1.1,,0,0.03,,324,0,0.331,161021,,160914,-2.858,0.104,-8.996,15:30:00,,20.681,0.326,0,0.331,990,1.1,1.1,Oct 990 Puts,,,1
RUT 16W990,-1,,,,3.5,0.308,P,-5.031,0.066,O,3.4,,0,0.042,,204,-0.023,0.306,161118,,160914,-11.475,0.104,-12.227,15:30:00,,53.303,0.304,0,0.308,990,3.4,3.48,Nov 990 Puts,,,3.3
RUT 16X990,-1,,,,6.7,0.298,P,-7.567,0.079,O,6.5,,0,0.053,,186,-0.006,0.296,161216,,160914,-24.984,0.104,-13.711,15:30:00,,87.457,0.293,0,0.296,990,6.5,6.54,Dec 990 Puts,,,6.3
