Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,ExpDate,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,1342.4,-12.2,1352.7,1335,,, ,1,0,I,1342.4,1343.8,0,,1354.6,,,,,,170327,,0.111,,15:30:00,,,,,,,,,RUT Index,0,,
RUT 17P1120,-1,,,,1.35,0.367,P,-1.462,0.033,O,0.8,,0,0.023,,233,0.333,,170421,,170327,-1.382,0.111,-8.064,15:30:00,,13.091,0.288,0,0.323,1120,0.8,0.6,Apr 1120 Puts,,,0.25
RUT 17Q1120,-1,,,,3,0.292,P,-4.047,0.061,O,2.48,,0,0.034,,265,0.016,0.281,170519,,170327,-8.211,0.111,-11.668,15:30:00,,44.635,0.269,0,0.28,1120,2.48,2.44,May 1120 Puts,,,1.95
RUT 17R1120,-1,,,,5.6,0.272,P,-6.608,0.077,O,5.1,,0,0.043,,89,0.002,0.266,170616,,170327,-20.713,0.111,-12.999,15:30:00,,81.285,0.259,0,0.266,1120,5.1,5.09,Jun 1120 Puts,,,4.6
RUT 17U1120,-1,,,,18.4,0.263,P,-12.954,0.091,O,15.8,,0,0.07,,33,-0.025,0.25,170915,,170327,-88.858,0.111,-13.412,15:30:00,,193.718,0.236,0.009,0.252,1120,15.8,16.2,Sep 1120 Puts,,,13.2
RUT 17X1120,-1,,,,31,0.26,P,-16.786,0.089,O,27.65,,0,0.093,,13,-0.005,0.248,171215,,170327,-180.41,0.111,-12.567,15:30:00,,283.887,0.236,0.027,0.249,1120,27.65,27.8,Dec 1120 Puts,,,24.3
RUT 17P1130,-1,,,,1.3,0.349,P,-1.68,0.038,O,0.8,,0,0.023,,222,0.159,0.323,170421,,170327,-1.588,0.111,-10.067,15:30:00,,14.747,0.282,0,0.316,1130,0.8,0.69,Apr 1130 Puts,,,0.3
RUT 17Q1130,2.9,0.7,2.9,2.9,3.2,0.284,P,-4.519,0.068,O,2.78,2.9,0,0.033,2.2,336,0.026,0.276,170519,,170327,-9.168,0.111,-12.589,15:30:00,,48.79,0.267,0,0.275,1130,2.78,2.71,May 1130 Puts,,5,2.35
RUT 17R1130,-1,,,,6,0.266,P,-7.252,0.084,O,5.5,,0,0.043,,21,-0.016,0.26,170616,,170327,-22.73,0.111,-13.568,15:30:00,,87.305,0.254,0.001,0.261,1130,5.5,5.59,Jun 1130 Puts,,,5
RUT 17U1130,-1,,,,19.2,0.259,P,-13.801,0.097,O,16.75,,0,0.07,,5,-0.031,0.247,170915,,170327,-94.68,0.111,-13.757,15:30:00,,202.314,0.234,0.012,0.249,1130,16.75,17.28,Sep 1130 Puts,,,14.3
RUT 17X1130,-1,,,,32.5,0.257,P,-17.661,0.093,O,29.2,,0,0.093,,27,-0.004,0.246,171215,,170327,-189.864,0.111,-12.817,15:30:00,,293.215,0.234,0.034,0.246,1130,29.2,29.31,Dec 1130 Puts,,,25.9
RUT 17D1140,-1,,,,205.6,,C,97.168,0.055,O,203.55,,0,0.148,,3,0.001,,170421,,170327,75.292,0.111,-17.469,15:30:00,,22.881,,1,0.335,1140,1.15,203.3,Apr 1140 Calls,,,201.5
RUT 17E1140,-1,,,,207.5,,C,94.172,0.081,O,205.35,,0,0.15,,1,0,,170519,,170327,153.331,0.111,-18.341,15:30:00,,59.682,,1,0.282,1140,2.95,205.32,May 1140 Calls,,,203.2
RUT 17F1140,-1,,,,209.7,,C,91.754,0.093,O,207.65,,0,0.153,,20,0,,170616,,170327,226.382,0.111,-18.008,15:30:00,,96.219,,0.999,0.261,1140,5.25,207.72,Jun 1140 Calls,,,205.6
RUT 17I1140,-1,,,,220,0.251,C,86.058,0.102,O,216.2,,0,0.166,,,-0.004,0.232,170915,,170327,438.816,0.111,-16.19,15:30:00,,203.742,0.212,0.984,0.237,1140,13.8,217.15,Sep 1140 Calls,,,212.4
RUT 17L1140,-1,,,,231.4,0.243,C,82.365,0.099,O,227.25,,0,0.18,,,-0.003,0.229,171215,,170327,625.431,0.111,-15.478,15:30:00,,292.98,0.215,0.959,0.232,1140,24.85,227.96,Dec 1140 Calls,,,223.1
RUT 17P1140,1.2,0.5,1.2,1.2,1.3,0.334,P,-1.936,0.044,O,1.03,1.2,0,0.023,0.7,593,0.304,0.321,170421,,170327,-1.829,0.111,-12.153,15:30:00,,16.64,0.306,0,0.308,1140,1.03,0.79,Apr 1140 Puts,,10,0.75
RUT 17Q1140,-1,,,,3.6,0.28,P,-5.051,0.076,O,3.13,,0,0.033,,100,0.036,0.271,170519,,170327,-10.246,0.111,-13.572,15:30:00,,53.328,0.262,0,0.269,1140,3.13,3.02,May 1140 Puts,,,2.65
RUT 17R1140,6.68,1.81,6.68,6.68,6.5,0.261,P,-7.961,0.092,O,6.08,6.68,0,0.043,4.87,124,-0.008,0.256,170616,,170327,-24.952,0.111,-14.396,15:30:00,,93.712,0.251,0.001,0.257,1140,6.08,6.13,Jun 1140 Puts,,2,5.6
RUT 17U1140,-1,,,,20.4,0.255,P,-14.701,0.102,O,17.9,,0,0.07,,8,-0.029,0.243,170915,,170327,-100.873,0.111,-14.158,15:30:00,,211.124,0.231,0.016,0.246,1140,17.9,18.44,Sep 1140 Puts,,,15.4
RUT 17X1140,-1,,,,34.2,0.254,P,-18.577,0.097,O,30.85,,0,0.093,,,-0.002,0.244,171215,,170327,-199.773,0.111,-13.106,15:30:00,,302.623,0.232,0.041,0.244,1140,30.85,30.91,Dec 1140 Puts,,,27.5
RUT 17D1150,-1,,,,196.6,,C,96.81,0.063,O,194.4,,0,0.14,,56,0.005,,170421,,170327,75.638,0.111,-18.615,15:30:00,,25.249,,1,0.326,1150,2,193.45,Apr 1150 Calls,,,192.2
RUT 17E1150,-1,,,,198.3,,C,93.547,0.089,O,196.05,,0,0.143,,39,0.002,,170519,,170327,153.512,0.111,-19.301,15:30:00,,64.611,,1,0.276,1150,3.65,195.72,May 1150 Calls,,,193.8
RUT 17F1150,-1,,,,200.3,,C,90.968,0.101,O,198.15,,0,0.146,,628,-0.001,,170616,,170327,226.129,0.111,-18.808,15:30:00,,102.979,,0.998,0.256,1150,5.75,198.36,Jun 1150 Calls,,,196
RUT 17I1150,-1,,,,211.3,0.247,C,85.088,0.108,O,207.55,,0,0.16,,8,-0.004,0.23,170915,,170327,436.847,0.111,-16.701,15:30:00,,213.16,0.211,0.978,0.234,1150,15.15,208.41,Sep 1150 Calls,,,203.8
