Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,Exp.Date,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,1394.1,-8,1404.3,1393.9,,, ,1,0,I,1394.1,1403.7,0,,1402.1,,,,,,170907,,0.087,,15:30:00,,,,,,,,,RUT Index,0,,
RUT 17U1170,-1,,,,0.25,0.492,P,-0.264,0.009,O,0.25,,0,0.014,,252,,,170915,,170907,-0.082,0.087,-3.63,15:30:00,,1.699,,0,0.429,1170,0.25,0.07,Sep 1170 Puts,,,
RUT 17V1170,-1,,,,1.6,0.278,P,-2.835,0.05,O,1.38,,0,0.028,,464,-0.061,0.271,171020,,170907,-4.811,0.087,-9.154,15:30:00,,31.193,0.263,0,0.274,1170,1.38,1.47,Oct 1170 Puts,,,1.15
RUT 17W1170,-1,,,,3.6,0.254,P,-5.277,0.069,O,3.4,,0,0.037,,224,-0.058,0.251,171117,,170907,-14.935,0.087,-11.018,15:30:00,,66.302,0.247,0,0.254,1170,3.4,3.61,Nov 1170 Puts,,,3.2
RUT 17X1170,-1,,,,6.8,0.249,P,-7.713,0.081,O,6.4,,0,0.045,,301,-0.018,0.245,171215,,170907,-30.737,0.087,-12.478,15:30:00,,104.941,0.241,0,0.246,1170,6.4,6.52,Dec 1170 Puts,,,6
RUT 18M1170,-1,,,,10.3,0.239,P,-9.949,0.088,O,9.9,,0,0.054,,2,-0.007,0.237,180119,,170907,-54.154,0.087,-12.456,15:30:00,,147.318,0.234,0,0.237,1170,9.9,9.97,Jan18 1170 Puts,,,9.5
RUT 17U1180,-1,,,,0.3,0.482,P,-0.298,0.011,O,0.3,,0,0.014,,520,,,170915,,170907,-0.093,0.087,-3.922,15:30:00,,1.892,,0,0.414,1180,0.3,0.08,Sep 1180 Puts,,,
RUT 17V1180,-1,,,,1.9,0.275,P,-3.161,0.056,O,1.63,,0,0.028,,655,0,0.268,171020,,170907,-5.363,0.087,-10.283,15:30:00,,34.136,0.259,0,0.268,1180,1.63,1.63,Oct 1180 Puts,,,1.35
RUT 17W1180,-1,,,,4,0.249,P,-5.813,0.076,O,3.75,,0,0.037,,78,-0.053,0.246,171117,,170907,-16.449,0.087,-11.67,15:30:00,,71.551,0.242,0,0.249,1180,3.75,3.96,Nov 1180 Puts,,,3.5
RUT 17X1180,-1,,,,7.5,0.246,P,-8.38,0.088,O,7.1,,0,0.045,,99,0.004,0.243,171215,,170907,-33.39,0.087,-13.273,15:30:00,,111.704,0.239,0,0.242,1180,7.1,7.07,Dec 1180 Puts,,,6.7
RUT 18M1180,-1,,,,11.2,0.237,P,-10.71,0.094,O,10.75,,0,0.054,,5,0.002,0.234,180119,,170907,-58.294,0.087,-12.991,15:30:00,,155.391,0.231,0.001,0.234,1180,10.75,10.73,Jan18 1180 Puts,,,10.3
RUT 17U1190,-1,,,,0.3,0.46,P,-0.338,0.012,O,0.3,,0,0.014,,1032,,,170915,,170907,-0.105,0.087,-4.258,15:30:00,,2.117,,0,0.399,1190,0.3,0.09,Sep 1190 Puts,,,
RUT 17V1190,-1,,,,1.95,0.265,P,-3.532,0.062,O,1.7,,0,0.027,,964,-0.056,0.258,171020,,170907,-5.991,0.087,-10.479,15:30:00,,37.4,0.251,0,0.261,1190,1.7,1.8,Oct 1190 Puts,,,1.45
RUT 17W1190,-1,,,,4.5,0.246,P,-6.409,0.084,O,4.2,,0,0.037,,77,-0.034,0.242,171117,,170907,-18.133,0.087,-12.522,15:30:00,,77.209,0.238,0,0.244,1190,4.2,4.35,Nov 1190 Puts,,,3.9
RUT 17X1190,-1,,,,8,0.241,P,-9.108,0.095,O,7.7,,0,0.045,,220,0.004,0.238,171215,,170907,-36.288,0.087,-13.863,15:30:00,,118.851,0.235,0,0.238,1190,7.7,7.67,Dec 1190 Puts,,,7.4
RUT 18M1190,-1,,,,12,0.233,P,-11.53,0.101,O,11.6,,0,0.054,,2,0.004,0.231,180119,,170907,-62.758,0.087,-13.535,15:30:00,,163.794,0.228,0.001,0.23,1190,11.6,11.55,Jan18 1190 Puts,,,11.2
RUT 17I1200,-1,,,,200.3,,C,99.622,0.014,O,196.65,,0,0.138,,114,0.013,,170915,,170907,26.159,0.087,-8.219,15:30:00,,2.346,,1,0.383,1200,2.55,194.05,Sep 1200 Calls,,,193
RUT 17J1200,-1,,,,197.1,,C,95.08,0.079,O,195.45,,0,0.137,,44,-0.003,,171020,,170907,132.702,0.087,-18.71,15:30:00,,48.851,,1,0.271,1200,1.35,196.11,Oct 1200 Calls,,,193.8
RUT 17K1200,-1,,,,200,,C,91.994,0.097,O,198.3,,0,0.141,,3,-0.002,,171117,,170907,209.987,0.087,-19.481,15:30:00,,91.507,,1,0.251,1200,4.2,198.75,Nov 1200 Calls,,,196.6
RUT 17L1200,-1,,,,201.9,,C,89.666,0.104,O,200.7,,0,0.144,,1452,-0.004,,171215,,170907,282.941,0.087,-18.982,15:30:00,,130.343,,1,0.239,1200,6.6,201.45,Dec 1200 Calls,,,199.5
RUT 18A1200,-1,,,,206.3,0.237,C,87.158,0.108,O,204.95,,0,0.15,,1,-0.002,0.229,180119,,170907,368.206,0.087,-18.186,15:30:00,,176.626,0.222,0.998,0.231,1200,10.85,205.26,Jan18 1200 Calls,,,203.6
RUT 17U1200,-1,,,,0.3,0.439,P,-0.385,0.014,O,0.3,,0,0.013,,16860,,,170915,,170907,-0.12,0.087,-4.646,15:30:00,,2.383,,0,0.384,1200,0.3,0.1,Sep 1200 Puts,,,
RUT 17V1200,1.86,-0.18,1.86,1.83,2.25,0.261,P,-3.957,0.07,O,1.97,1.83,0,0.027,2.04,1170,-0.015,0.254,171020,,170907,-6.709,0.087,-11.587,15:30:00,,41.023,0.247,0,0.255,1200,1.97,2,Oct 1200 Puts,,3,1.7
RUT 17W1200,-1,,,,5.1,0.242,P,-7.072,0.092,O,4.75,,0,0.036,,149,-0.008,0.238,171117,,170907,-20.007,0.087,-13.505,15:30:00,,83.297,0.234,0,0.239,1200,4.75,4.79,Nov 1200 Puts,,,4.4
RUT 17X1200,-1,,,,8.7,0.237,P,-9.903,0.103,O,8.3,,0,0.045,,2282,-0.002,0.234,171215,,170907,-39.453,0.087,-14.392,15:30:00,,126.386,0.23,0,0.234,1200,8.3,8.32,Dec 1200 Puts,,,7.9
RUT 18M1200,-1,,,,12.8,0.229,P,-12.413,0.108,O,12.45,,0,0.054,,7,0.001,0.227,180119,,170907,-67.569,0.087,-13.947,15:30:00,,172.519,0.225,0.002,0.227,1200,12.45,12.44,Jan18 1200 Puts,,,12.1
RUT 17I1210,-1,,,,188.3,,C,99.564,0.017,O,184.6,,0,0.131,,10,0.003,,170915,,170907,26.36,0.087,-8.702,15:30:00,,2.661,,1,0.368,1210,0.5,184.06,Sep 1210 Calls,,,180.9
RUT 17J1210,-1,,,,187.2,,C,94.585,0.087,O,185.6,,0,0.13,,21,-0.004,,171020,,170907,133.04,0.087,-19.477,15:30:00,,52.712,,1,0.264,1210,1.5,186.36,Oct 1210 Calls,,,184
RUT 17K1210,-1,,,,190.4,,C,91.281,0.105,O,188.8,,0,0.134,,,-0.002,,171117,,170907,209.912,0.087,-20.158,15:30:00,,97.545,,1,0.245,1210,4.7,189.25,Nov 1210 Calls,,,187.2
RUT 17L1210,-1,,,,193.5,0.244,C,88.821,0.112,O,192,,0,0.138,,,-0.001,0.233,171215,,170907,282.277,0.087,-19.335,15:30:00,,137.921,0.222,0.999,0.234,1210,7.9,192.18,Dec 1210 Calls,,,190.5
RUT 18A1210,-1,,,,197.4,0.234,C,86.239,0.115,O,196,,0,0.144,,,-0.001,0.226,180119,,170907,366.859,0.087,-18.775,15:30:00,,185.2,0.218,0.996,0.227,1210,11.9,196.23,Jan18 1210 Calls,,,194.6
RUT 17U1210,-1,,,,0.35,0.426,P,-0.442,0.017,O,0.35,,0,0.013,,925,,,170915,,170907,-0.137,0.087,-5.096,15:30:00,,2.699,,0,0.369,1210,0.35,0.11,Sep 1210 Puts,,,
RUT 17V1210,-1,,,,2.5,0.254,P,-4.442,0.079,O,2.2,,0,0.027,,649,-0.013,0.248,171020,,170907,-7.529,0.087,-12.507,15:30:00,,45.041,0.241,0,0.248,1210,2.2,2.23,Oct 1210 Puts,,,1.9
RUT 17W1210,5.1,-0.2,5.1,5.1,5.6,0.238,P,-7.81,0.102,O,5.24,5.1,0,0.036,5.3,148,-0.008,0.234,171117,,170907,-22.093,0.087,-14.272,15:30:00,,89.837,0.23,0,0.234,1210,5.24,5.28,Nov 1210 Puts,,2,4.9
RUT 17X1210,-1,,,,9.4,0.232,P,-10.771,0.112,O,9.1,,0,0.045,,41,0.006,0.23,171215,,170907,-42.911,0.087,-15.088,15:30:00,,134.313,0.228,0.001,0.23,1210,9.1,9.05,Dec 1210 Puts,,,8.8
