Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,Exp.Date,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,1447.8,3.6,1448,1441.9,,, ,1,0,I,1447.8,1442.7,0,,1444.2,,,,,,170922,,0.065,,15:30:00,,,,,,,,,RUT Index,0,,
RUT 17V1220,-1,,,,0.85,0.303,P,-2.006,0.039,O,0.7,,0,0.024,,1301,-0.255,0.295,171020,,170922,-2.294,0.065,-8.203,15:30:00,,19.572,0.285,0,0.308,1220,0.7,0.94,Oct 1220 Puts,,,0.55
RUT 17W1220,-1,,,,2.25,0.254,P,-3.684,0.057,O,2.08,,0,0.03,,442,-0.041,0.25,171117,,170922,-8.483,0.065,-9.665,15:30:00,,45.883,0.246,0,0.252,1220,2.08,2.17,Nov 1220 Puts,,,1.9
RUT 17X1220,-1,,,,4.1,0.234,P,-5.489,0.069,O,3.85,,0,0.037,,326,-0.013,0.231,171215,,170922,-19.089,0.065,-10.227,15:30:00,,77.324,0.228,0,0.232,1220,3.85,3.9,Dec 1220 Puts,,,3.6
RUT 18M1220,-1,,,,6.9,0.223,P,-7.729,0.079,O,6.55,,0,0.045,,68,-0.019,0.22,180119,,170922,-38.415,0.065,-10.542,15:30:00,,119.782,0.217,0,0.221,1220,6.55,6.68,Jan18 1220 Puts,,,6.2
RUT 18O1220,-1,,,,13,0.22,P,-11.213,0.088,O,12.5,,0,0.059,,2,-0.011,0.217,180316,,170922,-83.228,0.065,-11.142,15:30:00,,190.668,0.215,0,0.218,1220,12.5,12.64,Mar18 1220 Puts,,,12
RUT 17V1230,0.95,0,0.95,0.95,0.95,0.296,P,-2.151,0.043,O,0.78,0.95,0,0.023,0.95,1246,-0.204,0.287,171020,,170922,-2.458,0.065,-8.863,15:30:00,,20.767,0.276,0,0.297,1230,0.78,0.98,Oct 1230 Puts,,8,0.6
RUT 17W1230,-1,,,,2.5,0.248,P,-3.997,0.062,O,2.28,,0,0.03,,309,-0.017,0.244,171117,,170922,-9.198,0.065,-10.294,15:30:00,,49.035,0.239,0,0.245,1230,2.28,2.32,Nov 1230 Puts,,,2.05
RUT 17X1230,-1,,,,4.4,0.229,P,-5.962,0.076,O,4.15,,0,0.036,,1377,-0.012,0.226,171215,,170922,-20.725,0.065,-10.665,15:30:00,,82.508,0.223,0,0.227,1230,4.15,4.2,Dec 1230 Puts,,,3.9
RUT 18M1230,-1,,,,7.5,0.22,P,-8.343,0.086,O,7.1,,0,0.045,,195,-0.01,0.217,180119,,170922,-41.455,0.065,-11.02,15:30:00,,126.883,0.213,0,0.217,1230,7.1,7.17,Jan18 1230 Puts,,,6.7
RUT 18O1230,-1,,,,13.8,0.216,P,-11.957,0.093,O,13.4,,0,0.058,,19,-0.004,0.214,180316,,170922,-88.74,0.065,-11.525,15:30:00,,199.54,0.212,0,0.215,1230,13.4,13.45,Mar18 1230 Puts,,,13
RUT 17V1240,-1,,,,1.05,0.288,P,-2.315,0.048,O,0.85,,0,0.023,,926,-0.167,0.278,171020,,170922,-2.643,0.065,-9.335,15:30:00,,22.094,0.267,0,0.287,1240,0.85,1.02,Oct 1240 Puts,,,0.65
RUT 17W1240,-1,,,,2.6,0.24,P,-4.348,0.068,O,2.4,,0,0.029,,379,-0.032,0.236,171117,,170922,-9.999,0.065,-10.539,15:30:00,,52.488,0.232,0,0.238,1240,2.4,2.48,Nov 1240 Puts,,,2.2
RUT 17X1240,-1,,,,4.7,0.223,P,-6.485,0.083,O,4.45,,0,0.036,,157,-0.018,0.22,171215,,170922,-22.535,0.065,-11.045,15:30:00,,88.091,0.217,0,0.221,1240,4.45,4.53,Dec 1240 Puts,,,4.2
