Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,Exp.Date,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,1395.9,-11.9,1406.9,1395.8,,, ,1,0,I,1395.9,1403,0,,1407.8,,,,,,170228,,0.108,,15:30:00,,,,,,,,,RUT Index,0,,
RUT 17O1160,0.3,-0.1,0.3,0.3,0.5,0.387,P,-0.712,0.019,O,0.35,0.3,0,0.019,0.4,712,0.4,0.369,170317,,170228,-0.474,0.108,-7.559,15:30:00,,6.002,0.345,0,0.355,1160,0.35,0.25,Mar 1160 Puts,,20,0.2
RUT 17P1160,-1,,,,2.25,0.281,P,-3.691,0.055,O,2.17,,0,0.033,,444,-0.04,0.279,170421,,170228,-7.633,0.108,-10.973,15:30:00,,42.66,0.277,0,0.281,1160,2.17,2.26,Apr 1160 Puts,,,2.1
RUT 17Q1160,-1,,,,5.9,0.278,P,-6.86,0.074,O,5.65,,0,0.045,,76,-0.012,0.275,170519,,170228,-22.132,0.108,-14.502,15:30:00,,86.439,0.272,0,0.276,1160,5.65,5.72,May 1160 Puts,,,5.4
RUT 17R1160,-1,,,,9.1,0.267,P,-9.011,0.081,O,8.8,,0,0.053,,43,-0.012,0.264,170616,,170228,-39.618,0.108,-14.749,15:30:00,,123.294,0.262,0.001,0.265,1160,8.8,8.91,Jun 1160 Puts,,,8.5
RUT 17U1160,-1,,,,20,0.251,P,-13.993,0.087,O,19.6,,0,0.076,,,-0.011,0.249,170915,,170228,-116.224,0.108,-13.775,15:30:00,,228.166,0.247,0.011,0.25,1160,19.6,19.81,Sep 1160 Puts,,,19.2
RUT 17O1170,-1,,,,0.55,0.376,P,-0.821,0.022,O,0.4,,0,0.019,,3684,0.379,0.36,170317,,170228,-0.546,0.108,-8.352,15:30:00,,6.803,0.34,0,0.346,1170,0.4,0.29,Mar 1170 Puts,,,0.25
RUT 17P1170,-1,,,,2.6,0.278,P,-4.081,0.061,O,2.4,,0,0.033,,304,-0.032,0.273,170421,,170228,-8.437,0.108,-11.67,15:30:00,,46.291,0.269,0,0.275,1170,2.4,2.48,Apr 1170 Puts,,,2.2
RUT 17Q1170,-1,,,,6.3,0.272,P,-7.46,0.08,O,6.1,,0,0.045,,52,-0.016,0.27,170519,,170228,-24.066,0.108,-15.206,15:30:00,,92.173,0.268,0,0.271,1170,6.1,6.2,May 1170 Puts,,,5.9
RUT 17R1170,-1,,,,9.7,0.262,P,-9.708,0.087,O,9.35,,0,0.053,,8,-0.025,0.259,170616,,170228,-42.681,0.108,-15.195,15:30:00,,130.251,0.257,0.001,0.261,1170,9.35,9.59,Jun 1170 Puts,,,9
