Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,Exp.Date,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,1123.2,15.9,1123.5,1110.8,,, ,1,0,I,1123.2,1110.8,0,,1107.3,,,,,,160629,,0.148,,15:30:00,,,,,,,,,RUT Index,0,,
RUT 16S880,-1,,,,0.25,0.479,P,-0.377,0.011,O,0.18,,0,0.022,,127,,0.461,160715,,160629,-0.191,0.148,-4.573,15:30:00,,2.661,,0,0.442,880,0.18,0.12,Jul 880 Puts,,,0.1
RUT 16T880,1.7,-1.02,1.7,1.65,1.8,0.356,P,-2.835,0.044,O,1.68,1.65,0,0.039,2.72,512,0,0.351,160819,,160629,-4.662,0.148,-9.218,15:30:00,,27.298,0.346,0,0.351,880,1.68,1.68,Aug 880 Puts,,66,1.55
RUT 16U880,-1,,,,4,0.333,P,-5.012,0.06,O,3.8,,0,0.05,,438,0,0.329,160916,,160629,-12.923,0.148,-11.1,15:30:00,,53.927,0.325,0,0.329,880,3.8,3.8,Sep 880 Puts,,,3.6
RUT 16X880,-1,,,,13.2,0.305,P,-10.538,0.08,O,12.45,,0,0.079,,102,-0.01,0.3,161216,,160629,-60.269,0.148,-12.001,15:30:00,,138.6,0.294,0.01,0.301,880,12.45,12.58,Dec 880 Puts,,,11.7
RUT 17O880,-1,,,,23.1,0.294,P,-14.156,0.083,O,21.55,,0,0.103,,85,-0.013,0.287,170317,,160629,-127.167,0.148,-11.241,15:30:00,,209.982,0.279,0.032,0.288,880,21.55,21.83,Mar17 880 Puts,,,20
RUT 16S890,-1,,,,0.3,0.469,P,-0.438,0.013,O,0.22,,0,0.021,,720,,0.452,160715,,160629,-0.221,0.148,-5.387,15:30:00,,3.042,,0,0.43,890,0.22,0.14,Jul 890 Puts,,,0.15
RUT 16T890,-1,,,,1.95,0.347,P,-3.174,0.05,O,1.88,,0,0.039,,440,0.005,0.344,160819,,160629,-5.217,0.148,-9.978,15:30:00,,29.97,0.342,0,0.344,890,1.88,1.87,Aug 890 Puts,,,1.8
RUT 16U890,-1,,,,4.3,0.325,P,-5.516,0.066,O,4.15,,0,0.05,,744,-0.005,0.323,160916,,160629,-14.22,0.148,-11.698,15:30:00,,58.181,0.32,0,0.323,890,4.15,4.17,Sep 890 Puts,,,4
RUT 16X890,-1,,,,14.1,0.301,P,-11.295,0.085,O,13.4,,0,0.079,,5,-0.006,0.296,161216,,160629,-64.598,0.148,-12.478,15:30:00,,145.669,0.291,0.013,0.296,890,13.4,13.48,Dec 890 Puts,,,12.7
RUT 17O890,-1,,,,24.4,0.291,P,-14.989,0.088,O,22.9,,0,0.103,,,-0.01,0.284,170317,,160629,-134.662,0.148,-11.568,15:30:00,,218.187,0.277,0.039,0.285,890,22.9,23.13,Mar17 890 Puts,,,21.4
RUT 16S900,-1,,,,0.25,0.439,P,-0.511,0.015,O,0.23,,0,0.021,,655,0.437,0.435,160715,,160629,-0.258,0.148,-5.548,15:30:00,,3.49,0.428,0,0.418,900,0.23,0.16,Jul 900 Puts,,,0.2
RUT 16T900,2.09,-0.89,2.1,2.08,2.2,0.34,P,-3.557,0.056,O,2.1,2.09,0,0.039,2.98,1022,0.01,0.337,160819,,160629,-5.845,0.148,-10.733,15:30:00,,32.914,0.334,0,0.336,900,2.1,2.08,Aug 900 Puts,,200,2
RUT 16U900,-1,,,,4.8,0.321,P,-6.074,0.073,O,4.6,,0,0.05,,1271,0.004,0.318,160916,,160629,-15.655,0.148,-12.512,15:30:00,,62.75,0.314,0.001,0.317,900,4.6,4.58,Sep 900 Puts,,,4.4
