Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,Exp.Date,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,1014.3,4.1,1016,999.6,,, ,1,0,I,1014.3,1010.6,0,,1010.2,,,,,,160114,,0.202,,15:30:00,,,,,,,,,RUT Index,0,,
RUT 16M800,,,,,,,P,0,0,O,0,,0,,,,,,160115,,,0,0.202,0,,,0,,0,0.016,800,,0,Jan 800 Puts,,,
RUT 16N800,-1,,,,1.85,0.425,P,-3.022,0.052,O,1.75,,0,0.039,,614,0.08,0.42,160219,,160114,-3.173,0.202,-13.1,15:30:00,,21.85,0.416,0,0.414,800,1.75,1.62,Feb 800 Puts,,,1.65
RUT 16O800,-1,,,,4.2,0.375,P,-5.643,0.072,O,4.05,,0,0.052,,3786,0.007,0.372,160318,,160114,-10.693,0.202,-13.932,15:30:00,,48.204,0.369,0.003,0.372,800,4.05,4.02,Mar 800 Puts,,,3.9
RUT 16R800,-1,,,,13.6,0.328,P,-11.353,0.091,O,12.8,,0,0.083,,381,-0.001,0.322,160617,,160114,-53.866,0.202,-13.016,15:30:00,,126.433,0.316,0.039,0.322,800,12.8,12.81,Jun 800 Puts,,,12
RUT 16U800,-1,,,,23.1,0.312,P,-15.112,0.092,O,22,,0,0.109,,255,-0.02,0.306,160916,,160114,-116.967,0.202,-11.718,15:30:00,,193.147,0.301,0.084,0.309,800,22,22.45,Sep 800 Puts,,,20.9
RUT 16M810,-1,,,,0.2,,P,0,0,O,0.2,,0,,,451,,,160115,,160114,0,0.202,0,15:30:00,,0,,0,0.016,810,0.2,0,Jan 810 Puts,,,
RUT 16N810,2.28,0.18,2.28,2.28,2.05,0.414,P,-3.439,0.059,O,1.97,2.28,0,0.039,2.1,94,0.077,0.411,160219,,160114,-3.61,0.202,-14.176,15:30:00,,24.306,0.406,0,0.405,810,1.97,1.83,Feb 810 Puts,,2,1.85
RUT 16O810,-1,,,,4.7,0.369,P,-6.276,0.08,O,4.5,,0,0.052,,357,0.007,0.365,160318,,160114,-11.891,0.202,-14.859,15:30:00,,52.384,0.362,0.004,0.365,810,4.5,4.47,Mar 810 Puts,,,4.3
RUT 16R810,-1,,,,14.4,0.322,P,-12.263,0.097,O,13.5,,0,0.083,,17,-0.027,0.315,160617,,160114,-58.202,0.202,-13.284,15:30:00,,133.505,0.308,0.048,0.318,810,13.5,13.87,Jun 810 Puts,,,12.6
