Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,Exp.Date,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT 18M1300,-1,,,,7,0.219,P,-8.252,0.089,O,6.65,,0,0.041,,1076,-0.012,0.216,180119,,171011,-35.797,0.052,-12.43,15:30:00,,120.451,0.213,0,0.217,1300,6.65,6.73,Jan18 1300 Puts,,,6.3
RUT 18O1300,-1,,,,13.9,0.215,P,-12.355,0.097,O,13.5,,0,0.055,,2180,-0.014,0.213,180316,,171011,-85.04,0.052,-12.905,15:30:00,,201.359,0.211,0,0.214,1300,13.5,13.69,Mar18 1300 Puts,,,13.1
RUT 17J1310,-1,,,,201.8,,C,96.275,0.066,O,200.85,,0,0.13,,36,-0.002,,171020,,171011,30.839,0.052,-56.242,15:30:00,,19.318,,1,0.518,1310,1.55,201.31,Oct 1310 Calls,,,199.9
RUT 17K1310,-1,,,,203.3,,C,94.736,0.079,O,202.1,,0,0.131,,160,-0.004,,171117,,171011,124.184,0.052,-23.663,15:30:00,,51.801,,1,0.284,1310,2.8,202.99,Nov 1310 Calls,,,200.9
RUT 17L1310,-1,,,,206.4,,C,93.103,0.089,O,205.05,,0,0.133,,24,0,,171215,,171011,213.278,0.052,-19.338,15:30:00,,84.783,,1,0.236,1310,5.75,205.09,Dec 1310 Calls,,,203.7
RUT 18A1310,-1,,,,209.8,0.224,C,90.903,0.097,O,208.35,,0,0.137,,30,-0.001,0.213,180119,,171011,317.878,0.052,-17.693,15:30:00,,129.516,0.202,1,0.214,1310,9.05,208.5,Jan18 1310 Calls,,,206.9
RUT 18C1310,-1,,,,216,0.206,C,87.668,0.103,O,214.75,,0,0.144,,,-0.002,0.2,180316,,171011,471.68,0.052,-16.762,15:30:00,,201.135,0.194,1,0.202,1310,15.45,215.18,Mar18 1310 Calls,,,213.5
RUT 17V1310,-1,,,,0.35,0.398,P,-0.794,0.024,O,0.35,,0,0.015,,2624,0.458,,171020,,171011,-0.301,0.052,-9.437,15:30:00,,5.197,,0,0.379,1310,0.35,0.24,Oct 1310 Puts,,,
RUT 17W1310,-1,,,,1.9,0.257,P,-3.459,0.063,O,1.7,,0,0.024,,596,0,0.251,171117,,171011,-5.448,0.052,-12.12,15:30:00,,36.963,0.246,0,0.251,1310,1.7,1.7,Nov 1310 Puts,,,1.5
RUT 17X1310,-1,,,,4.1,0.228,P,-6.045,0.084,O,3.85,,0,0.032,,549,-0.005,0.225,171215,,171011,-16.873,0.052,-12.797,15:30:00,,76.579,0.221,0,0.225,1310,3.85,3.87,Dec 1310 Puts,,,3.6
RUT 18M1310,-1,,,,,,P,-8.925,0.096,O,-1,,0,0.04,,7,,,180119,,171011,-38.705,0.052,-12.985,15:30:00,,127.706,,0,0.212,1310,,7.24,Jan18 1310 Puts,,,
RUT 18O1310,-1,,,,14.9,0.212,P,-13.162,0.103,O,14.5,,0,0.055,,13,-0.003,0.21,180316,,171011,-90.578,0.052,-13.375,15:30:00,,210.385,0.208,0,0.21,1310,14.5,14.55,Mar18 1310 Puts,,,14.1
RUT 17J1320,-1,,,,191.7,,C,96.113,0.072,O,190.8,,0,0.123,,52,-0.003,,171020,,171011,31.025,0.052,-55.832,15:30:00,,20.001,,1,0.495,1320,1.5,191.32,Oct 1320 Calls,,,189.9
RUT 17K1320,-1,,,,193.8,,C,94.332,0.086,O,192.7,,0,0.125,,33,-0.002,,171117,,171011,124.562,0.052,-24.207,15:30:00,,54.917,,1,0.275,1320,3.4,193.17,Nov 1320 Calls,,,191.6
RUT 17L1320,-1,,,,196.2,,C,92.506,0.097,O,194.95,,0,0.127,,9,-0.003,,171215,,171011,213.391,0.052,-19.952,15:30:00,,90.344,,1,0.23,1320,5.65,195.47,Dec 1320 Calls,,,193.7
RUT 18A1320,-1,,,,199.9,0.216,C,90.162,0.105,O,198.55,,0,0.131,,20,-0.003,0.206,180119,,171011,317.401,0.052,-17.713,15:30:00,,137.192,0.196,1,0.21,1320,9.25,199.11,Jan18 1320 Calls,,,197.2
RUT 18C1320,-1,,,,,,C,86.772,0.109,O,-1,,0,0.139,,,,,180316,,171011,469.779,0.052,-17.462,15:30:00,,211.144,,1,0.199,1320,,206.18,Mar18 1320 Calls,,,
RUT 17V1320,-1,,,,,,P,-0.865,0.027,O,-1,,0,0.014,,5085,,,171020,,171011,-0.328,0.052,-9.792,15:30:00,,5.604,,0,0.363,1320,,0.25,Oct 1320 Puts,,,
