Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-05-23,102.3,103.75,102.06,103.63,3327626.0,0.0,1.0,102.3,103.75,102.06,103.63,3327626.0
2017-05-22,102.67,103.05,101.81,102.29,4376457.0,0.0,1.0,102.67,103.05,101.81,102.29,4376457.0
2017-05-19,101.57,102.86,101.27,102.43,4636549.0,0.0,1.0,101.57,102.86,101.27,102.43,4636549.0
2017-05-18,99.14,100.67,97.74,100.22,5931547.0,0.0,1.0,99.14,100.67,97.74,100.22,5931547.0
2017-05-17,101.0,101.65,99.89,100.14,4618515.0,0.0,1.0,101.0,101.65,99.89,100.14,4618515.0
2017-05-16,102.75,102.8,101.27,102.34,3115859.0,0.0,1.0,102.75,102.8,101.27,102.34,3115859.0
2017-05-15,101.59,102.56,101.41,102.42,3748492.0,0.0,1.0,101.59,102.56,101.41,102.42,3748492.0
2017-05-12,100.59,100.95,100.17,100.71,4111987.0,0.0,1.0,100.59,100.95,100.17,100.71,4111987.0
2017-05-11,101.9,101.9189,100.15,100.99,5220286.0,0.0,1.0,101.9,101.9189,100.15,100.99,5220286.0
2017-05-10,99.72,100.71,99.301,100.36,4697268.0,0.0,1.0,99.72,100.71,99.301,100.36,4697268.0
2017-05-09,99.72,100.21,99.25,99.29,9742039.0,0.0,1.0,99.72,100.21,99.25,99.29,9742039.0
2017-05-08,99.48,100.1,98.94,99.37,5094647.0,0.0,1.0,99.48,100.1,98.94,99.37,5094647.0
2017-05-05,99.5,99.9869,99.02,99.64,4086754.0,0.0,1.0,99.5,99.9869,99.02,99.64,4086754.0
2017-05-04,101.44,101.5,98.635,99.39,7271434.0,0.0,1.0,101.44,101.5,98.635,99.39,7271434.0
2017-05-03,101.04,102.17,100.78,101.54,4278364.0,0.0,1.0,101.04,102.17,100.78,101.54,4278364.0
2017-05-02,102.27,102.71,101.25,101.51,4516369.0,0.0,1.0,102.27,102.71,101.25,101.51,4516369.0
2017-05-01,102.65,102.99,101.41,102.0,4512654.0,0.0,1.0,102.65,102.99,101.41,102.0,4512654.0
2017-04-28,102.83,103.53,102.23,102.26,4015957.0,0.0,1.0,102.83,103.53,102.23,102.26,4015957.0
2017-04-27,104.05,104.24,102.56,102.68,6727449.0,0.0,1.0,104.05,104.24,102.56,102.68,6727449.0
2017-04-26,103.8,105.98,103.64,104.66,9856082.0,0.0,1.0,103.8,105.98,103.64,104.66,9856082.0
2017-04-25,102.88,104.89,102.0,104.42,18383507.0,0.0,1.0,102.88,104.89,102.0,104.42,18383507.0
2017-04-24,95.84,97.06,95.8,96.81,6739398.0,0.0,1.0,95.84,97.06,95.8,96.81,6739398.0
2017-04-21,95.19,95.25,93.81,94.32,4128655.0,0.0,1.0,95.19,95.25,93.81,94.32,4128655.0
2017-04-20,93.28,94.96,92.98,94.66,4852017.0,0.77,1.0,93.28,94.96,92.98,94.66,4852017.0
2017-04-19,94.86,95.97,93.29,93.47,5550388.0,0.0,1.0,94.09459918264697,95.19564287959761,92.53726710677985,92.71581473331238,5550388.0
2017-04-18,93.5,94.54,93.12,94.39,3311018.0,0.0,1.0,92.7455726710678,93.77718117992247,92.36863879283246,93.62839149114535,3311018.0
2017-04-17,93.69,94.35,93.49,94.14,3719144.0,0.0,1.0,92.93403961018548,93.58871424080478,92.73565335848265,93.38040867651682,3719144.0
2017-04-13,94.6,94.86,93.09,93.1,4705994.0,0.0,1.0,93.8366970554333,94.09459918264697,92.33888085507702,92.34880016766216,4705994.0
2017-04-12,96.69,96.77,94.66,94.86,4773941.0,0.0,1.0,95.90983338572777,95.98918788640889,93.89621293094415,94.09459918264697,4773941.0
2017-04-11,97.3,97.308,95.67,97.1,4250436.0,0.0,1.0,96.51491145342136,96.52284690348948,94.89806350204339,96.31652520171853,4250436.0
2017-04-10,96.31,97.89,96.1,97.14,5168332.0,0.0,1.0,95.5328995074924,97.10015089594468,95.32459394320445,96.35620245205911,5168332.0
2017-04-07,95.87,96.62,95.42,95.52,4463758.0,0.0,1.0,95.09644975374621,95.84039819763179,94.65008068741487,94.74927381326627,4463758.0
2017-04-06,94.42,96.42,94.26,95.82,5421615.0,0.0,1.0,93.65814942890077,95.64201194592896,93.49944042753852,95.0468531908205,5421615.0
2017-04-05,94.92,96.7299,93.96,94.24,6061256.0,0.0,1.0,94.15411505815781,95.94941144294248,93.20186104998427,93.47960180236822,6061256.0
2017-04-04,93.89,94.78,93.06,94.13,5797548.0,0.0,1.0,93.1324258618883,94.01524468196584,92.3091229173216,93.37048936393168,5797548.0
2017-04-03,92.43,92.84,91.0,92.27,3685857.0,0.0,1.0,91.68420622445772,92.09089804044851,90.26574452478256,91.52549722309546,3685857.0
2017-03-31,92.63,93.24,92.02,92.76,4020648.0,0.0,1.0,91.88259247616054,92.48767054385414,91.27751440846694,92.01154353976737,4020648.0
2017-03-30,92.98,93.37,92.4,93.22,3672610.0,0.0,1.0,92.22976841664048,92.61662160746097,91.6544482867023,92.46783191868386,3672610.0
2017-03-29,92.76,93.249,92.4,92.86,2513702.0,0.0,1.0,92.01154353976737,92.49659792518077,91.6544482867023,92.11073666561879,2513702.0
2017-03-28,91.56,93.16,91.51,92.95,3865934.0,0.0,1.0,90.82122602955046,92.408316043173,90.77162946662476,92.20001047888505,3865934.0
2017-03-27,90.9,91.97,90.34,91.51,3425749.0,0.0,1.0,90.16655139893116,91.22791784554124,89.61106989416326,90.77162946662476,3425749.0
2017-03-24,92.24,93.24,91.56,92.15,3634444.0,0.0,1.0,91.49573928534004,92.48767054385414,90.82122602955046,91.40646547207378,3634444.0
2017-03-23,92.45,93.0,91.96,92.23,2586255.0,0.0,1.0,91.704044849628,92.24960704181075,91.21799853295609,91.48581997275491,2586255.0
2017-03-22,92.0,93.13,91.72,92.43,5035553.0,0.0,1.0,91.25767578329666,92.37855810541758,90.97993503091271,91.68420622445772,5035553.0
2017-03-21,95.38,95.39,92.09,92.43,7720164.0,0.0,1.0,94.6104034370743,94.62032274965944,91.34694959656294,91.68420622445772,7720164.0
2017-03-20,93.13,95.48,92.89,95.4,6516200.0,0.0,1.0,92.37855810541758,94.70959656292571,92.14049460337421,94.63024206224459,6516200.0
2017-03-17,92.99,93.32,92.65,92.91,7141421.0,0.0,1.0,92.23968772922561,92.56702504453526,91.90243110133083,92.16033322854449,7141421.0
2017-03-16,93.97,94.09,92.641,92.85,3717911.0,0.0,1.0,93.21178036256943,93.33081211359112,91.8935037200042,92.10081735303363,3717911.0
2017-03-15,92.37,93.79,92.06,93.36,6434599.0,0.0,1.0,91.62469034894688,93.0332327360369,91.3171916588075,92.60670229487583,6434599.0
2017-03-14,91.22,92.0,90.62,91.86,5781058.0,0.0,1.0,90.48396940165567,91.25767578329666,89.88881064654721,91.11880540710469,5781058.0
2017-03-13,93.33,93.53,92.26,92.64,4376144.0,0.0,1.0,92.57694435712041,92.77533060882323,91.51557791051033,91.89251178874568,4376144.0
2017-03-10,91.89,93.1,90.81,92.31,7167684.0,0.0,1.0,91.14856334486011,92.34880016766216,90.07727758566489,91.56517447343603,7167684.0
2017-03-09,92.45,93.22,90.41,91.39,9260934.0,0.0,1.0,91.704044849628,92.46783191868386,89.68050508225924,90.65259771560306,9260934.0
2017-03-08,94.1,95.48,92.86,93.23,9370375.0,0.0,1.0,93.34073142617625,94.70959656292571,92.11073666561879,92.477751231269,9370375.0
2017-03-07,95.65,96.23,94.76,95.93,4682929.0,0.0,1.0,94.8782248768731,95.45354500681128,93.99540605679556,95.15596562925705,4682929.0
2017-03-06,94.32,95.94,94.1,95.66,4706107.0,0.0,1.0,93.55895630304936,95.1658849418422,93.34073142617625,94.88814418945825,4706107.0
2017-03-03,94.36,95.9,94.21,95.12,8178213.0,0.0,1.0,93.59863355338992,95.12620769150163,93.4498438646128,94.35250130986064,8178213.0
2017-03-02,98.49,98.73,92.84,94.36,23053381.0,0.0,1.0,97.69530965105312,97.93337315309653,92.09089804044851,93.59863355338992,23053381.0
2017-03-01,98.2,98.97,97.43,98.58,5564894.0,0.0,1.0,97.40764958608405,98.1714366551399,96.6438625170282,97.7845834643194,5564894.0
2017-02-28,97.24,97.6,96.44,96.66,3951544.0,0.0,1.0,96.45539557791051,96.81249083097558,95.66185057109924,95.88007544797233,3951544.0
2017-02-27,95.48,97.52,95.115,97.44,5444803.0,0.0,1.0,94.70959656292571,96.73313633029446,94.34754165356806,96.65378182961334,5444803.0
2017-02-24,94.86,95.5,93.5,95.48,5018141.0,0.0,1.0,94.09459918264697,94.72943518809599,92.7455726710678,94.70959656292571,5018141.0
2017-02-23,98.44,98.5,95.12,95.55,6024786.0,0.0,1.0,97.64571308812742,97.70522896363828,94.35250130986064,94.77903175102169,6024786.0
2017-02-22,98.04,98.73,97.62,98.2,3031129.0,0.0,1.0,97.2489405847218,97.93337315309653,96.83232945614587,97.40764958608405,3031129.0
2017-02-21,98.87,99.2,97.92,98.1,3916568.0,0.0,1.0,98.07224352928849,98.39958084459815,97.1299088337001,97.30845646023263,3916568.0
2017-02-17,98.07,98.95,97.54,98.85,3631347.0,0.0,1.0,97.2786985224772,98.15159802996962,96.75297495546475,98.0524049041182,3631347.0
2017-02-16,99.05,99.07,97.8,98.26,3062422.0,0.0,1.0,98.25079115582102,98.2706297809913,97.0108770826784,97.46716546159489,3062422.0
2017-02-15,98.11,99.02,98.0,99.02,4325979.0,0.0,1.0,97.31837577281777,98.2210332180656,97.20926333438122,98.2210332180656,4325979.0
2017-02-14,98.29,98.74,97.26,98.09,4342241.0,0.0,1.0,97.49692339935032,97.94329246568165,96.4752342030808,97.2985371476475,4342241.0
