Date,ExpDate,Strike,Type,Mid,Delta,Gamma,Vega,Theta
21/03/2017,21/04/2017,1150,Put,0.73,-1.528,0.034,15.481,-7.632
21/03/2017,21/04/2017,1160,Put,0.78,-1.728,0.039,17.201,-7.952
21/03/2017,21/04/2017,1170,Put,0.84,-1.961,0.044,19.156,-8.38
21/03/2017,21/04/2017,1180,Call,191.7,97.399,0.056,24.278,-12.983
21/03/2017,21/04/2017,1180,Put,0.88,-2.234,0.051,21.381,-8.602
21/03/2017,21/04/2017,1190,Call,182.36,97.059,0.064,26.892,-13.788
21/03/2017,21/04/2017,1190,Put,1.09,-2.553,0.059,23.919,-10.073
21/03/2017,21/04/2017,1200,Call,172.2,96.662,0.073,29.854,-14.672
21/03/2017,21/04/2017,1200,Put,1.21,-2.929,0.068,26.817,-10.774
21/03/2017,21/04/2017,1210,Call,162.15,96.197,0.084,33.214,-15.642
21/03/2017,21/04/2017,1210,Put,1.33,-3.374,0.078,30.129,-11.445
21/03/2017,21/04/2017,1220,Call,152.35,95.651,0.097,37.031,-16.707
21/03/2017,21/04/2017,1220,Put,1.42,-3.9,0.091,33.917,-11.865
21/03/2017,21/04/2017,1230,Call,142.75,95.006,0.111,41.366,-17.874
21/03/2017,21/04/2017,1230,Put,1.7,-4.526,0.106,38.25,-13.333
21/03/2017,21/04/2017,1240,Call,132.9,94.241,0.129,46.29,-19.149
21/03/2017,21/04/2017,1240,Put,1.98,-5.274,0.124,43.203,-14.723
21/03/2017,21/04/2017,1250,Call,123.3,93.333,0.15,51.878,-20.539
21/03/2017,21/04/2017,1250,Put,2.25,-6.168,0.145,48.856,-15.873
21/03/2017,21/04/2017,1260,Call,113.79,92.25,0.174,58.205,-22.046
21/03/2017,21/04/2017,1260,Put,2.68,-7.242,0.17,55.293,-17.662
21/03/2017,21/04/2017,1270,Call,104.15,90.954,0.203,65.346,-21.57
21/03/2017,21/04/2017,1270,Put,3.09,-8.535,0.199,62.593,-19.049
21/03/2017,21/04/2017,1280,Call,95.09,89.401,0.237,73.362,-24.816
21/03/2017,21/04/2017,1280,Put,3.65,-10.097,0.234,70.845,-20.839
21/03/2017,21/04/2017,1290,Call,85.63,87.534,0.276,82.295,-26.175
21/03/2017,21/04/2017,1290,Put,4.41,-12.02,0.275,80.238,-23.121
21/03/2017,21/04/2017,1300,Call,76.5,85.289,0.322,92.14,-28.183
21/03/2017,21/04/2017,1300,Put,5.35,-14.383,0.322,90.767,-25.441
21/03/2017,21/04/2017,1310,Call,67.65,82.588,0.375,102.823,-30.508
21/03/2017,21/04/2017,1310,Put,6.56,-17.266,0.375,102.277,-27.876
21/03/2017,21/04/2017,1320,Call,59.25,79.32,0.434,114.23,-33.251
21/03/2017,21/04/2017,1320,Put,7.95,-20.746,0.434,114.444,-30.023
21/03/2017,21/04/2017,1330,Call,51.08,75.329,0.499,126.138,-35.513
21/03/2017,21/04/2017,1330,Put,9.81,-24.892,0.496,126.735,-32.34
21/03/2017,21/04/2017,1340,Call,43.55,70.544,0.565,137.764,-37.701
21/03/2017,21/04/2017,1340,Put,12.06,-29.747,0.558,138.38,-34.057
21/03/2017,21/04/2017,1350,Call,36,64.953,0.627,148.001,-38.364
21/03/2017,21/04/2017,1350,Put,14.59,-35.313,0.616,148.4,-34.994
21/03/2017,21/04/2017,1360,Call,29.48,58.621,0.679,155.545,-39.201
21/03/2017,21/04/2017,1360,Put,18.07,-41.535,0.664,155.678,-35.731
21/03/2017,21/04/2017,1370,Call,23.4,51.712,0.712,159.112,-38.661
21/03/2017,21/04/2017,1370,Put,22.13,-48.289,0.696,159.113,-35.388
21/03/2017,21/04/2017,1380,Call,17.97,44.484,0.72,157.747,-36.741
21/03/2017,21/04/2017,1380,Put,26.97,-55.38,0.707,157.821,-33.973
21/03/2017,21/04/2017,1390,Call,13.58,37.26,0.701,151.132,-34.328
21/03/2017,21/04/2017,1390,Put,32.58,-62.55,0.693,151.374,-31.61
21/03/2017,21/04/2017,1400,Call,10.09,30.384,0.656,139.741,-31.197
21/03/2017,21/04/2017,1400,Put,38.99,-69.509,0.653,139.958,-28.3
21/03/2017,21/04/2017,1410,Call,7.19,24.15,0.589,124.765,-27.022
21/03/2017,21/04/2017,1410,Put,45.83,-75.974,0.59,124.421,-23.511
21/03/2017,21/04/2017,1420,Call,5.12,18.763,0.51,107.825,-22.901
21/03/2017,21/04/2017,1420,Put,53.79,-81.707,0.511,106.16,-19.438
21/03/2017,21/04/2017,1430,Call,3.55,14.31,0.427,90.578,-18.718
21/03/2017,21/04/2017,1430,Put,62.15,-86.554,0.424,86.859,-15.05
21/03/2017,21/04/2017,1440,Call,2.4,10.772,0.348,74.378,-14.754
21/03/2017,21/04/2017,1440,Put,71.3,-90.471,0.335,68.09,-12.349
