Date,ExpDate,Strike,Type,Mid,Delta,Gamma,Vega,Theta
18/02/2016,19/02/2016,790,Put,0.25,0,0,0,0
18/02/2016,19/02/2016,800,Put,1,0,0,0,0
18/02/2016,19/02/2016,810,Put,0.3,0,0,0,0
18/02/2016,19/02/2016,820,Call,190.1,100,0,0,-0.385
18/02/2016,19/02/2016,820,Put,0.05,0,0,0,0
18/02/2016,19/02/2016,830,Call,180.1,100,0,0,-0.39
18/02/2016,19/02/2016,830,Put,0.03,0,0,0,0
18/02/2016,19/02/2016,840,Call,170.1,100,0,0,-0.394
18/02/2016,19/02/2016,840,Put,0.05,0,0,0,0
18/02/2016,19/02/2016,850,Call,160.1,100,0,0,-0.399
18/02/2016,19/02/2016,850,Put,0.03,0,0,0,0
18/02/2016,19/02/2016,860,Call,150.1,100,0,0,-0.404
18/02/2016,19/02/2016,860,Put,0.03,0,0,0,0
18/02/2016,19/02/2016,870,Call,140.1,100,0,0,-0.409
18/02/2016,19/02/2016,870,Put,-1,0,0,0,0
18/02/2016,19/02/2016,880,Call,130.3,100,0,0,-0.413
18/02/2016,19/02/2016,880,Put,0.08,0,0,0,0
18/02/2016,19/02/2016,890,Call,120.3,100,0,0,-0.418
18/02/2016,19/02/2016,890,Put,0.25,0,0,0,0
18/02/2016,19/02/2016,900,Call,110.3,100,0,0,-0.423
18/02/2016,19/02/2016,900,Put,-1,0,0,0,0
18/02/2016,19/02/2016,910,Call,100,100,0,0,-0.427
18/02/2016,19/02/2016,910,Put,0.08,0,0,0,0
18/02/2016,19/02/2016,920,Call,90.2,100,0,0,-0.432
18/02/2016,19/02/2016,920,Put,0.07,0,0,0,0
18/02/2016,19/02/2016,930,Call,80,100,0,0,-0.437
18/02/2016,19/02/2016,930,Put,0.08,0,0,0,0
18/02/2016,19/02/2016,940,Call,70.2,100,0,0,-0.441
18/02/2016,19/02/2016,940,Put,0.08,0,0,0,0
18/02/2016,19/02/2016,950,Call,60,100,0,0.001,-0.447
18/02/2016,19/02/2016,950,Put,0.11,0,0,0.001,-0.001
18/02/2016,19/02/2016,960,Call,50.15,99.993,0.002,0.016,-0.474
18/02/2016,19/02/2016,960,Put,0.14,-0.007,0.002,0.016,-0.024
18/02/2016,19/02/2016,970,Call,40.17,99.88,0.029,0.213,-0.918
