Date,ExpDate,Strike,Type,Mid,Delta,Gamma,Vega,Theta
22/09/2017,20/10/2017,1220,Put,0.7,-2.006,0.039,19.572,-8.203
22/09/2017,20/10/2017,1230,Put,0.78,-2.151,0.043,20.767,-8.863
22/09/2017,20/10/2017,1240,Put,0.85,-2.315,0.048,22.094,-9.335
22/09/2017,20/10/2017,1250,Call,199.85,95.21,0.076,40.075,-26.709
22/09/2017,20/10/2017,1250,Put,0.93,-2.501,0.053,23.574,-9.947
22/09/2017,20/10/2017,1260,Call,190.2,94.948,0.083,41.823,-26.786
22/09/2017,20/10/2017,1260,Put,1.02,-2.712,0.059,25.231,-10.624
22/09/2017,20/10/2017,1270,Call,180.6,94.653,0.09,43.748,-26.886
22/09/2017,20/10/2017,1270,Put,1.1,-2.955,0.066,27.094,-11.067
22/09/2017,20/10/2017,1280,Call,170.1,94.322,0.099,45.878,-27.008
22/09/2017,20/10/2017,1280,Put,1.2,-3.234,0.074,29.196,-11.771
22/09/2017,20/10/2017,1290,Call,159.95,93.947,0.109,48.245,-27.157
22/09/2017,20/10/2017,1290,Put,1.3,-3.558,0.083,31.582,-12.326
22/09/2017,20/10/2017,1300,Call,150.3,93.518,0.12,50.886,-27.335
22/09/2017,20/10/2017,1300,Put,1.48,-3.937,0.094,34.299,-13.416
22/09/2017,20/10/2017,1310,Call,140.5,93.026,0.133,53.848,-27.544
22/09/2017,20/10/2017,1310,Put,1.55,-4.383,0.108,37.411,-13.625
22/09/2017,20/10/2017,1320,Call,130.35,92.456,0.149,57.186,-27.788
22/09/2017,20/10/2017,1320,Put,1.71,-4.912,0.123,40.991,-14.385
22/09/2017,20/10/2017,1330,Call,120.4,91.791,0.168,60.968,-28.069
22/09/2017,20/10/2017,1330,Put,1.9,-5.545,0.143,45.128,-15.366
22/09/2017,20/10/2017,1340,Call,111.65,91.006,0.19,65.273,-28.391
22/09/2017,20/10/2017,1340,Put,2.12,-6.31,0.166,49.932,-16.167
22/09/2017,20/10/2017,1350,Call,101.55,90.072,0.217,70.199,-27.958
22/09/2017,20/10/2017,1350,Put,2.33,-7.244,0.195,55.532,-16.908
22/09/2017,20/10/2017,1360,Call,91.9,88.947,0.249,75.863,-28.832
22/09/2017,20/10/2017,1360,Put,2.68,-8.407,0.231,62.153,-18.226
22/09/2017,20/10/2017,1370,Call,82,87.575,0.289,82.4,-28.28
22/09/2017,20/10/2017,1370,Put,3,-9.89,0.275,70.081,-19.102
22/09/2017,20/10/2017,1380,Call,72.45,85.882,0.339,89.961,-29.062
22/09/2017,20/10/2017,1380,Put,3.51,-11.794,0.331,79.509,-20.462
22/09/2017,20/10/2017,1390,Call,63.25,83.759,0.401,98.71,-30.531
22/09/2017,20/10/2017,1390,Put,4.15,-14.249,0.4,90.577,-21.803
22/09/2017,20/10/2017,1400,Call,54.04,80.954,0.478,109.136,-31.339
22/09/2017,20/10/2017,1400,Put,5.05,-17.425,0.485,103.297,-23.565
22/09/2017,20/10/2017,1410,Call,45.12,77.181,0.572,121.327,-32.351
22/09/2017,20/10/2017,1410,Put,6.25,-21.529,0.587,117.406,-25.289
