Date,Exp.Date,Strike Price,Call/Put,Market Price,Delta,Gamma,Vega,Theta
13/01/2017,20/01/2017,1130,Put,0.2,-0.215,0.007,1.299,-3.55
13/01/2017,20/01/2017,1140,Put,0.2,-0.234,0.008,1.403,-3.714
13/01/2017,20/01/2017,1150,Put,0.2,-0.256,0.009,1.522,-3.899
13/01/2017,20/01/2017,1160,Call,215.95,98.642,0.032,6.641,-24.262
13/01/2017,20/01/2017,1160,Put,0.2,-0.282,0.01,1.658,-4.108
13/01/2017,20/01/2017,1170,Call,206.6,98.545,0.036,7.051,-24.83
13/01/2017,20/01/2017,1170,Put,0.2,-0.311,0.012,1.815,-4.345
13/01/2017,20/01/2017,1180,Call,196.6,98.434,0.04,7.511,-25.47
13/01/2017,20/01/2017,1180,Put,0.25,-0.346,0.013,1.998,-4.617
13/01/2017,20/01/2017,1190,Call,186.6,98.306,0.044,8.032,-26.192
13/01/2017,20/01/2017,1190,Put,0.25,-0.388,0.015,2.212,-4.931
13/01/2017,20/01/2017,1200,Call,176.6,98.159,0.05,8.623,-27.008
13/01/2017,20/01/2017,1200,Put,0.08,-0.438,0.018,2.465,-5.294
13/01/2017,20/01/2017,1210,Call,166.6,97.988,0.056,9.3,-27.935
13/01/2017,20/01/2017,1210,Put,0.15,-0.498,0.021,2.766,-5.718
13/01/2017,20/01/2017,1220,Call,156.6,97.788,0.064,10.079,-28.991
13/01/2017,20/01/2017,1220,Put,0.2,-0.572,0.025,3.129,-6.217
13/01/2017,20/01/2017,1230,Call,146.25,97.55,0.073,10.983,-30.2
13/01/2017,20/01/2017,1230,Put,0.25,-0.664,0.03,3.57,-6.809
13/01/2017,20/01/2017,1240,Call,136.6,97.266,0.084,12.039,-31.589
13/01/2017,20/01/2017,1240,Put,0.2,-0.779,0.036,4.113,-7.517
13/01/2017,20/01/2017,1250,Call,126,96.923,0.098,13.283,-33.194
13/01/2017,20/01/2017,1250,Put,0.15,-0.926,0.045,4.787,-8.374
13/01/2017,20/01/2017,1260,Call,116.55,96.502,0.115,14.761,-35.056
13/01/2017,20/01/2017,1260,Put,0.2,-1.117,0.056,5.638,-9.42
13/01/2017,20/01/2017,1270,Call,106.28,95.981,0.137,16.535,-37.226
13/01/2017,20/01/2017,1270,Put,0.25,-1.37,0.07,6.724,-10.967
13/01/2017,20/01/2017,1280,Call,96.38,95.324,0.165,18.682,-39.768
13/01/2017,20/01/2017,1280,Put,0.28,-1.71,0.091,8.134,-11.898
13/01/2017,20/01/2017,1290,Call,85.8,94.483,0.202,21.307,-42.755
13/01/2017,20/01/2017,1290,Put,0.37,-2.178,0.119,9.99,-14.874
13/01/2017,20/01/2017,1300,Call,76.25,93.388,0.249,24.546,-46.271
13/01/2017,20/01/2017,1300,Put,0.45,-2.84,0.16,12.475,-16.978
13/01/2017,20/01/2017,1310,Call,66.4,91.933,0.313,28.574,-50.403
13/01/2017,20/01/2017,1310,Put,0.53,-3.8,0.22,15.85,-19.018
13/01/2017,20/01/2017,1320,Call,57.25,89.957,0.4,33.611,-55.22
13/01/2017,20/01/2017,1320,Put,0.6,-5.233,0.31,20.493,-20.216
13/01/2017,20/01/2017,1330,Call,47.6,87.215,0.518,39.905,-68.685
13/01/2017,20/01/2017,1330,Put,1.03,-7.44,0.445,26.935,-29.744
13/01/2017,20/01/2017,1340,Call,37.41,83.322,0.682,47.672,-61.002
13/01/2017,20/01/2017,1340,Put,1.5,-11.06,0.655,36.091,-36.976
13/01/2017,20/01/2017,1350,Call,29.14,77.651,0.904,56.939,-76.355
13/01/2017,20/01/2017,1350,Put,2.43,-17.096,0.966,48.476,-47.615
13/01/2017,20/01/2017,1360,Call,20.72,69.029,1.173,67.15,-80.093
13/01/2017,20/01/2017,1360,Put,4.07,-26.871,1.374,62.853,-58.499
13/01/2017,20/01/2017,1370,Call,13.48,56.874,1.414,74.784,-81.712
13/01/2017,20/01/2017,1370,Put,6.77,-41.516,1.775,74.198,-63.698
13/01/2017,20/01/2017,1380,Call,8.03,42.121,1.491,74.434,-77.124
13/01/2017,20/01/2017,1380,Put,11.2,-60.408,1.913,73.334,-57.417
13/01/2017,20/01/2017,1390,Call,4.38,27.516,1.315,63.594,-63.562
13/01/2017,20/01/2017,1390,Put,17.5,-79.468,1.533,54.302,-35.552
13/01/2017,20/01/2017,1400,Call,2.04,16.047,0.967,46.56,-42.946
13/01/2017,20/01/2017,1400,Put,25.15,-92.828,0.796,26.339,-14.663
13/01/2017,20/01/2017,1410,Call,0.94,8.791,0.621,30.571,-26.485
13/01/2017,20/01/2017,1410,Put,34.5,-98.56,0.229,7.159,-2.176
13/01/2017,20/01/2017,1420,Call,0.38,4.879,0.377,19.434,-13.737
13/01/2017,20/01/2017,1420,Put,44.55,-99.873,0.028,0.847,1.118
13/01/2017,20/01/2017,1430,Call,0.25,2.878,0.231,12.66,-9.986
13/01/2017,20/01/2017,1430,Put,54.15,-99.997,0.001,0.03,1.448
13/01/2017,20/01/2017,1440,Call,0.17,1.736,0.142,8.285,-7.49
13/01/2017,20/01/2017,1440,Put,63.95,-100,0,0,1.467
13/01/2017,20/01/2017,1450,Call,0.17,1.071,0.089,5.468,-7.626
