Date,Exp.Date,Strike Price,Call/Put,Market Price,Delta,Gamma,Vega,Theta
24/02/2016,18/03/2016,800,Put,0.4,-1.029,0.028,6.886,-6.14
24/02/2016,18/03/2016,810,Put,0.48,-1.277,0.035,8.301,-7.084
24/02/2016,18/03/2016,820,Put,0.57,-1.585,0.043,9.993,-8.056
24/02/2016,18/03/2016,830,Call,168.25,96.29,0.077,20.354,-18.679
24/02/2016,18/03/2016,830,Put,0.68,-1.966,0.053,12.009,-9.166
24/02/2016,18/03/2016,840,Call,157.35,95.772,0.088,22.631,-20.11
24/02/2016,18/03/2016,840,Put,0.9,-2.439,0.064,14.4,-11.305
24/02/2016,18/03/2016,850,Call,147.45,95.165,0.101,25.207,-21.676
24/02/2016,18/03/2016,850,Put,1.05,-3.024,0.079,17.223,-12.59
24/02/2016,18/03/2016,860,Call,137.8,94.45,0.117,28.122,-23.387
24/02/2016,18/03/2016,860,Put,1.35,-3.746,0.096,20.533,-15.091
24/02/2016,18/03/2016,870,Call,128.1,93.606,0.136,31.418,-25.25
24/02/2016,18/03/2016,870,Put,1.57,-4.635,0.117,24.387,-16.595
24/02/2016,18/03/2016,880,Call,119.55,92.605,0.157,35.138,-27.272
24/02/2016,18/03/2016,880,Put,2,-5.725,0.141,28.834,-19.606
24/02/2016,18/03/2016,890,Call,108.05,91.416,0.183,39.326,-29.451
24/02/2016,18/03/2016,890,Put,2.33,-7.056,0.17,33.913,-21.417
24/02/2016,18/03/2016,900,Call,101.1,89.999,0.213,44.02,-31.782
24/02/2016,18/03/2016,900,Put,3.1,-8.674,0.204,39.644,-25.732
24/02/2016,18/03/2016,910,Call,89.5,88.308,0.247,49.249,-34.246
24/02/2016,18/03/2016,910,Put,3.91,-10.628,0.243,46.013,-29.563
24/02/2016,18/03/2016,920,Call,80.8,86.285,0.288,55.021,-36.811
24/02/2016,18/03/2016,920,Put,4.96,-12.973,0.286,52.966,-33.739
24/02/2016,18/03/2016,930,Call,74.05,83.866,0.334,61.314,-39.419
24/02/2016,18/03/2016,930,Put,6.25,-15.763,0.335,60.392,-38.031
24/02/2016,18/03/2016,940,Call,63.45,80.972,0.387,68.053,-36.229
24/02/2016,18/03/2016,940,Put,7.54,-19.053,0.387,68.108,-41.268
24/02/2016,18/03/2016,950,Call,55.35,77.52,0.447,75.085,-40.996
24/02/2016,18/03/2016,950,Put,9.63,-22.902,0.442,75.873,-45.862
24/02/2016,18/03/2016,960,Call,47.8,73.418,0.512,82.15,-45.737
24/02/2016,18/03/2016,960,Put,11.93,-27.346,0.497,83.317,-49.438
24/02/2016,18/03/2016,970,Call,40.45,68.549,0.579,88.872,-48.79
24/02/2016,18/03/2016,970,Put,14.65,-32.386,0.55,89.966,-52.146
24/02/2016,18/03/2016,980,Call,33.58,62.823,0.644,94.646,-50.722
24/02/2016,18/03/2016,980,Put,17.63,-37.987,0.596,95.283,-53.415
24/02/2016,18/03/2016,990,Call,27.3,56.301,0.696,98.586,-51.384
24/02/2016,18/03/2016,990,Put,21.33,-44.068,0.631,98.728,-53.923
24/02/2016,18/03/2016,1000,Call,21.55,49.16,0.729,99.81,-50.438
24/02/2016,18/03/2016,1000,Put,25.69,-50.506,0.652,99.824,-53.119
24/02/2016,18/03/2016,1010,Call,16.45,41.688,0.734,97.668,-47.736
24/02/2016,18/03/2016,1010,Put,30.86,-57.133,0.655,98.239,-51.231
24/02/2016,18/03/2016,1020,Call,12.21,34.26,0.708,91.997,-43.843
24/02/2016,18/03/2016,1020,Put,36.25,-63.747,0.638,93.872,-46.786
24/02/2016,18/03/2016,1030,Call,8.69,27.269,0.652,83.232,-38.372
24/02/2016,18/03/2016,1030,Put,42.85,-70.135,0.602,86.887,-42.261
24/02/2016,18/03/2016,1040,Call,5.93,21.05,0.573,72.343,-32.062
24/02/2016,18/03/2016,1040,Put,50.15,-76.09,0.548,77.727,-37.11
24/02/2016,18/03/2016,1050,Call,3.88,15.812,0.483,60.576,-25.461
24/02/2016,18/03/2016,1050,Put,56.2,-81.455,0.481,67.025,-23.38
24/02/2016,18/03/2016,1060,Call,2.35,11.623,0.392,49.121,-18.75
24/02/2016,18/03/2016,1060,Put,66.56,-86.113,0.405,55.547,-26.339
24/02/2016,18/03/2016,1070,Call,1.42,8.396,0.309,38.771,-13.542
24/02/2016,18/03/2016,1070,Put,73.6,-89.996,0.328,44.105,-9.405
24/02/2016,18/03/2016,1080,Call,0.99,5.928,0.236,29.716,-10.573
24/02/2016,18/03/2016,1080,Put,82.98,-93.092,0.253,33.439,-14.392
24/02/2016,18/03/2016,1090,Call,0.48,4.092,0.175,22.135,-6.136
24/02/2016,18/03/2016,1090,Put,93.75,-95.446,0.185,24.118,-9.899
24/02/2016,18/03/2016,1100,Call,0.35,2.762,0.126,16.044,-4.859
24/02/2016,18/03/2016,1100,Put,104.65,-97.147,0.129,16.483,-6.347
24/02/2016,18/03/2016,1110,Call,0.82,1.824,0.089,11.329,-4.73
24/02/2016,18/03/2016,1110,Put,113.55,-98.309,0.084,10.627,-3.718
24/02/2016,18/03/2016,1120,Call,0.15,1.18,0.061,7.802,-3.231
24/02/2016,18/03/2016,1120,Put,122.2,-99.056,0.052,6.433,-1.902
24/02/2016,18/03/2016,1130,Call,0.26,0.748,0.041,5.246,-4.023
24/02/2016,18/03/2016,1130,Put,133.65,-99.507,0.03,3.637,-0.735
24/02/2016,18/03/2016,1140,Call,0.21,0.465,0.027,3.448,-3.416
24/02/2016,18/03/2016,1140,Put,142.35,-99.76,0.016,1.91,-0.04
24/02/2016,18/03/2016,1150,Call,0.25,0.283,0.017,2.217,-0.893
24/02/2016,18/03/2016,1150,Put,153.4,-99.892,0.008,0.926,0.343
24/02/2016,18/03/2016,1160,Call,0.08,0.17,0.011,1.396,-0.556
24/02/2016,18/03/2016,1160,Put,161.7,-99.956,0.004,0.411,0.537
24/02/2016,18/03/2016,1170,Call,0.3,0.1,0.007,0.861,-0.34
24/02/2016,18/03/2016,1170,Put,173.55,-99.983,0.001,0.166,0.629
24/02/2016,18/03/2016,1180,Call,0.08,0.058,0.004,0.521,-0.203
24/02/2016,18/03/2016,1180,Put,182.25,-99.994,0.001,0.061,0.67
24/02/2016,18/03/2016,1190,Call,0.08,0.033,0.002,0.31,-0.119
24/02/2016,18/03/2016,1190,Put,193.05,-99.998,0,0.02,0.688
24/02/2016,18/03/2016,1200,Call,0.05,0.018,0.001,0.181,-0.069
24/02/2016,18/03/2016,1200,Put,203.3,-100,0,0.006,0.698
24/02/2016,18/03/2016,1210,Call,0.05,0.01,0.001,0.104,-0.039
24/02/2016,18/03/2016,1210,Put,214.05,-100,0,0.001,0.705
24/02/2016,18/03/2016,1220,Call,0.3,0.006,0,0.059,-0.022
24/02/2016,18/03/2016,1220,Put,224.3,-100,0,0,0.712
24/02/2016,18/03/2016,1230,Put,234.3,-100,0,0,0.717
24/02/2016,18/03/2016,1240,Put,242.95,-100,0,0,0.723
24/02/2016,18/03/2016,1250,Put,253.5,-100,0,0,0.729
24/02/2016,15/04/2016,800,Put,2.38,-4.325,0.069,34.273,-11.515
24/02/2016,15/04/2016,810,Put,2.83,-4.969,0.079,38.304,-12.923
24/02/2016,15/04/2016,820,Put,3.26,-5.705,0.09,42.727,-14.171
24/02/2016,15/04/2016,830,Call,170.3,93.106,0.104,49.496,-17.019
24/02/2016,15/04/2016,830,Put,3.74,-6.546,0.102,47.56,-15.431
24/02/2016,15/04/2016,840,Call,159.1,92.214,0.117,54.313,-18.233
24/02/2016,15/04/2016,840,Put,4.29,-7.503,0.115,52.813,-16.769
24/02/2016,15/04/2016,850,Call,148.55,91.203,0.131,59.528,-19.509
24/02/2016,15/04/2016,850,Put,5,-8.592,0.13,58.492,-18.411
24/02/2016,15/04/2016,860,Call,141.65,90.057,0.147,65.149,-20.84
24/02/2016,15/04/2016,860,Put,5.8,-9.827,0.146,64.591,-20.052
24/02/2016,15/04/2016,870,Call,131.3,88.759,0.164,71.175,-22.219
24/02/2016,15/04/2016,870,Put,6.75,-11.223,0.164,71.095,-21.837
24/02/2016,15/04/2016,880,Call,121.9,87.291,0.184,77.594,-23.634
24/02/2016,15/04/2016,880,Put,7.74,-12.798,0.184,77.973,-23.421
24/02/2016,15/04/2016,890,Call,112.65,85.634,0.205,84.379,-25.07
24/02/2016,15/04/2016,890,Put,8.95,-14.569,0.205,85.176,-25.192
24/02/2016,15/04/2016,900,Call,104.25,83.766,0.227,91.484,-26.507
24/02/2016,15/04/2016,900,Put,9.91,-16.551,0.227,92.636,-26.209
24/02/2016,15/04/2016,910,Call,95.6,81.667,0.252,98.84,-26.166
24/02/2016,15/04/2016,910,Put,11.48,-18.762,0.251,100.261,-28.031
24/02/2016,15/04/2016,920,Call,88.35,79.313,0.278,106.352,-29.529
24/02/2016,15/04/2016,920,Put,13.55,-21.215,0.275,107.93,-30.113
24/02/2016,15/04/2016,930,Call,79.45,76.684,0.306,113.889,-29.897
24/02/2016,15/04/2016,930,Put,15.44,-23.921,0.3,115.496,-31.502
24/02/2016,15/04/2016,940,Call,71.6,73.759,0.334,121.285,-31.286
24/02/2016,15/04/2016,940,Put,17.54,-26.89,0.326,122.79,-32.658
24/02/2016,15/04/2016,950,Call,64.25,70.521,0.363,128.339,-32.723
24/02/2016,15/04/2016,950,Put,20.25,-30.13,0.351,129.615,-34.006
24/02/2016,15/04/2016,960,Call,56.95,66.95,0.392,134.807,-33.625
24/02/2016,15/04/2016,960,Put,23,-33.642,0.376,135.749,-34.787
24/02/2016,15/04/2016,970,Call,50,63.048,0.419,140.383,-34.18
