Date,Exp.Date,Strike Price,Call/Put,Market Price,Delta,Gamma,Vega,Theta
03/11/2016,18/11/2016,930,Put,0.4,-0.588,0.016,3.967,-9.453
03/11/2016,18/11/2016,940,Put,0.43,-0.711,0.019,4.691,-9.963
03/11/2016,18/11/2016,950,Put,0.45,-0.861,0.023,5.55,-10.241
03/11/2016,18/11/2016,960,Call,204.9,98.79,0.031,7.462,-10.425
03/11/2016,18/11/2016,960,Put,0.48,-1.045,0.028,6.571,-10.756
03/11/2016,18/11/2016,970,Call,194.3,98.554,0.037,8.705,-11.873
03/11/2016,18/11/2016,970,Put,0.57,-1.269,0.034,7.781,-12.269
03/11/2016,18/11/2016,980,Call,184.7,98.267,0.044,10.162,-13.537
03/11/2016,18/11/2016,980,Put,0.68,-1.545,0.041,9.214,-13.998
03/11/2016,18/11/2016,990,Call,174.35,97.92,0.053,11.868,-15.444
03/11/2016,18/11/2016,990,Put,0.73,-1.883,0.05,10.908,-14.711
03/11/2016,18/11/2016,1000,Call,164.7,97.498,0.063,13.862,-17.624
03/11/2016,18/11/2016,1000,Put,0.88,-2.297,0.06,12.904,-16.934
03/11/2016,18/11/2016,1010,Call,155.35,96.985,0.076,16.187,-20.111
03/11/2016,18/11/2016,1010,Put,1.02,-2.805,0.073,15.25,-18.786
03/11/2016,18/11/2016,1020,Call,145.05,96.362,0.091,18.892,-22.934
03/11/2016,18/11/2016,1020,Put,1.22,-3.428,0.088,17.995,-21.236
03/11/2016,18/11/2016,1030,Call,135.5,95.604,0.109,22.025,-26.125
03/11/2016,18/11/2016,1030,Put,1.48,-4.19,0.106,21.192,-24.403
03/11/2016,18/11/2016,1040,Call,125.6,94.683,0.13,25.637,-29.707
03/11/2016,18/11/2016,1040,Put,1.86,-5.122,0.128,24.891,-28.561
03/11/2016,18/11/2016,1050,Call,116.35,93.565,0.156,29.773,-33.697
03/11/2016,18/11/2016,1050,Put,2.2,-6.259,0.154,29.14,-31.811
03/11/2016,18/11/2016,1060,Call,106.65,92.209,0.185,34.472,-38.095
03/11/2016,18/11/2016,1060,Put,2.68,-7.643,0.184,33.973,-35.886
03/11/2016,18/11/2016,1070,Call,96.85,90.568,0.22,39.757,-42.883
03/11/2016,18/11/2016,1070,Put,3.3,-9.319,0.219,39.409,-40.861
03/11/2016,18/11/2016,1080,Call,88.5,88.591,0.259,45.627,-48.011
03/11/2016,18/11/2016,1080,Put,4.1,-11.342,0.259,45.437,-46.212
03/11/2016,18/11/2016,1090,Call,78.7,86.218,0.305,52.04,-53.39
03/11/2016,18/11/2016,1090,Put,5.09,-13.769,0.305,52.006,-52.032
03/11/2016,18/11/2016,1100,Call,70.05,83.385,0.355,58.905,-58.881
03/11/2016,18/11/2016,1100,Put,6.34,-16.659,0.355,59.007,-58.174
03/11/2016,18/11/2016,1110,Call,61.9,80.028,0.411,66.059,-64.283
03/11/2016,18/11/2016,1110,Put,7.84,-20.073,0.41,66.259,-63.853
