Date,ExpDate,Strike,Type,Mid,Delta,Gamma,Vega,Theta
06/10/2017,20/10/2017,1270,Put,0.4,-0.923,0.022,7.398,-9.233
06/10/2017,20/10/2017,1280,Put,0.4,-0.985,0.024,7.838,-9.452
06/10/2017,20/10/2017,1290,Put,0.5,-1.056,0.027,8.329,-9.695
06/10/2017,20/10/2017,1300,Call,212.4,98.494,0.036,11.313,-17.665
06/10/2017,20/10/2017,1300,Put,0.25,-1.137,0.029,8.88,-9.966
06/10/2017,20/10/2017,1310,Call,203.45,98.372,0.04,12.091,-18.111
06/10/2017,20/10/2017,1310,Put,0.3,-1.229,0.033,9.5,-10.27
06/10/2017,20/10/2017,1320,Call,193.3,98.233,0.044,12.968,-18.604
06/10/2017,20/10/2017,1320,Put,0.55,-1.334,0.037,10.202,-10.612
06/10/2017,20/10/2017,1330,Call,182.95,98.074,0.05,13.962,-19.153
06/10/2017,20/10/2017,1330,Put,0.23,-1.456,0.041,11.003,-10.997
06/10/2017,20/10/2017,1340,Call,172.55,97.888,0.056,15.095,-19.764
06/10/2017,20/10/2017,1340,Put,0.28,-1.598,0.047,11.92,-11.432
06/10/2017,20/10/2017,1350,Call,162.4,97.671,0.063,16.393,-20.448
06/10/2017,20/10/2017,1350,Put,0.3,-1.765,0.053,12.979,-11.927
06/10/2017,20/10/2017,1360,Call,153.45,97.416,0.072,17.89,-21.216
06/10/2017,20/10/2017,1360,Put,0.38,-1.963,0.061,14.209,-8.929
06/10/2017,20/10/2017,1370,Call,142.5,97.112,0.083,19.626,-22.082
06/10/2017,20/10/2017,1370,Put,0.48,-2.2,0.07,15.648,-10.611
06/10/2017,20/10/2017,1380,Call,132.5,96.748,0.096,21.654,-23.062
06/10/2017,20/10/2017,1380,Put,0.62,-2.487,0.082,17.347,-12.902
06/10/2017,20/10/2017,1390,Call,122.64,96.306,0.113,24.04,-24.175
06/10/2017,20/10/2017,1390,Put,0.73,-2.838,0.097,19.367,-14.584
06/10/2017,20/10/2017,1400,Call,112.7,95.764,0.133,26.865,-25.444
