Date,ExpDate,Strike,Type,Mid,Delta,Gamma,Vega,Theta
02/06/2016,17/06/2016,960,Put,0.15,-0.434,0.015,3.023,-3.26
02/06/2016,17/06/2016,970,Put,0.13,-0.513,0.018,3.508,-3.674
02/06/2016,17/06/2016,980,Call,180.6,97.976,0.05,11.551,-15.533
02/06/2016,17/06/2016,980,Put,0.18,-0.61,0.022,4.094,-4.628
02/06/2016,17/06/2016,990,Call,169.2,97.76,0.057,12.586,-16.259
02/06/2016,17/06/2016,990,Put,0.2,-0.731,0.027,4.803,-5.044
02/06/2016,17/06/2016,1000,Call,160.2,97.506,0.065,13.773,-17.071
02/06/2016,17/06/2016,1000,Put,0.25,-0.883,0.033,5.666,-6.004
02/06/2016,17/06/2016,1010,Call,148.65,97.207,0.075,15.143,-17.983
02/06/2016,17/06/2016,1010,Put,0.28,-1.074,0.04,6.723,-6.545
02/06/2016,17/06/2016,1020,Call,140.7,96.849,0.087,16.733,-19.011
02/06/2016,17/06/2016,1020,Put,0.32,-1.317,0.05,8.024,-7.173
02/06/2016,17/06/2016,1030,Call,130.55,96.42,0.101,18.586,-20.171
02/06/2016,17/06/2016,1030,Put,0.4,-1.629,0.062,9.631,-8.573
02/06/2016,17/06/2016,1040,Call,120.65,95.899,0.119,20.761,-21.485
02/06/2016,17/06/2016,1040,Put,0.45,-2.033,0.078,11.626,-9.226
02/06/2016,17/06/2016,1050,Call,110.1,95.26,0.141,23.328,-22.975
02/06/2016,17/06/2016,1050,Put,0.6,-2.56,0.099,14.111,-11.454
02/06/2016,17/06/2016,1060,Call,101.06,94.469,0.168,26.372,-24.669
02/06/2016,17/06/2016,1060,Put,0.75,-3.252,0.127,17.212,-13.448
02/06/2016,17/06/2016,1070,Call,91.3,93.478,0.202,29.999,-26.591
02/06/2016,17/06/2016,1070,Put,0.93,-4.171,0.163,21.083,-15.563
02/06/2016,17/06/2016,1080,Call,81.4,92.221,0.246,34.337,-28.765
02/06/2016,17/06/2016,1080,Put,1.2,-5.398,0.21,25.905,-18.368
02/06/2016,17/06/2016,1090,Call,71,90.607,0.301,39.53,-31.208
02/06/2016,17/06/2016,1090,Put,1.58,-7.048,0.272,31.878,-21.838
02/06/2016,17/06/2016,1100,Call,62.3,88.509,0.373,45.733,-30.448
02/06/2016,17/06/2016,1100,Put,2.05,-9.276,0.353,39.192,-25.496
02/06/2016,17/06/2016,1110,Call,52.95,85.748,0.464,53.083,-34.019
02/06/2016,17/06/2016,1110,Put,2.74,-12.303,0.457,48.005,-29.825
02/06/2016,17/06/2016,1120,Call,43.85,82.077,0.582,61.63,-37.569
02/06/2016,17/06/2016,1120,Put,3.75,-16.441,0.587,58.349,-34.79
02/06/2016,17/06/2016,1130,Call,35.27,77.131,0.728,71.238,-42.149
02/06/2016,17/06/2016,1130,Put,5.15,-22.02,0.741,69.738,-39.621
02/06/2016,17/06/2016,1140,Call,27.32,70.307,0.897,81.396,-46.323
02/06/2016,17/06/2016,1140,Put,7.15,-29.355,0.91,80.971,-43.949
02/06/2016,17/06/2016,1150,Call,19.98,61.294,1.061,89.994,-47.97
02/06/2016,17/06/2016,1150,Put,9.94,-38.626,1.069,89.94,-46.331
02/06/2016,17/06/2016,1160,Call,13.86,50.304,1.169,93.753,-47.734
02/06/2016,17/06/2016,1160,Put,13.63,-49.702,1.177,93.753,-45.552
02/06/2016,17/06/2016,1170,Call,8.64,38.284,1.168,89.713,-42.583
02/06/2016,17/06/2016,1170,Put,18.59,-61.942,1.187,89.555,-40.832
02/06/2016,17/06/2016,1180,Call,4.95,26.773,1.039,77.491,-34.532
02/06/2016,17/06/2016,1180,Put,24.85,-74.131,1.065,76.159,-32.255
02/06/2016,17/06/2016,1190,Call,2.62,17.248,0.82,60.229,-25.089
02/06/2016,17/06/2016,1190,Put,32.5,-84.73,0.82,55.691,-22.081
02/06/2016,17/06/2016,1200,Call,1.33,10.417,0.581,42.745,-16.734
02/06/2016,17/06/2016,1200,Put,41.2,-92.491,0.52,33.599,-12.59
02/06/2016,17/06/2016,1210,Call,0.7,6.083,0.382,28.556,-10.924
02/06/2016,17/06/2016,1210,Put,50.7,-97.102,0.256,15.798,-7.28
02/06/2016,17/06/2016,1220,Call,0.43,3.57,0.243,18.68,-7.759
02/06/2016,17/06/2016,1220,Put,60.45,-99.189,0.091,5.359,-4.037
02/06/2016,17/06/2016,1230,Call,0.3,2.131,0.153,12.183,-6.014
02/06/2016,17/06/2016,1230,Put,71.05,-99.852,0.021,1.183,0.295
02/06/2016,17/06/2016,1240,Call,0.22,1.267,0.095,7.826,-4.821
02/06/2016,17/06/2016,1240,Put,80.75,-99.985,0.003,0.148,0.587
02/06/2016,17/06/2016,1250,Call,0.18,0.753,0.058,4.981,-4.159
02/06/2016,17/06/2016,1250,Put,90.15,-99.999,0,0.009,0.624
02/06/2016,17/06/2016,1260,Call,0.13,0.449,0.036,3.155,-1.448
02/06/2016,17/06/2016,1260,Put,100.95,-100,0,0,0.631
02/06/2016,17/06/2016,1270,Call,0.08,0.269,0.022,1.996,-0.925
02/06/2016,17/06/2016,1270,Put,110.65,-100,0,0,0.636
02/06/2016,17/06/2016,1280,Call,0.05,0.162,0.014,1.265,-0.592
02/06/2016,17/06/2016,1280,Put,120,-100,0,0,0.641
02/06/2016,17/06/2016,1290,Call,0.08,0.099,0.008,0.804,-0.38
02/06/2016,17/06/2016,1290,Put,130.65,-100,0,0,0.646
02/06/2016,17/06/2016,1300,Call,0.05,0.061,0.005,0.514,-0.245
02/06/2016,17/06/2016,1300,Put,141.2,-100,0,0,0.651
02/06/2016,17/06/2016,1310,Call,0.05,0.038,0.003,0.331,-0.159
02/06/2016,17/06/2016,1310,Put,151.75,-100,0,0,0.656
02/06/2016,17/06/2016,1320,Call,0.03,0.024,0.002,0.215,-0.104
02/06/2016,17/06/2016,1320,Put,160.9,-100,0,0,0.661
02/06/2016,17/06/2016,1330,Call,0,0.015,0.001,0.14,-0.068
02/06/2016,17/06/2016,1330,Put,170.85,-100,0,0,0.666
02/06/2016,17/06/2016,1340,Call,0.05,0.01,0.001,0.092,-0.045
02/06/2016,17/06/2016,1340,Put,180.4,-100,0,0,0.671
02/06/2016,17/06/2016,1350,Call,-1,0.006,0.001,0.062,-0.03
02/06/2016,17/06/2016,1350,Put,189.9,-100,0,0,0.676
02/06/2016,17/06/2016,1360,Call,0.2,0.004,0,0.041,-0.021
02/06/2016,17/06/2016,1360,Put,200.55,-100,0,0,0.681
02/06/2016,17/06/2016,1370,Put,211.65,-100,0,0,0.686
02/06/2016,17/06/2016,1380,Put,220.75,-100,0,0,0.691
02/06/2016,17/06/2016,1390,Put,230.75,-100,0,0,0.696
02/06/2016,15/07/2016,960,Put,1.33,-2.818,0.055,25.813,-8.708
02/06/2016,15/07/2016,970,Put,1.5,-3.219,0.063,28.821,-9.491
02/06/2016,15/07/2016,980,Call,180,94.574,0.088,43.891,-16.38
02/06/2016,15/07/2016,980,Put,1.67,-3.686,0.073,32.204,-10.198
02/06/2016,15/07/2016,990,Call,170.2,94.026,0.098,47.339,-17.096
02/06/2016,15/07/2016,990,Put,1.93,-4.23,0.083,36.007,-11.205
02/06/2016,15/07/2016,1000,Call,159.4,93.403,0.11,51.142,-17.86
02/06/2016,15/07/2016,1000,Put,2.2,-4.863,0.096,40.275,-12.222
02/06/2016,15/07/2016,1010,Call,149.75,92.69,0.123,55.338,-18.673
02/06/2016,15/07/2016,1010,Put,2.53,-5.603,0.11,45.058,-13.327
02/06/2016,15/07/2016,1020,Call,141.25,91.873,0.138,59.968,-19.537
02/06/2016,15/07/2016,1020,Put,2.9,-6.469,0.126,50.402,-14.431
02/06/2016,15/07/2016,1030,Call,131.7,90.934,0.155,65.075,-20.451
02/06/2016,15/07/2016,1030,Put,3.4,-7.481,0.145,56.354,-15.908
02/06/2016,15/07/2016,1040,Call,122.25,89.849,0.175,70.7,-21.414
02/06/2016,15/07/2016,1040,Put,3.85,-8.665,0.167,62.952,-17.09
02/06/2016,15/07/2016,1050,Call,112.7,88.593,0.198,76.881,-22.42
02/06/2016,15/07/2016,1050,Put,4.55,-10.052,0.192,70.224,-18.755
02/06/2016,15/07/2016,1060,Call,103.6,87.135,0.224,83.651,-21.232
02/06/2016,15/07/2016,1060,Put,5.3,-11.675,0.22,78.18,-20.29
02/06/2016,15/07/2016,1070,Call,94.5,85.437,0.253,91.027,-22.808
02/06/2016,15/07/2016,1070,Put,6.21,-13.573,0.252,86.804,-21.985
02/06/2016,15/07/2016,1080,Call,85.7,83.453,0.287,99.001,-24.733
02/06/2016,15/07/2016,1080,Put,7.22,-15.793,0.288,96.059,-23.5
02/06/2016,15/07/2016,1090,Call,76.65,81.134,0.325,107.53,-25.672
02/06/2016,15/07/2016,1090,Put,8.5,-18.383,0.327,105.827,-25.226
02/06/2016,15/07/2016,1100,Call,68.3,78.417,0.369,116.512,-27.619
02/06/2016,15/07/2016,1100,Put,9.95,-21.389,0.37,115.909,-26.679
02/06/2016,15/07/2016,1110,Call,60,75.216,0.416,125.811,-28.829
02/06/2016,15/07/2016,1110,Put,11.66,-24.859,0.416,126.011,-28.006
