Date,Exp.Date,Strike Price,Call/Put,Market Price,Delta,Gamma,Vega,Theta
15/06/2016,17/06/2016,930,Put,0.03,-0.014,0.001,0.046,-0.234
15/06/2016,17/06/2016,940,Put,0.03,-0.016,0.001,0.053,-0.266
15/06/2016,17/06/2016,950,Put,0.03,-0.019,0.001,0.063,-0.305
15/06/2016,17/06/2016,960,Call,192.95,100,0,0,-0.358
15/06/2016,17/06/2016,960,Put,0.03,-0.023,0.001,0.074,-0.354
15/06/2016,17/06/2016,970,Call,182.95,100,0,0,-0.361
15/06/2016,17/06/2016,970,Put,0.03,-0.028,0.002,0.089,-0.415
15/06/2016,17/06/2016,980,Call,172.95,100,0,0,-0.365
15/06/2016,17/06/2016,980,Put,0.03,-0.034,0.002,0.107,-0.492
15/06/2016,17/06/2016,990,Call,162.95,100,0,0,-0.369
15/06/2016,17/06/2016,990,Put,0.05,-0.042,0.003,0.131,-0.591
15/06/2016,17/06/2016,1000,Call,152.7,100,0,0,-0.373
15/06/2016,17/06/2016,1000,Put,0.03,-0.053,0.004,0.162,-0.721
15/06/2016,17/06/2016,1010,Call,142.62,100,0,0.001,-0.377
15/06/2016,17/06/2016,1010,Put,0.05,-0.069,0.005,0.205,-0.894
15/06/2016,17/06/2016,1020,Call,132.93,100,0,0.001,-0.382
15/06/2016,17/06/2016,1020,Put,0.08,-0.09,0.007,0.262,-1.128
15/06/2016,17/06/2016,1030,Call,122.95,99.999,0,0.003,-0.389
15/06/2016,17/06/2016,1030,Put,0.05,-0.119,0.009,0.341,-1.452
15/06/2016,17/06/2016,1040,Call,112.7,99.998,0,0.007,-0.4
15/06/2016,17/06/2016,1040,Put,0.1,-0.163,0.013,0.453,-1.913
15/06/2016,17/06/2016,1050,Call,103.25,99.995,0.001,0.017,-0.421
15/06/2016,17/06/2016,1050,Put,0.05,-0.228,0.019,0.616,-2.585
15/06/2016,17/06/2016,1060,Call,92.75,99.988,0.002,0.041,-0.472
15/06/2016,17/06/2016,1060,Put,0.1,-0.329,0.028,0.856,-3.592
15/06/2016,17/06/2016,1070,Call,82.84,99.969,0.005,0.099,-0.599
15/06/2016,17/06/2016,1070,Put,0.1,-0.489,0.042,1.221,-5.148
15/06/2016,17/06/2016,1080,Call,72.9,99.918,0.012,0.243,-0.941
15/06/2016,17/06/2016,1080,Put,0.15,-0.754,0.067,1.789,-7.636
15/06/2016,17/06/2016,1090,Call,63.05,99.781,0.03,0.597,-1.876
15/06/2016,17/06/2016,1090,Put,0.2,-1.205,0.108,2.695,-19.013
15/06/2016,17/06/2016,1100,Call,53.12,99.412,0.077,1.443,-4.45
15/06/2016,17/06/2016,1100,Put,0.3,-2.009,0.182,4.175,-27.948
15/06/2016,17/06/2016,1110,Call,43.09,98.438,0.192,3.378,-11.39
15/06/2016,17/06/2016,1110,Put,0.37,-3.494,0.317,6.621,-33.638
15/06/2016,17/06/2016,1120,Call,33.53,95.977,0.449,7.436,-28.923
15/06/2016,17/06/2016,1120,Put,0.58,-6.333,0.562,10.649,-50.123
15/06/2016,17/06/2016,1130,Call,23.9,90.215,0.953,14.795,-65.281
15/06/2016,17/06/2016,1130,Put,1.13,-11.877,0.998,16.994,-85.912
15/06/2016,17/06/2016,1140,Call,15.26,78.302,1.73,25.102,-132.229
15/06/2016,17/06/2016,1140,Put,2.39,-22.84,1.692,25.841,-141.873
15/06/2016,17/06/2016,1150,Call,8.15,57.933,2.445,33.368,-185.594
15/06/2016,17/06/2016,1150,Put,5.18,-42.277,2.377,33.403,-188.818
15/06/2016,17/06/2016,1160,Call,3.23,32.912,2.357,30.885,-153.955
15/06/2016,17/06/2016,1160,Put,10.33,-66.745,2.317,31.011,-159.984
15/06/2016,17/06/2016,1170,Call,0.92,13.363,1.433,18.461,-68.899
15/06/2016,17/06/2016,1170,Put,17.95,-86.024,1.441,19.031,-75.863
15/06/2016,17/06/2016,1180,Call,0.3,3.885,0.56,7.244,-26.748
15/06/2016,17/06/2016,1180,Put,27.4,-95.843,0.581,7.651,-22.775
15/06/2016,17/06/2016,1190,Call,0.15,0.799,0.146,1.899,-3.872
15/06/2016,17/06/2016,1190,Put,37.05,-99.158,0.151,1.989,-3.691
15/06/2016,17/06/2016,1200,Call,0.1,0.115,0.025,0.336,-0.481
15/06/2016,17/06/2016,1200,Put,47.05,-99.887,0.025,0.33,-0.024
15/06/2016,17/06/2016,1210,Call,0.05,0.012,0.003,0.04,-0.042
15/06/2016,17/06/2016,1210,Put,57.05,-99.99,0.003,0.035,0.416
15/06/2016,17/06/2016,1220,Call,0.05,0.001,0,0.003,-0.003
15/06/2016,17/06/2016,1220,Put,67.3,-99.999,0,0.002,0.453
15/06/2016,17/06/2016,1230,Call,0.03,0,0,0,0
15/06/2016,17/06/2016,1230,Put,77.3,-100,0,0,0.458
15/06/2016,17/06/2016,1240,Call,0.03,0,0,0,0
15/06/2016,17/06/2016,1240,Put,87.3,-100,0,0,0.462
15/06/2016,17/06/2016,1250,Call,0.03,0,0,0,0
15/06/2016,17/06/2016,1250,Put,97.3,-100,0,0,0.466
15/06/2016,17/06/2016,1260,Call,0.03,0,0,0,0
15/06/2016,17/06/2016,1260,Put,107.3,-100,0,0,0.469
15/06/2016,17/06/2016,1270,Call,0.03,0,0,0,0
15/06/2016,17/06/2016,1270,Put,117.05,-100,0,0,0.473
15/06/2016,17/06/2016,1280,Call,0.05,0,0,0,0
15/06/2016,17/06/2016,1280,Put,127.05,-100,0,0,0.477
15/06/2016,17/06/2016,1290,Call,0.03,0,0,0,0
15/06/2016,17/06/2016,1290,Put,137.05,-100,0,0,0.481
15/06/2016,17/06/2016,1300,Call,0.03,0,0,0,0
