2015-02-17,AMBC,AMBAC FINL GROUP INC,COM NEW,23139884,"48,652","1,985,785",SH, ,SOLE, ,"1,985,785",0,0
2015-02-17,SPGI,MCGRAW HILL FINL INC,COM,580645109,"152,056","1,708,879",SH, ,SOLE, ,"1,708,879",0,0
2015-02-17,MCO,MOODYS CORP,COM,615369105,"852,795","8,900,902",SH, ,SOLE, ,"8,900,902",0,0
2015-02-17,TWC,TIME WARNER CABLE INC,COM,88732J207,"1,500,399","9,867,150",SH, ,SOLE, ,"9,867,150",0,0
2014-11-14,AMBC,AMBAC FINL GROUP INC,COM NEW,23139884,"43,886","1,985,785",SH, ,SOLE, ,"1,985,785",0,0
2014-11-14,CME,CME GROUP INC,COM,12572Q105,"5,233","65,454",SH, ,SOLE, ,"65,454",0,0
2014-11-14,MA,MASTERCARD INC,CL A,57636Q104,"4,840","65,471",SH, ,SOLE, ,"65,471",0,0
2014-11-14,SPGI,MCGRAW HILL FINL INC,COM,580645109,"191,970","2,273,178",SH, ,SOLE, ,"2,273,178",0,0
2014-11-14,MCO,MOODYS CORP,COM,615369105,"1,047,960","11,089,522",SH, ,SOLE, ,"11,089,522",0,0
2014-11-14,TWC,TIME WARNER CABLE INC,COM,88732J207,"977,623","6,813,180",SH, ,SOLE, ,"6,813,180",0,0
2014-11-14,TWX,TIME WARNER INC,COM NEW,887317303,"51,991","691,282",SH, ,SOLE, ,"691,282",0,0
2014-08-14,AMBC,AMBAC FINL GROUP INC,COM NEW,23139884,"54,232","1,985,785",SH, ,SOLE, ,"1,985,785",0,0
2014-08-14,CMCSA,COMCAST CORP NEW,CL A,20030N101,"208,631","3,886,570",SH, ,SOLE, ,"3,886,570",0,0
2014-08-14,CME,CME GROUP INC,COM,12572Q105,"4,644","65,454",SH, ,SOLE, ,"65,454",0,0
2014-08-14,MA,MASTERCARD INC,CL A,57636Q104,"4,810","65,471",SH, ,SOLE, ,"65,471",0,0
2014-08-14,SPGI,MCGRAW HILL FINL INC,COM,580645109,"185,753","2,237,178",SH, ,SOLE, ,"2,237,178",0,0
2014-08-14,MCO,MOODYS CORP,COM,615369105,"970,172","11,067,439",SH, ,SOLE, ,"11,067,439",0,0
2014-08-14,TWC,TIME WARNER CABLE INC,COM,88732J207,"782,279","5,310,789",SH, ,SOLE, ,"5,310,789",0,0
2014-08-14,TWX,TIME WARNER INC,COM NEW,887317303,"48,563","691,282",SH, ,SOLE, ,"691,282",0,0
2014-05-15,AMBC,AMBAC FINL GROUP INC,COM NEW,23139884,"61,619","1,985,785",SH, ,SOLE, ,"1,985,785",0,0
2014-05-15,CME,CME GROUP INC,COM,12572Q105,"4,845","65,454",SH, ,SOLE, ,"65,454",0,0
2014-05-15,SPGI,MCGRAW HILL FINL INC,COM,580645109,"136,079","1,783,470",SH, ,SOLE, ,"1,783,470",0,0
2014-05-15,MCO,MOODYS CORP,COM,615369105,"770,959","9,719,608",SH, ,SOLE, ,"9,719,608",0,0
2014-05-15,FOX,TWENTY FIRST CENTY FOX INC,CL A,90130A101,"188,720","5,903,020",SH, ,SOLE, ,"5,903,020",0,0
2014-02-14,AMBC,AMBAC FINL GROUP INC,COM NEW,23139884,"48,771","1,985,785",SH, ,SOLE, ,"1,985,785",0,0
2014-02-14,DIS,DISNEY WALT CO,COM DISNEY,254687106,"390,790","5,115,052",SH, ,SOLE, ,"5,115,052",0,0
2014-02-14,SPGI,MCGRAW HILL FINL INC,COM,580645109,"134,267","1,716,970",SH, ,SOLE, ,"1,716,970",0,0
2014-02-14,MCO,MOODYS CORP,COM,615369105,"762,698","9,719,608",SH, ,SOLE, ,"9,719,608",0,0
2014-02-14,FOX,TWENTY FIRST CENTY FOX INC,CL A,90130A101,"886,547","25,207,471",SH, ,SOLE, ,"25,207,471",0,0
2013-11-14,AMBC,AMBAC FINL GROUP INC,COM NEW,23139884,"36,022","1,985,785",SH, ,SOLE, ,"1,985,785",0,0
2013-11-14,DIS,DISNEY WALT CO,COM DISNEY,254687106,"329,870","5,115,052",SH, ,SOLE, ,"5,115,052",0,0
2013-11-14,SPGI,MCGRAW HILL FINL INC,COM,580645109,"112,616","1,716,970",SH, ,SOLE, ,"1,716,970",0,0
2013-11-14,MCO,MOODYS CORP,COM,615369105,"654,460","9,305,560",SH, ,SOLE, ,"9,305,560",0,0
2013-11-14,FOX,TWENTY FIRST CENTY FOX INC,CL A,90130A101,"844,702","25,207,471",SH, ,SOLE, ,"25,207,471",0,0
