Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,ExpDate,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,852.5,-2.7,854.8,851.3,,, ,1,0,I,852.5,854.3,0,,855.2,,,,,,070713,,0.114,,15:30:00,,,,,,,,,RUT Index,0,,
RUTST,-1,,,,0.15,,P,-0.519,0.022,O,0.08,,0,0.019,,5655,,,070720,,070713,-0.087,0.114,-5.77,15:30:00,,1.773,,0,0.566,700,0.08,0.11,Jul 700 Puts,,,
RUTTT,-1,,,,0.65,0.323,P,-1.975,0.056,O,0.57,,0,0.028,,2721,-0.109,0.317,070817,,070713,-1.67,0.114,-5.004,15:30:00,,12.704,0.311,0,0.322,700,0.57,0.64,Aug 700 Puts,,,0.5
RUTUT,-1,,,,2.95,0.308,P,-5.823,0.101,O,2.85,,0,0.046,,15191,-0.059,0.306,070921,,070713,-10.055,0.114,-8.485,15:30:00,,43.466,0.303,0,0.31,700,2.85,3.03,Sep 700 Puts,,,2.75
RUTXT,-1,,,,9.5,0.285,P,-11.191,0.119,O,9.3,,0,0.074,,7142,-0.015,0.283,071221,,070713,-45.863,0.114,-8.003,15:30:00,,107.319,0.282,0.003,0.285,700,9.3,9.44,Dec 700 Puts,,,9.1
RUTOT,-1,,,,15,0.274,P,-13.771,0.115,O,14.65,,0,0.094,,180,-0.009,0.271,080321,,070713,-90.199,0.114,-6.547,15:30:00,,154.623,0.269,0.01,0.272,700,14.65,14.79,Mar08 700 Puts,,,14.3
RUTSB,-1,,,,0.15,,P,-0.605,0.027,O,0.1,,0,0.018,,7462,,,070720,,070713,-0.101,0.114,-6.328,15:30:00,,2.034,,0,0.536,710,0.1,0.13,Jul 710 Puts,,,0.05
RUTTB,-1,,,,0.8,0.314,P,-2.446,0.07,O,0.75,,0,0.028,,2017,-0.051,0.311,070817,,070713,-2.069,0.114,-6.128,15:30:00,,15.214,0.307,0,0.313,710,0.75,0.79,Aug 710 Puts,,,0.7
RUTUB,-1,,,,3.6,0.304,P,-6.74,0.116,O,3.45,,0,0.046,,1269,-0.02,0.301,070921,,070713,-11.639,0.114,-9.525,15:30:00,,48.699,0.298,0,0.303,710,3.45,3.52,Sep 710 Puts,,,3.3
RUTXB,-1,,,,10.6,0.281,P,-12.355,0.13,O,10.4,,0,0.075,,608,-0.007,0.28,071221,,070713,-50.658,0.114,-8.446,15:30:00,,115.086,0.278,0.005,0.28,710,10.4,10.47,Dec 710 Puts,,,10.2
RUTOB,-1,,,,16.4,0.27,P,-14.947,0.124,O,16.1,,0,0.095,,222,-0.004,0.268,080321,,070713,-97.978,0.114,-6.78,15:30:00,,163.395,0.266,0.015,0.268,710,16.1,16.16,Mar08 710 Puts,,,15.8
