Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,Exp.Date,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,437.84,4.19,441.65,435.77,,, ,1,0,I,437.84,435.77,0,,433.65,,,,,,090121,,0.334,,15:30:00,,,,,,,,,RUT Index,0,,
RURNI,1.3,-0.79,2.67,1.1,1.4,0.824,P,-3.024,0.067,O,1.32,1.1,0,0.073,2.09,2154,0.015,0.815,090220,,090121,-1.192,0.334,-11.565,15:30:00,,8.596,0.807,0,0.813,290,1.32,1.3,Feb 290 Puts,,28389,1.25
RUROI,4.53,,,,4.8,0.779,P,-6.931,0.099,O,4.64,,0,0.114,,743,-0.006,0.772,090320,,090121,-5.542,0.334,-15.304,15:30:00,,23.198,0.766,0.001,0.773,290,4.64,4.67,Mar 290 Puts,,,4.5
RURPI,6.5,,,,7.6,0.726,P,-9.037,0.107,O,7.36,,0,0.138,,11,-0.011,0.719,090417,,090121,-11.017,0.334,-14.301,15:30:00,,34.469,0.714,0.006,0.721,290,7.36,7.44,Apr 290 Puts,,,7.2
RURRI,10.61,,,,13.3,0.66,P,-12.056,0.11,O,12.98,,0,0.183,,243,-0.013,0.655,090619,,090121,-26.693,0.334,-12.145,15:30:00,,55.683,0.653,0.029,0.658,290,12.98,13.15,Jun 290 Puts,,,12.9
RURUI,,,,,,,P,-14.464,0.107,O,0,,0,0.231,,,,,090918,,,-54.159,0.334,-10.001,,,79.689,,0.069,0.607,290,,20.06,Sep 290 Puts,,,
RURNT,1.65,-0.84,2.97,1.45,1.75,0.801,P,-3.802,0.083,O,1.67,1.45,0,0.073,2.49,3120,0.018,0.793,090220,,090121,-1.499,0.334,-13.61,15:30:00,,10.376,0.787,0,0.791,300,1.67,1.64,Feb 300 Puts,,28980,1.6
RUROT,5.15,-0.47,5.15,5.15,5.7,0.762,P,-8.135,0.115,O,5.48,5.15,0,0.114,5.62,2730,-0.007,0.754,090320,,090121,-6.51,0.334,-16.912,15:30:00,,26.207,0.747,0.002,0.755,300,5.48,5.52,Mar 300 Puts,,5,5.3
RURPT,7.3,,,,8.8,0.711,P,-10.372,0.121,O,8.54,,0,0.14,,36,-0.007,0.705,090417,,090121,-12.657,0.334,-15.554,15:30:00,,38.132,0.701,0.011,0.706,300,8.54,8.6,Apr 300 Puts,,,8.4
RURRT,10.8,,,,15,0.649,P,-13.482,0.121,O,14.56,,0,0.184,,1058,-0.018,0.641,090619,,090121,-29.896,0.334,-12.842,15:30:00,,60.18,0.64,0.041,0.646,300,14.56,14.82,Jun 300 Puts,,,14.5
RURUT,19.3,,,,23,0.607,P,-15.888,0.116,O,22.11,,0,0.233,,154,-0.004,0.596,090918,,090121,-59.596,0.334,-10.444,15:30:00,,84.817,0.589,0.088,0.597,300,22.11,22.19,Sep 300 Puts,,,21.5
RURBB,152.3,,,,129.9,,C,94.87,0.106,O,129.97,,0,0.291,,11,0.004,,090220,,090121,23.429,0.334,-17.157,15:30:00,,13.205,,1,0.789,310,2.13,129.41,Feb 310 Calls,,,127.8
RURCB,-1,,,,133.1,,C,90.607,0.131,O,132,,0,0.305,,177,-0.006,,090320,,090121,41.704,0.334,-18.433,15:30:00,,29.175,,0.995,0.733,310,4.16,132.77,Mar 310 Calls,,,130.9
