Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,ExpDate,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,425,-8.72,430.3,425,,, ,1,0,I,425,430.3,0,,433.72,,,,,,090324,,0.361,,15:30:00,,,,,,,,,RUT Index,0,,
RURPE,0.26,,,,0.45,0.834,P,-0.904,0.029,O,0.35,,0,0.053,,2732,0.296,0.805,090417,,090324,-0.27,0.361,-5.047,15:30:00,,2.664,0.77,0,0.779,270,0.35,0.27,Apr 270 Puts,,,0.25
RURQE,1.35,0.17,1.35,1.35,1.5,0.691,P,-2.981,0.062,O,1.42,1.35,0,0.08,1.18,1206,0.029,0.684,090515,,090324,-1.992,0.361,-7.164,15:30:00,,10.841,0.677,0,0.68,270,1.42,1.38,May 270 Puts,,1,1.35
RURRE,4.12,,,,3.3,0.629,P,-5.274,0.083,O,3.24,,0,0.106,,1420,0,0.626,090619,,090324,-6.073,0.361,-7.945,15:30:00,,22.221,0.62,0.006,0.626,270,3.24,3.24,Jun 270 Puts,,,3.1
RURUE,,,,,,,P,-9.398,0.101,O,0,,0,0.16,,,,,090918,,,-23.437,0.361,-7.781,,,49.189,,0.039,0.567,270,,8.7,Sep 270 Puts,,,
RURXE,,,,,,,P,-11.602,0.103,O,0,,0,0.195,,,,,091218,,,-45.293,0.361,-6.772,,,69.976,,0.079,0.528,270,,13.2,Dec 270 Puts,,,
RURPG,0.4,0,0.43,0.25,0.55,0.799,P,-1.234,0.039,O,0.45,0.25,0,0.053,0.4,2873,0.216,0.775,090417,,090324,-0.368,0.361,-6.11,15:30:00,,3.49,0.747,0,0.754,280,0.45,0.37,Apr 280 Puts,,22,0.35
RURQG,1.75,0.2,1.75,1.75,1.85,0.671,P,-3.76,0.077,O,1.77,1.75,0,0.081,1.55,864,0.011,0.665,090515,,090324,-2.514,0.361,-8.342,15:30:00,,13.119,0.659,0.001,0.663,280,1.77,1.75,May 280 Puts,,3,1.7
RURRG,4.38,,,,4.1,0.619,P,-6.354,0.099,O,3.97,,0,0.108,,744,0.008,0.614,090619,,090324,-7.327,0.361,-9.052,15:30:00,,25.723,0.608,0.01,0.613,280,3.97,3.94,Jun 280 Puts,,,3.8
RURUG,9.9,,,,10,0.556,P,-10.747,0.113,O,9.8,,0,0.161,,141,-0.024,0.553,090918,,090324,-26.848,0.361,-8.285,15:30:00,,54.238,0.549,0.053,0.557,280,9.8,10.04,Sep 280 Puts,,,9.6
RURXG,,,,,,,P,-13.029,0.114,O,0,,0,0.198,,,,,091218,,,-50.994,0.361,-7.231,,,75.896,,0.097,0.52,280,,14.99,Dec 280 Puts,,,
RURDI,101.6,,,,136,,C,97.939,0.06,O,133.41,,0,0.312,,15,-0.012,,090417,,090324,18.435,0.361,-8.412,15:30:00,,5.416,,1,0.764,290,-1.59,134.98,Apr 290 Calls,,,134
RUREI,-1,,,,136.9,,C,93.802,0.107,O,135.85,,0,0.319,,1,-0.008,,090515,,090324,37.055,0.361,-13.459,15:30:00,,19.549,,0.997,0.715,290,0.85,136.94,May 290 Calls,,,134.8
RURFI,-1,,,,138.4,,C,91.641,0.119,O,137.35,,0,0.326,,,-0.006,,090619,,090324,59.289,0.361,-11.558,15:30:00,,31.719,,0.984,0.628,290,2.35,138.21,Jun 290 Calls,,,136.3
RURII,,,,,,,C,88.672,0.127,O,0,,0,0.337,,,,,090918,,,113.123,0.361,-8.402,,,56.327,,0.93,0.517,290,,140.09,Sep 290 Calls,,,
RURLI,,,,,,,C,85.308,0.124,O,0,,0,0.361,,,,,091218,,,154.866,0.361,-8.203,,,82.358,,0.882,0.517,290,,145.54,Dec 290 Calls,,,
RURPI,0.6,0.13,0.7,0.55,0.7,0.769,P,-1.676,0.052,O,0.62,0.7,0,0.053,0.47,4394,0.216,0.754,090417,,090324,-0.5,0.361,-7.802,15:30:00,,4.542,0.739,0,0.731,290,0.62,0.51,Apr 290 Puts,,194,0.55
RURQI,2.05,0.1,2.08,2.05,2.3,0.652,P,-4.709,0.095,O,2.22,2.08,0,0.082,1.95,1106,0.005,0.647,090515,,090324,-3.152,0.361,-9.724,15:30:00,,15.738,0.643,0.003,0.647,290,2.22,2.21,May 290 Puts,,3,2.15
RURRI,4.82,-0.78,4.82,4.72,4.9,0.604,P,-7.606,0.116,O,4.75,4.72,0,0.109,5.6,2113,-0.006,0.599,090619,,090324,-8.785,0.361,-10.094,15:30:00,,29.54,0.594,0.016,0.6,290,4.75,4.78,Jun 290 Puts,,3,4.6
RURUI,,,,,,,P,-12.228,0.126,O,0,,0,0.164,,,,,090918,,,-30.609,0.361,-9.07,,,59.449,,0.07,0.547,290,,11.55,Sep 290 Puts,,,
RURXI,,,,,,,P,-14.562,0.125,O,0,,0,0.201,,,,,091218,,,-57.147,0.361,-7.681,,,81.872,,0.118,0.512,290,,16.96,Dec 290 Puts,,,
RURDT,121,,,,126.5,,C,97.281,0.078,O,125.14,,0,0.289,,31,0,,090417,,090324,18.894,0.361,-10.312,15:30:00,,6.835,,1,0.739,300,0.14,125.2,Apr 300 Calls,,,124.2
RURET,-1,,,,127.4,,C,92.62,0.126,O,126.35,,0,0.298,,,-0.01,,090515,,090324,37.673,0.361,-14.95,15:30:00,,22.368,,0.994,0.694,300,1.35,127.6,May 300 Calls,,,125.3
RURFT,84.1,,,,129.4,,C,90.214,0.137,O,126.34,,0,0.307,,154,-0.022,,090619,,090324,59.994,0.361,-12.686,15:30:00,,35.651,,0.974,0.614,300,1.34,129.23,Jun 300 Calls,,,127.5
RURIT,122.1,,,,134.4,,C,86.99,0.142,O,132.77,,0,0.321,,10,0.008,,090918,,090324,113.736,0.361,-9.117,15:30:00,,62.075,,0.91,0.51,300,7.77,131.78,Sep 300 Calls,,,132.2
RURLT,97.66,,,,139.8,,C,83.69,0.135,O,136.03,,0,0.346,,63,-0.012,,091218,,090324,155.674,0.361,-8.638,15:30:00,,88.235,,0.859,0.509,300,11.03,137.7,Dec 300 Calls,,,136.1
RURPT,0.76,0.08,0.82,0.73,0.85,0.733,P,-2.264,0.07,O,0.77,0.82,0,0.053,0.68,5962,0.116,0.721,090417,,090324,-0.677,0.361,-9.122,15:30:00,,5.864,0.709,0,0.708,300,0.77,0.69,Apr 300 Puts,,14,0.7
RURQT,2.7,0.23,2.74,2.7,2.85,0.635,P,-5.859,0.116,O,2.8,2.74,0,0.083,2.47,2199,0.004,0.632,090515,,090324,-3.926,0.361,-11.3,15:30:00,,18.712,0.629,0.006,0.631,300,2.8,2.79,May 300 Puts,,10,2.75
RURRT,5,,,,5.9,0.592,P,-9.048,0.134,O,5.71,,0,0.111,,2278,-0.009,0.586,090619,,090324,-10.467,0.361,-11.251,15:30:00,,33.651,0.583,0.026,0.588,300,5.71,5.76,Jun 300 Puts,,,5.6
RURUT,12.9,,,,13.4,0.54,P,-13.845,0.14,O,13.14,,0,0.166,,2804,-0.007,0.536,090918,,090324,-34.733,0.361,-9.661,15:30:00,,64.779,0.533,0.09,0.538,300,13.14,13.23,Sep 300 Puts,,,12.9
RURXT,22.5,,,,19.5,0.509,P,-16.201,0.136,O,19.21,,0,0.204,,5495,0.005,0.506,091218,,090324,-63.76,0.361,-8.142,15:30:00,,87.853,0.499,0.141,0.505,300,19.21,19.12,Dec 300 Puts,,,18.6
RURDB,93.22,,,,116.4,,C,96.427,0.101,O,114.3,,0,0.266,,3,-0.01,,090417,,090324,19.295,0.361,-12.552,15:30:00,,8.564,,1,0.716,310,-0.7,115.49,Apr 310 Calls,,,114.3
RUREB,-1,,,,118.1,,C,91.237,0.148,O,117.15,,0,0.279,,71,-0.01,,090515,,090324,38.154,0.361,-16.524,15:30:00,,25.464,,0.989,0.673,310,2.15,118.37,May 310 Calls,,,116.2
RURFB,-1,,,,120.4,,C,88.597,0.156,O,119.55,,0,0.289,,218,-0.007,,090619,,090324,60.47,0.361,-13.839,15:30:00,,39.814,,0.961,0.6,310,4.55,120.4,Jun 310 Calls,,,118.7
RURIB,-1,,,,126.3,,C,85.156,0.157,O,125.35,,0,0.305,,,0.014,,090918,,090324,113.938,0.361,-9.824,15:30:00,,67.896,,0.887,0.503,310,10.35,123.67,Sep 310 Calls,,,124.4
RURLB,-1,,,,131.8,,C,81.967,0.147,O,130.25,,0,0.332,,,0.002,,091218,,090324,156.022,0.361,-9.055,15:30:00,,94.076,,0.834,0.501,310,15.25,130.05,Dec 310 Calls,,,128.7
RURPB,0.99,0.19,0.99,0.92,1.1,0.706,P,-3.044,0.092,O,0.98,0.92,0,0.054,0.8,7192,0.043,0.691,090417,,090324,-0.91,0.361,-10.805,15:30:00,,7.508,0.673,0,0.685,310,0.98,0.94,Apr 310 Puts,,40,0.85
RURQB,3.52,0.53,3.52,3.1,3.6,0.621,P,-7.238,0.14,O,3.5,3.32,0,0.084,2.99,1980,0.003,0.617,090515,,090324,-4.857,0.361,-13.011,15:30:00,,22.042,0.612,0.011,0.616,310,3.5,3.49,May 310 Puts,,242,3.4
RURRB,6.92,0.92,6.92,6.72,7.1,0.581,P,-10.693,0.155,O,6.9,6.72,0,0.113,6,1378,0,0.576,090619,,090324,-12.394,0.361,-12.541,15:30:00,,38.026,0.571,0.039,0.576,310,6.9,6.9,Jun 310 Puts,,4,6.7
RURUB,20.5,,,,15.3,0.531,P,-15.603,0.155,O,15.31,,0,0.168,,80,0.015,0.531,090918,,090324,-39.233,0.361,-10.433,15:30:00,,70.177,0.524,0.113,0.528,310,15.31,15.09,Sep 310 Puts,,,14.8
RURXB,-1,,,,21.8,0.501,P,-17.945,0.147,O,21.5,,0,0.207,,,0.002,0.498,091218,,090324,-70.837,0.361,-8.549,15:30:00,,93.789,0.494,0.166,0.497,310,21.5,21.46,Dec 310 Puts,,,21.2
RURDD,96.47,,,,106.7,,C,95.328,0.13,O,105.21,,0,0.244,,147,-0.006,,090417,,090324,19.621,0.361,-15.153,15:30:00,,10.643,,0.999,0.693,320,0.21,105.87,Apr 320 Calls,,,104.6
RURED,74.62,,,,109.2,,C,89.626,0.173,O,106.55,,0,0.259,,14,-0.025,,090515,,090324,38.477,0.361,-18.164,15:30:00,,28.828,,0.98,0.653,320,1.55,109.28,May 320 Calls,,,107.1
RURFD,112.91,,,,111.8,,C,86.774,0.177,O,111.09,,0,0.271,,118,-0.006,,090619,,090324,60.698,0.361,-15.001,15:30:00,,44.172,,0.943,0.586,320,6.09,111.75,Jun 320 Calls,,,110.2
RURID,77.96,,,,118.4,,C,83.17,0.173,O,115.62,,0,0.29,,43,-0.001,,090918,,090324,113.722,0.361,-10.512,15:30:00,,73.721,,0.861,0.497,320,10.62,115.78,Sep 320 Calls,,,116.6
RURLD,146.4,,,,124.7,,C,80.139,0.158,O,124.16,,0,0.318,,1,0.013,,091218,,090324,155.906,0.361,-9.451,15:30:00,,99.828,,0.807,0.493,320,19.16,122.59,Dec 320 Calls,,,121.4
RURPD,1.38,0.25,1.38,1.22,1.4,0.677,P,-4.068,0.121,O,1.3,1.27,0,0.055,1.13,9539,0.024,0.667,090417,,090324,-1.217,0.361,-13.155,15:30:00,,9.521,0.657,0.001,0.664,320,1.3,1.27,Apr 320 Puts,,153,1.2
RURQD,4.37,0.55,4.37,3.94,4.4,0.604,P,-8.879,0.167,O,4.3,4.15,0,0.086,3.82,1238,-0.011,0.6,090515,,090324,-5.968,0.361,-14.685,15:30:00,,25.718,0.596,0.02,0.602,320,4.3,4.35,May 320 Puts,,66,4.2
RURRD,8.02,0.73,8.02,8.02,8.5,0.571,P,-12.559,0.177,O,8.29,8.02,0,0.115,7.29,1343,0.007,0.566,090619,,090324,-14.588,0.361,-13.856,15:30:00,,42.619,0.562,0.057,0.565,320,8.29,8.23,Jun 320 Puts,,1,8.1
RURUD,18.96,,,,17.4,0.522,P,-17.504,0.169,O,17.19,,0,0.171,,437,0.002,0.52,090918,,090324,-44.122,0.361,-10.959,15:30:00,,75.586,0.515,0.139,0.519,320,17.19,17.16,Sep 320 Puts,,,16.8
RURXD,34.1,,,,24.4,0.494,P,-19.794,0.158,O,24.43,,0,0.21,,149,0.017,0.494,091218,,090324,-78.38,0.361,-9.034,15:30:00,,99.624,0.485,0.193,0.49,320,24.43,24.01,Dec 320 Puts,,,23.5
RURDF,98.32,11.61,98.32,98.32,97.7,,C,93.924,0.165,O,96.54,98.32,0,0.223,86.71,259,0.002,,090417,,090324,19.854,0.361,-18.124,15:30:00,,13.105,,0.997,0.671,330,1.54,96.36,Apr 330 Calls,,4,95.2
RUREF,90.83,,,,100,,C,87.759,0.2,O,98.85,,0,0.241,,78,-0.015,,090515,,090324,38.622,0.361,-19.848,15:30:00,,32.441,,0.966,0.634,330,3.85,100.35,May 330 Calls,,,98.5
RURFF,104.41,,,,103.4,,C,84.732,0.2,O,102.64,,0,0.254,,164,-0.006,,090619,,090324,60.658,0.361,-16.154,15:30:00,,48.673,,0.92,0.573,330,7.64,103.29,Jun 330 Calls,,,101.7
