Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,Exp.Date,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,812,1.2,812.4,810.4,,, ,1,0,I,812,810.9,0,,810.8,,,,,,070405,,0.094,,15:30:00,,,,,,,,,RUT Index,0,,
RUYPN,,,,,,,P,-0.986,0.038,O,0,,0,0.022,,,,,070420,,,-0.338,0.094,-5.505,,,4.356,,0,0.417,670,,0.24,Apr 670 Puts,,,
RUYQN,,,,,,,P,-3.086,0.079,O,0,,0,0.033,,,,,070518,,,-3.07,0.094,-6.67,,,19.472,,0,0.315,670,,1.09,May 670 Puts,,,
RUYRN,,,,,,,P,-5.336,0.104,O,0,,0,0.042,,,,,070615,,,-8.863,0.094,-7.309,,,38.929,,0,0.291,670,,2.46,Jun 670 Puts,,,
RUYSN,,,,,,,P,-7.541,0.119,O,0,,0,0.053,,,,,070720,,,-18.908,0.094,-7.158,,,62.117,,0,0.275,670,,4.31,Jul 670 Puts,,,
RUYUN,,,,,,,P,-10.644,0.127,O,0,,0,0.069,,,,,070921,,,-43.318,0.094,-6.63,,,100.981,,0.001,0.264,670,,8,Sep 670 Puts,,,
RUYPP,,,,,,,P,-1.175,0.047,O,0,,0,0.021,,,,,070420,,,-0.402,0.094,-6.116,,,5.074,,0,0.397,680,,0.27,Apr 680 Puts,,,
RUYQP,,,,,,,P,-3.719,0.096,O,0,,0,0.032,,,,,070518,,,-3.699,0.094,-7.518,,,22.696,,0,0.305,680,,1.31,May 680 Puts,,,
RUYRP,,,,,,,P,-6.25,0.121,O,0,,0,0.043,,,,,070615,,,-10.38,0.094,-8.027,,,44.065,,0,0.284,680,,2.88,Jun 680 Puts,,,
RUYSP,,,,,,,P,-8.647,0.134,O,0,,0,0.053,,,,,070720,,,-21.686,0.094,-7.717,,,68.858,,0,0.269,680,,4.96,Jul 680 Puts,,,
RUYUP,,,,,,,P,-11.881,0.139,O,0,,0,0.07,,,,,070921,,,-48.375,0.094,-6.978,,,109.203,,0.001,0.26,680,,8.98,Sep 680 Puts,,,
