Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,Exp.Date,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,448.04,-5.2,459.39,448.04,,, ,1,0,I,448.04,455.46,0,,453.24,,,,,,090130,,0.342,,15:30:00,,,,,,,,,RUT Index,0,,
RURNT,0.29,0.04,0.29,0.29,0.4,0.781,P,-1.167,0.037,O,0.35,0.29,0,0.05,0.25,53268,0,0.766,090220,,090130,-0.32,0.342,-5.682,15:30:00,,3.282,0.75,0,0.766,300,0.35,0.35,Feb 300 Puts,,10,0.3
RUROT,2.46,,,,2.75,0.72,P,-4.925,0.087,O,2.62,,0,0.089,,4176,-0.015,0.712,090320,,090130,-3.306,0.342,-11.96,15:30:00,,16.699,0.705,0.001,0.714,300,2.62,2.66,Mar 300 Puts,,,2.5
RURPT,3.93,,,,5.2,0.67,P,-7.292,0.102,O,4.95,,0,0.113,,108,-0.012,0.661,090417,,090130,-7.905,0.342,-12.084,15:30:00,,28.402,0.656,0.006,0.663,300,4.95,5.01,Apr 300 Puts,,,4.8
RURRT,9.7,,,,10.8,0.616,P,-10.986,0.112,O,10.41,,0,0.158,,1137,-0.017,0.608,090619,,090130,-22.741,0.342,-11.128,15:30:00,,51.706,0.602,0.032,0.612,300,10.41,10.59,Jun 300 Puts,,,10.1
RURUT,19.3,,,,18.2,0.578,P,-14.036,0.11,O,17.87,,0,0.209,,154,-0.009,0.574,090918,,090130,-50.551,0.342,-9.63,15:30:00,,78.365,0.568,0.076,0.576,300,17.87,18.03,Sep 300 Puts,,,17.4
RURBB,141,-5.5,141,141,138.5,,C,97.026,0.073,O,137.52,141,0,0.303,146.5,18,-0.008,,090220,,090130,16.993,0.342,-14.402,15:30:00,,7.261,,1,0.859,310,-0.52,138.6,Feb 310 Calls,,1,136.2
RURCB,-1,,,,140.2,,C,93.292,0.109,O,138.95,,0,0.311,,177,-0.012,,090320,,090130,37.04,0.342,-15.802,15:30:00,,21.285,,0.998,0.731,310,0.91,140.63,Mar 310 Calls,,,137.7
RURDB,-1,,,,142.2,,C,90.656,0.12,O,140.8,,0,0.321,,,-0.015,,090417,,090130,55.091,0.342,-15.141,15:30:00,,34.218,,0.99,0.681,310,2.76,142.93,Apr 310 Calls,,,139.4
RURFB,-1,,,,146.3,,C,87.66,0.124,O,145.15,,0,0.337,,228,-0.008,,090619,,090130,93.162,0.342,-12.11,15:30:00,,56.145,,0.956,0.598,310,7.11,146.33,Jun 310 Calls,,,144
RURIB,,,,,,,C,85.051,0.121,O,0,,0,0.355,,,,,090918,,,142.307,0.342,-9.862,,,81.764,,0.905,0.545,310,,150.66,Sep 310 Calls,,,
RURNB,0.33,-0.13,0.33,0.33,0.6,0.77,P,-1.573,0.05,O,0.52,0.33,0,0.05,0.46,2405,0.106,0.753,090220,,090130,-0.432,0.342,-7.744,15:30:00,,4.245,0.736,0,0.742,310,0.52,0.47,Feb 310 Puts,,16,0.45
RUROB,3.19,0.2,3.2,2.53,3.3,0.7,P,-5.919,0.104,O,3.15,2.53,0,0.089,2.99,3237,-0.016,0.692,090320,,090130,-3.975,0.342,-13.429,15:30:00,,19.311,0.685,0.002,0.695,310,3.15,3.2,Mar 310 Puts,,17,3
RURPB,4.79,,,,6.1,0.655,P,-8.51,0.117,O,5.85,,0,0.114,,146,-0.003,0.647,090417,,090130,-9.233,0.342,-13.334,15:30:00,,31.925,0.642,0.01,0.648,310,5.85,5.87,Apr 310 Puts,,,5.7
RURRB,9.5,,,,12.2,0.603,P,-12.38,0.124,O,11.74,,0,0.159,,775,-0.022,0.595,090619,,090130,-25.656,0.342,-11.841,15:30:00,,56.272,0.591,0.044,0.6,310,11.74,12,Jun 310 Puts,,,11.5
RURUB,,,,,,,P,-15.459,0.12,O,0,,0,0.211,,,,,090918,,,-55.75,0.342,-10.15,,,83.599,,0.095,0.566,310,,19.97,Sep 310 Puts,,,
RURBD,123.26,,,,128.8,,C,96.355,0.09,O,127.39,,0,0.282,,11,-0.011,,090220,,090130,17.381,0.342,-16.42,15:30:00,,8.585,,1,0.825,320,-0.65,128.84,Feb 320 Calls,,,126.4
RURCD,153,,,,130.8,,C,92.143,0.126,O,130.71,,0,0.292,,159,-0.004,,090320,,090130,37.605,0.342,-17.304,15:30:00,,24.021,,0.996,0.709,320,2.67,131.29,Mar 320 Calls,,,128.4
RURDD,-1,,,,133.2,,C,89.32,0.136,O,131.85,,0,0.303,,,-0.015,,090417,,090130,55.735,0.342,-16.246,15:30:00,,37.723,,0.983,0.662,320,3.81,133.92,Apr 320 Calls,,,130.5
RURFD,-1,,,,138,,C,86.134,0.137,O,136.85,,0,0.321,,138,-0.008,,090619,,090130,93.793,0.342,-12.868,15:30:00,,60.851,,0.94,0.587,320,8.81,137.91,Jun 320 Calls,,,135.7
RURID,-1,,,,145.4,,C,83.475,0.132,O,143.7,,0,0.341,,33,0.006,,090918,,090130,142.854,0.342,-10.373,15:30:00,,87.324,,0.884,0.537,320,15.66,142.84,Sep 320 Calls,,,142
RURND,0.48,-0.1,0.48,0.48,0.75,0.738,P,-2.113,0.066,O,0.67,0.48,0,0.05,0.58,6230,0.047,0.724,090220,,090130,-0.58,0.342,-9.341,15:30:00,,5.456,0.711,0,0.719,320,0.67,0.64,Feb 320 Puts,,16,0.6
RUROD,3.6,0.11,3.62,3.08,4,0.683,P,-7.088,0.122,O,3.84,3.13,0,0.09,3.49,3508,-0.003,0.676,090320,,090130,-4.762,0.342,-15.225,15:30:00,,22.209,0.67,0.004,0.677,320,3.84,3.85,Mar 320 Puts,,67,3.7
RURPD,6,,,,7.1,0.639,P,-9.894,0.134,O,6.9,,0,0.115,,135,0.004,0.633,090417,,090130,-10.743,0.342,-14.656,15:30:00,,35.688,0.631,0.017,0.633,320,6.9,6.87,Apr 320 Puts,,,6.8
