Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,Exp.Date,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,809.3,-2.5,811.8,808,,, ,1,0,I,809.3,811.6,0,,811.8,,,,,,070404,,0.097,,15:30:00,,,,,,,,,RUT Index,0,,
RUYPN,,,,,,,P,-0.974,0.039,O,0,,0,0.021,,,,,070420,,,-0.355,0.097,-5.009,,,4.44,,0,0.396,670,,0.23,Apr 670 Puts,,,
RUYQN,,,,,,,P,-3.504,0.087,O,0,,0,0.034,,,,,070518,,,-3.56,0.097,-7.325,,,21.792,,0,0.317,670,,1.28,May 670 Puts,,,
RUYRN,,,,,,,P,-5.665,0.11,O,0,,0,0.043,,,,,070615,,,-9.516,0.097,-7.538,,,40.954,,0,0.29,670,,2.64,Jun 670 Puts,,,
RUYSN,,,,,,,P,-7.912,0.123,O,0,,0,0.053,,,,,070720,,,-19.969,0.097,-7.33,,,64.491,,0,0.275,670,,4.55,Jul 670 Puts,,,
RUYUN,,,,,,,P,-11.089,0.13,O,0,,0,0.07,,,,,070921,,,-45.288,0.097,-6.777,,,103.921,,0.001,0.265,670,,8.42,Sep 670 Puts,,,
RUYPP,,,,,,,P,-1.198,0.049,O,0,,0,0.021,,,,,070420,,,-0.436,0.097,-5.743,,,5.314,,0,0.378,680,,0.27,Apr 680 Puts,,,
RUYQP,,,,,,,P,-4.213,0.105,O,0,,0,0.034,,,,,070518,,,-4.279,0.097,-8.231,,,25.312,,0,0.307,680,,1.53,May 680 Puts,,,
RUYRP,,,,,,,P,-6.651,0.127,O,0,,0,0.043,,,,,070615,,,-11.173,0.097,-8.296,,,46.407,,0,0.283,680,,3.1,Jun 680 Puts,,,
RUYSP,,,,,,,P,-9.077,0.139,O,0,,0,0.054,,,,,070720,,,-22.919,0.097,-7.903,,,71.468,,0,0.269,680,,5.25,Jul 680 Puts,,,
RUYUP,,,,,,,P,-12.369,0.143,O,0,,0,0.071,,,,,070921,,,-50.549,0.097,-7.127,,,112.262,,0.002,0.26,680,,9.46,Sep 680 Puts,,,
RUYDR,,,,,,,C,97.245,0.091,O,0,,0,0.146,,,,,070420,,,29.152,0.097,-22.226,,,10.775,,1,0.41,690,,120.99,Apr 690 Calls,,,
RUYER,,,,,,,C,94.252,0.133,O,0,,0,0.15,,,,,070518,,,76.771,0.097,-19.877,,,32.411,,1,0.309,690,,124.09,May 690 Calls,,,
RUYFR,,,,,,,C,91.439,0.152,O,0,,0,0.156,,,,,070615,,,120.259,0.097,-19.347,,,56.209,,1,0.287,690,,127.74,Jun 690 Calls,,,
RUYGR,,,,,,,C,89.308,0.158,O,0,,0,0.163,,,,,070720,,,172.178,0.097,-17.905,,,80.543,,0.999,0.267,690,,131.83,Jul 690 Calls,,,
RUYIR,,,,,,,C,85.954,0.157,O,0,,0,0.178,,,,,070921,,,256.345,0.097,-16.661,,,122.517,,0.996,0.259,690,,140,Sep 690 Calls,,,
RUYPR,,,,,,,P,-1.489,0.062,O,0,,0,0.02,,,,,070420,,,-0.542,0.097,-6.627,,,6.411,,0,0.36,690,,0.33,Apr 690 Puts,,,
RUYQR,,,,,,,P,-5.075,0.125,O,0,,0,0.034,,,,,070518,,,-5.154,0.097,-9.236,,,29.386,,0,0.297,690,,1.84,May 690 Puts,,,
RUYRR,,,,,,,P,-7.807,0.148,O,0,,0,0.043,,,,,070615,,,-13.117,0.097,-9.099,,,52.452,,0,0.276,690,,3.66,Jun 690 Puts,,,
RUYSR,,,,,,,P,-10.401,0.157,O,0,,0,0.054,,,,,070720,,,-26.274,0.097,-8.487,,,78.955,,0.001,0.263,690,,6.06,Jul 690 Puts,,,
RUYUR,,,,,,,P,-13.775,0.157,O,0,,0,0.072,,,,,070921,,,-56.331,0.097,-7.464,,,120.912,,0.004,0.256,690,,10.6,Sep 690 Puts,,,
RUTDT,-1,,,,110.5,,C,96.812,0.109,O,110.3,,0,0.134,,119,-0.007,,070420,,070404,29.432,0.097,-23.199,15:30:00,,12.164,,1,0.386,700,1,111.1,Apr 700 Calls,,,110.1
RUTET,-1,,,,113.3,,C,93.243,0.156,O,113.4,,0,0.139,,11,-0.01,,070518,,070404,76.943,0.097,-20.953,15:30:00,,36.761,,1,0.298,700,4.1,114.52,May 700 Calls,,,113.5
RUTFT,-1,,,,118.2,,C,90.165,0.174,O,117.7,,0,0.146,,4390,-0.006,,070615,,070404,120.068,0.097,-20.168,15:30:00,,62.274,,1,0.278,700,8.4,118.45,Jun 700 Calls,,,117.2
RUTGT,-1,,,,123.1,0.264,C,87.863,0.177,O,122.45,,0,0.154,,10,-0.003,0.256,070720,,070404,171.404,0.097,-18.194,15:30:00,,88.131,0.249,0.998,0.261,700,13.15,122.86,Jul 700 Calls,,,121.8
RUTIT,-1,,,,131.9,0.258,C,84.487,0.172,O,131.1,,0,0.169,,11,-0.002,0.251,070921,,070404,254.874,0.097,-16.897,15:30:00,,130.917,0.245,0.992,0.254,700,21.8,131.4,Sep 700 Calls,,,130.3
RUTPT,-1,,,,0.5,0.354,P,-1.872,0.079,O,0.38,,0,0.02,,18969,-0.05,0.339,070420,,070404,-0.68,0.097,-7.282,15:30:00,,7.796,0.319,0,0.342,700,0.38,0.4,Apr 700 Puts,,,0.25
RUTQT,-1,,,,2.3,0.29,P,-6.127,0.15,O,2.2,,0,0.034,,12450,-0.009,0.287,070518,,070404,-6.222,0.097,-10.283,15:30:00,,34.081,0.284,0,0.288,700,2.2,2.22,May 700 Puts,,,2.1
RUTRT,-1,,,,4.5,0.272,P,-9.158,0.171,O,4.3,,0,0.044,,4127,-0.002,0.269,070615,,070404,-15.392,0.097,-9.939,15:30:00,,59.103,0.265,0,0.269,700,4.3,4.31,Jun 700 Puts,,,4.1
RUTST,-1,,,,7.3,0.261,P,-11.901,0.177,O,7,,0,0.055,,37,0.001,0.258,070720,,070404,-30.082,0.097,-9.074,15:30:00,,86.928,0.254,0.002,0.258,700,7,6.99,Jul 700 Puts,,,6.7
RUTUT,-1,,,,12.3,0.255,P,-15.309,0.172,O,11.65,,0,0.072,,3827,-0.019,0.25,070921,,070404,-62.645,0.097,-7.685,15:30:00,,129.784,0.244,0.008,0.251,700,11.65,11.87,Sep 700 Puts,,,11
RUTDB,-1,,,,101.1,,C,96.266,0.133,O,100.5,,0,0.122,,161,-0.007,,070420,,070404,29.671,0.097,-24.308,15:30:00,,13.848,,1,0.363,710,1.2,101.22,Apr 710 Calls,,,99.9
RUTEB,-1,,,,105.3,,C,92.025,0.185,O,104.65,,0,0.128,,11,-0.003,,070518,,070404,76.905,0.097,-22.099,15:30:00,,41.714,,1,0.287,710,5.35,105.01,May 710 Calls,,,104
RUTFB,-1,,,,109.3,,C,88.687,0.199,O,108.8,,0,0.136,,62,-0.004,,070615,,070404,119.531,0.097,-21.003,15:30:00,,68.893,,0.999,0.269,710,9.5,109.26,Jun 710 Calls,,,108.3
RUTGB,-1,,,,114.6,0.26,C,86.23,0.198,O,113.85,,0,0.144,,10,-0.001,0.253,070720,,070404,170.149,0.097,-19.077,15:30:00,,96.162,0.245,0.996,0.254,710,14.55,114.01,Jul 710 Calls,,,113.1
RUTIB,-1,,,,123.4,0.252,C,82.878,0.187,O,122.55,,0,0.16,,22,-0.003,0.245,070921,,070404,252.808,0.097,-17.232,15:30:00,,139.565,0.239,0.987,0.248,710,23.25,122.94,Sep 710 Calls,,,121.7
