Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,ExpDate,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RURFB,-1,,,,157,,C,87.374,0.113,O,155.6,,0,0.356,,228,-0.011,,090619,,090126,94.098,0.367,-13.298,15:30:00,,59.028,,0.951,0.643,310,8.35,157.3,Jun 310 Calls,,,154.2
RURIB,,,,,,,C,85.535,0.112,O,0,,0,0.369,,,,,090918,,,144.971,0.367,-10.071,,,82.299,,0.9,0.563,310,,160.13,Sep 310 Calls,,,
RURNB,0.71,-0.61,1.1,0.71,0.75,0.764,P,-1.94,0.053,O,0.68,1.1,0,0.057,1.32,2405,0,0.751,090220,,090126,-0.653,0.367,-8.202,15:30:00,,5.65,0.737,0,0.752,310,0.68,0.68,Feb 310 Puts,,7,0.6
RUROB,3.49,-1.47,3.8,3.49,3.6,0.715,P,-5.915,0.096,O,3.45,3.7,0,0.095,4.96,2743,-0.009,0.708,090320,,090126,-4.415,0.367,-13.523,15:30:00,,20.479,0.7,0.003,0.709,310,3.45,3.48,Mar 310 Puts,,188,3.3
RURPB,8.3,,,,6.3,0.668,P,-8.404,0.108,O,6.25,,0,0.121,,136,-0.005,0.666,090417,,090126,-9.866,0.367,-13.538,15:30:00,,33.092,0.659,0.013,0.667,310,6.25,6.28,Apr 310 Puts,,,6
RURRB,16.9,,,,12.7,0.623,P,-11.961,0.114,O,12.61,,0,0.166,,308,0.024,0.621,090619,,090126,-26.202,0.367,-12.307,15:30:00,,56.834,0.612,0.049,0.616,310,12.61,12.31,Jun 310 Puts,,,12.1
RURUB,,,,,,,P,-14.792,0.111,O,0,,0,0.215,,,,,090918,,,-55.633,0.367,-10.157,,,83.54,,0.1,0.576,310,,19.91,Sep 310 Puts,,,
RURBD,123.26,,,,139.1,,C,97.333,0.07,O,137.16,,0,0.295,,11,-0.002,,090220,,090126,21.003,0.367,-10.619,15:30:00,,7.387,,1,0.74,320,-0.09,137.5,Feb 320 Calls,,,136.6
RURCD,-1,,,,141.5,,C,92.422,0.115,O,140.1,,0,0.306,,159,-0.003,,090320,,090126,40.735,0.367,-16.678,15:30:00,,24.798,,0.994,0.715,320,2.85,140.5,Mar 320 Calls,,,138.7
RURDD,-1,,,,143.7,,C,89.591,0.124,O,142.45,,0,0.318,,,-0.006,,090417,,090126,58.6,0.367,-16.31,15:30:00,,38.748,,0.979,0.681,320,5.2,143.37,Apr 320 Calls,,,141.2
RURFD,-1,,,,148.6,,C,86.005,0.124,O,147.2,,0,0.34,,138,-0.011,,090619,,090126,94.995,0.367,-13.959,15:30:00,,63.358,,0.935,0.629,320,9.95,148.82,Jun 320 Calls,,,145.8
RURID,-1,,,,154.8,,C,84.074,0.121,O,153.1,,0,0.355,,33,0.006,,090918,,090126,145.816,0.367,-10.567,15:30:00,,87.725,,0.879,0.554,320,15.85,152.24,Sep 320 Calls,,,151.4
RURND,0.9,-0.6,1.22,0.9,0.95,0.738,P,-2.493,0.067,O,0.9,1.22,0,0.057,1.5,6459,0.023,0.731,090220,,090126,-0.839,0.367,-10.105,15:30:00,,6.982,0.724,0,0.728,320,0.9,0.88,Feb 320 Puts,,53,0.85
RUROD,4.11,-1.72,5.04,4.11,4.3,0.698,P,-7.021,0.112,O,4.15,5.04,0,0.096,5.83,3359,-0.002,0.691,090320,,090126,-5.243,0.367,-15.152,15:30:00,,23.393,0.685,0.006,0.692,320,4.15,4.16,Mar 320 Puts,,109,4
RURPD,11.15,,,,7.3,0.653,P,-9.679,0.123,O,7.34,,0,0.121,,113,0.01,0.654,090417,,090126,-11.37,0.367,-14.858,15:30:00,,36.75,0.645,0.021,0.652,320,7.34,7.27,Apr 320 Puts,,,7
RURRD,18.4,,,,14.2,0.61,P,-13.382,0.125,O,14.16,,0,0.167,,292,0.021,0.61,090619,,090126,-29.351,0.367,-13.05,15:30:00,,61.452,0.602,0.065,0.605,320,14.16,13.87,Jun 320 Puts,,,13.7
RURUD,17,,,,22.4,0.572,P,-16.215,0.12,O,21.62,,0,0.217,,84,-0.015,0.563,090918,,090126,-61.068,0.367,-10.506,15:30:00,,88.761,0.559,0.121,0.567,320,21.62,21.95,Sep 320 Puts,,,21.3
RURBF,121.3,,,,129.4,,C,96.59,0.088,O,127.73,,0,0.274,,11,0,,090220,,090126,21.437,0.367,-12.669,15:30:00,,9.054,,1,0.717,330,0.48,127.77,Feb 330 Calls,,,126.7
RURCF,158.5,,,,132.3,,C,91.161,0.133,O,132.21,,0,0.287,,118,0.007,,090320,,090126,41.237,0.367,-18.232,15:30:00,,27.844,,0.99,0.696,330,4.96,131.29,Mar 330 Calls,,,129.5
