Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,Exp.Date,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,829.4,-5.9,834.4,829,,, ,1,0,I,829.4,834.4,0,,835.3,,,,,,070611,,0.117,,15:30:00,,,,,,,,,RUT Index,0,,
RUYRR,,,,,,,P,-0.082,0.006,O,0,,0,0.012,,,,,070615,,,-0.008,0.117,-0.963,,,0.246,,0,0.565,690,,0.01,Jun 690 Puts,,,
RUYSR,,,,,,,P,-2.435,0.071,O,0,,0,0.028,,,,,070720,,,-2.232,0.117,-5.563,,,15.567,,0,0.298,690,,0.77,Jul 690 Puts,,,
RUYTR,,,,,,,P,-5.389,0.108,O,0,,0,0.041,,,,,070817,,,-8.608,0.117,-7.664,,,38.941,,0,0.286,690,,2.42,Aug 690 Puts,,,
RUYUR,,,,,,,P,-8.4,0.126,O,0,,0,0.054,,,,,070921,,,-20.73,0.117,-8.278,,,67.522,,0.001,0.28,690,,4.99,Sep 690 Puts,,,
RUYXR,,,,,,,P,-12.642,0.131,O,0,,0,0.077,,,,,071221,,,-60.554,0.117,-7.018,,,124.375,,0.009,0.264,690,,10.82,Dec 690 Puts,,,
RUTFT,-1,,,,129.8,,C,99.959,0.003,O,129.25,,0,0.156,,4447,-0.003,,070615,,070611,7.658,0.117,-9.191,15:30:00,,0.129,,1,0.489,700,-0.15,129.62,Jun 700 Calls,,,128.7
RUTGT,-1,,,,132.8,,C,95.538,0.108,O,132.65,,0,0.157,,10,-0.004,,070720,,070611,70.255,0.117,-18.693,15:30:00,,25.581,,1,0.321,700,3.25,133.17,Jul 700 Calls,,,132.5
RUTHT,-1,,,,136.2,,C,92.611,0.134,O,135.75,,0,0.162,,,-0.007,,070817,,070611,115.448,0.117,-18.88,15:30:00,,49.738,,1,0.296,700,6.35,136.69,Aug 700 Calls,,,135.3
RUTIT,-1,,,,141.1,,C,89.871,0.144,O,140.6,,0,0.17,,21,-0.005,,070921,,070611,167.862,0.117,-18.294,15:30:00,,77.519,,0.998,0.281,700,11.2,141.27,Sep 700 Calls,,,140.1
