Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,ExpDate,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,780.6,2.7,785.1,778.2,,, ,1,0,I,780.6,779.2,0,,777.9,,,,,,070802,,0.186,,15:30:00,,,,,,,,,RUT Index,0,,
RUYTD,,,,,,,P,-0.615,0.024,O,0,,0,0.023,,,,,070817,,,-0.203,0.186,-3.856,,,2.765,,0,0.465,620,,0.15,Aug 620 Puts,,,
RUYUD,,,,,,,P,-5.486,0.092,O,0,,0,0.052,,,,,070921,,,-6.25,0.186,-12.668,,,32.083,,0,0.417,620,,2.97,Sep 620 Puts,,,
RUYVD,,,,,,,P,-8.213,0.107,O,0,,0,0.067,,,,,071019,,,-14.853,0.186,-12.882,,,54.638,,0.003,0.395,620,,5.73,Oct 620 Puts,,,
RUYXD,,,,,,,P,-11.352,0.112,O,0,,0,0.088,,,,,071221,,,-37.973,0.186,-10.429,,,92.875,,0.018,0.356,620,,10.43,Dec 620 Puts,,,
RUYOD,,,,,,,P,-14.657,0.109,O,0,,0,0.118,,,,,080321,,,-83.339,0.186,-8.789,,,141.602,,0.046,0.343,620,,18.16,Mar08 620 Puts,,,
RUYTF,,,,,,,P,-0.813,0.031,O,0,,0,0.023,,,,,070817,,,-0.268,0.186,-4.819,,,3.535,,0,0.451,630,,0.2,Aug 630 Puts,,,
RUYUF,,,,,,,P,-6.309,0.106,O,0,,0,0.052,,,,,070921,,,-7.187,0.186,-13.769,,,35.795,,0.001,0.406,630,,3.41,Sep 630 Puts,,,
RUYVF,,,,,,,P,-9.187,0.119,O,0,,0,0.067,,,,,071019,,,-16.611,0.186,-13.644,,,59.4,,0.005,0.386,630,,6.39,Oct 630 Puts,,,
RUYXF,,,,,,,P,-12.485,0.122,O,0,,0,0.088,,,,,071221,,,-41.781,0.186,-10.909,,,99.313,,0.025,0.35,630,,11.52,Dec 630 Puts,,,
RUYOF,,,,,,,P,-15.746,0.116,O,0,,0,0.118,,,,,080321,,,-89.535,0.186,-8.993,,,148.49,,0.057,0.338,630,,19.51,Mar08 630 Puts,,,
RUYHH,,,,,,,C,97.916,0.064,O,0,,0,0.178,,,,,070817,,,25.539,0.186,-20.513,,,7.957,,1,0.497,640,,141.96,Aug 640 Calls,,,
RUYIH,,,,,,,C,91.387,0.128,O,0,,0,0.188,,,,,070921,,,77.156,0.186,-26.53,,,45.379,,0.998,0.426,640,,148.24,Sep 640 Calls,,,
