Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,Exp.Date,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,392.77,-0.18,394.86,386.78,,, ,1,0,I,392.77,389.91,0,,392.95,,,,,,090227,,0.324,,15:30:00,,,,,,,,,RUT Index,0,,
RUROA,0.2,,,,0.3,0.849,P,-0.641,0.024,O,0.22,,0,0.048,,3943,0.375,0.815,090320,,090227,-0.154,0.324,-3.85,15:30:00,,1.702,,0,0.784,250,0.22,0.16,Mar 250 Puts,,,0.15
RURPA,1.4,0.05,1.4,1.4,1.45,0.716,P,-3.053,0.069,O,1.3,1.4,0,0.081,1.35,1932,-0.008,0.701,090417,,090227,-1.778,0.324,-6.969,15:30:00,,9.918,0.685,0,0.702,250,1.3,1.31,Apr 250 Puts,,10,1.15
RURQA,3.08,0.52,3.08,3.08,3.2,0.675,P,-5.423,0.091,O,3.1,3.08,0,0.108,2.56,10,-0.006,0.67,090515,,090227,-5.12,0.324,-8.507,15:30:00,,19.762,0.665,0.001,0.671,250,3.1,3.12,May 250 Puts,,5,3
RURRA,5.6,,,,5.3,0.635,P,-7.419,0.103,O,5.17,,0,0.132,,592,-0.013,0.63,090619,,090227,-10.465,0.324,-8.427,15:30:00,,30.333,0.625,0.007,0.633,250,5.17,5.24,Jun 250 Puts,,,5
RURUA,11.5,,,,11.4,0.594,P,-11.092,0.111,O,11.02,,0,0.187,,829,-0.013,0.587,090918,,090227,-30.037,0.324,-7.789,15:30:00,,54.649,0.579,0.034,0.589,250,11.02,11.16,Sep 250 Puts,,,10.6
RUROC,0.35,0,0.35,0.35,0.4,0.816,P,-0.924,0.035,O,0.3,0.35,0,0.048,0.35,1048,0.304,0.783,090320,,090227,-0.222,0.324,-4.92,15:30:00,,2.347,0.742,0,0.757,260,0.3,0.23,Mar 260 Puts,,26,0.2
RURPC,1.77,0.07,1.97,1.77,1.8,0.692,P,-3.882,0.086,O,1.68,1.97,0,0.081,1.7,651,0.006,0.682,090417,,090227,-2.262,0.324,-8.328,15:30:00,,12.082,0.671,0,0.682,260,1.68,1.67,Apr 260 Puts,,12,1.55
RURQC,3.67,,,,3.9,0.658,P,-6.564,0.109,O,3.79,,0,0.109,,74,-0.003,0.653,090515,,090227,-6.203,0.324,-9.654,15:30:00,,22.947,0.649,0.003,0.653,260,3.79,3.8,May 260 Puts,,,3.7
RURRC,6.8,,,,6.4,0.623,P,-8.753,0.119,O,6.23,,0,0.134,,371,-0.002,0.618,090619,,090227,-12.362,0.324,-9.412,15:30:00,,34.361,0.611,0.012,0.618,260,6.23,6.24,Jun 260 Puts,,,6
