24/11/2005,1.17153,1.17328,1.1698,1.1713
25/11/2005,1.17123,1.17338,1.16749,1.1684
28/11/2005,1.16783,1.17173,1.16429,1.16743
29/11/2005,1.16743,1.17073,1.16604,1.169
30/11/2005,1.16893,1.1693,1.1639,1.16641
01/12/2005,1.16628,1.17326,1.1622,1.1647
02/12/2005,1.16465,1.16692,1.16022,1.1623
05/12/2005,1.16053,1.16236,1.15494,1.1569
06/12/2005,1.1569,1.15881,1.15321,1.15686
07/12/2005,1.15683,1.16388,1.1562,1.15935
08/12/2005,1.15929,1.16257,1.157,1.15859
09/12/2005,1.15856,1.16098,1.15595,1.1564
12/12/2005,1.1576,1.15803,1.14994,1.1503
13/12/2005,1.15023,1.15342,1.14875,1.14944
14/12/2005,1.14933,1.15299,1.14234,1.1512
15/12/2005,1.15113,1.16114,1.1504,1.1577
16/12/2005,1.15774,1.15936,1.15417,1.1584
19/12/2005,1.15993,1.16975,1.15772,1.1695
20/12/2005,1.16943,1.17517,1.16597,1.17226
21/12/2005,1.17225,1.17435,1.16482,1.16624
22/12/2005,1.16616,1.16955,1.1632,1.1668
23/12/2005,1.16673,1.16969,1.16335,1.1656
26/12/2005,1.16808,1.17186,1.16282,1.16676
27/12/2005,1.16678,1.17462,1.16557,1.17376
28/12/2005,1.1737,1.17392,1.16145,1.165
29/12/2005,1.16493,1.16747,1.16243,1.1642
30/12/2005,1.1641,1.16969,1.16036,1.1616
02/01/2006,1.16235,1.16472,1.16183,1.16464
03/01/2006,1.16459,1.16643,1.15307,1.15596
04/01/2006,1.15591,1.15749,1.14521,1.1489
05/01/2006,1.14883,1.16495,1.146,1.16207
06/01/2006,1.16185,1.17244,1.16127,1.1649
09/01/2006,1.16543,1.17438,1.16348,1.1674
10/01/2006,1.16733,1.17036,1.16159,1.16316
11/01/2006,1.1631,1.16852,1.15694,1.1584
12/01/2006,1.15833,1.16511,1.15576,1.1607
13/01/2006,1.16062,1.1637,1.1579,1.1599
16/01/2006,1.15903,1.16087,1.15639,1.1573
17/01/2006,1.15723,1.16516,1.15584,1.1616
18/01/2006,1.16153,1.17363,1.16095,1.17256
19/01/2006,1.17258,1.1795,1.16169,1.16283
20/01/2006,1.16287,1.16598,1.15147,1.1518
23/01/2006,1.15351,1.15387,1.14701,1.1494
24/01/2006,1.14933,1.15786,1.14852,1.1526
25/01/2006,1.15253,1.15333,1.14761,1.1511
26/01/2006,1.15113,1.15592,1.14844,1.1489
27/01/2006,1.1489,1.1511,1.14534,1.1491
30/01/2006,1.14893,1.14987,1.14259,1.1459
31/01/2006,1.14583,1.14695,1.13748,1.13853
