underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^VIX,2017-09-28,VIX,2017-10-04,9.000,C,1.9000,1.9000,1.6700,1.7000,7,755,1.6500,26,1.9000,9.7000,9.7000,675,1.6000,291,2.0500,9.5500,9.5500,1.8386,33,
^VIX,2017-09-28,VIX,2017-10-04,9.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,4159,0.0500,9.7000,9.7000,0,0.0000,4393,0.0500,9.5500,9.5500,0.0000,0,
^VIX,2017-09-28,VIX,2017-10-04,9.500,C,1.4500,1.4500,1.2500,1.2500,157,36,1.2000,36,1.4000,9.7000,9.7000,8,1.1500,348,1.5000,9.5500,9.5500,1.3583,2123,
^VIX,2017-09-28,VIX,2017-10-04,9.500,P,0.0500,0.0500,0.0500,0.0500,80,0,0.0000,2434,0.0500,9.7000,9.7000,0,0.0000,1406,0.0500,9.5500,9.5500,0.0500,264,
^VIX,2017-09-28,VIX,2017-10-04,10.000,C,0.9800,1.0000,0.8000,0.9000,370,933,0.8500,51,0.9500,9.7000,9.7000,674,0.8500,50,0.9500,9.5500,9.5500,0.9312,1624,
^VIX,2017-09-28,VIX,2017-10-04,10.000,P,0.1000,0.1500,0.1000,0.1500,501,3590,0.1000,518,0.1500,9.7000,9.7000,4157,0.1000,921,0.2000,9.5500,9.5500,0.1468,1265,
^VIX,2017-09-28,VIX,2017-10-04,10.500,C,0.7000,0.7000,0.5600,0.6500,142,1131,0.5500,3262,0.7000,9.7000,9.7000,50,0.5500,2662,0.6500,9.5500,9.5500,0.6152,555,
^VIX,2017-09-28,VIX,2017-10-04,10.500,P,0.3500,0.4000,0.3500,0.4000,29,16,0.3500,151,0.4000,9.7000,9.7000,25,0.3500,2375,0.4500,9.5500,9.5500,0.3562,1074,
^VIX,2017-09-28,VIX,2017-10-04,11.000,C,0.5500,0.5500,0.4000,0.4500,200,44,0.4000,3295,0.5000,9.7000,9.7000,34,0.4000,4006,0.5000,9.5500,9.5500,0.4558,1911,
^VIX,2017-09-28,VIX,2017-10-04,11.000,P,0.6500,0.7500,0.6000,0.7500,39,2,0.6500,3077,0.7500,9.7000,9.7000,1,0.7000,1310,0.8000,9.5500,9.5500,0.6846,1462,
^VIX,2017-09-28,VIX,2017-10-04,11.500,C,0.3900,0.3900,0.3000,0.3500,150,13,0.3000,1086,0.3500,9.7000,9.7000,1,0.3000,1637,0.3500,9.5500,9.5500,0.3163,786,
^VIX,2017-09-28,VIX,2017-10-04,11.500,P,1.0500,1.1000,1.0500,1.1000,22,47,1.0000,3600,1.1500,9.7000,9.7000,19,1.0000,1751,1.2500,9.5500,9.5500,1.0636,637,
^VIX,2017-09-28,VIX,2017-10-04,12.000,C,0.3500,0.3500,0.2500,0.2500,185,4249,0.2000,3621,0.3000,9.7000,9.7000,45,0.2000,3736,0.3000,9.5500,9.5500,0.2687,6395,
^VIX,2017-09-28,VIX,2017-10-04,12.000,P,1.5000,1.5500,1.5000,1.5500,16,1295,1.4500,3399,1.6000,9.7000,9.7000,2155,1.4500,6,1.6000,9.5500,9.5500,1.5313,1424,
^VIX,2017-09-28,VIX,2017-10-04,12.500,C,0.2500,0.2500,0.2000,0.2200,699,4361,0.1500,4410,0.2500,9.7000,9.7000,40,0.1500,172,0.2000,9.5500,9.5500,0.2013,441,
^VIX,2017-09-28,VIX,2017-10-04,12.500,P,0.0000,0.0000,0.0000,0.0000,0,36,1.8500,1300,2.0500,9.7000,9.7000,470,1.7500,521,2.3000,9.5500,9.5500,0.0000,301,
^VIX,2017-09-28,VIX,2017-10-04,13.000,C,0.2000,0.2500,0.1500,0.2000,6213,5328,0.1000,3633,0.2000,9.7000,9.7000,1216,0.1000,3403,0.2000,9.5500,9.5500,0.1538,12097,
^VIX,2017-09-28,VIX,2017-10-04,13.000,P,0.0000,0.0000,0.0000,0.0000,0,36,2.3000,513,2.5000,9.7000,9.7000,475,2.2000,521,2.7500,9.5500,9.5500,0.0000,1149,
^VIX,2017-09-28,VIX,2017-10-04,13.500,C,0.1500,0.1500,0.1400,0.1400,109,354,0.1000,388,0.1500,9.7000,9.7000,12,0.1000,1449,0.1500,9.5500,9.5500,0.1495,5093,
^VIX,2017-09-28,VIX,2017-10-04,13.500,P,0.0000,0.0000,0.0000,0.0000,0,36,2.7500,36,2.9500,9.7000,9.7000,542,2.6500,819,3.3000,9.5500,9.5500,0.0000,378,
^VIX,2017-09-28,VIX,2017-10-04,14.000,C,0.1300,0.1500,0.1000,0.1000,194,172,0.1000,4085,0.1500,9.7000,9.7000,2931,0.0500,60,0.1000,9.5500,9.5500,0.1110,1267,
^VIX,2017-09-28,VIX,2017-10-04,14.000,P,0.0000,0.0000,0.0000,0.0000,0,36,3.2000,717,3.5000,9.7000,9.7000,565,3.1000,821,3.8000,9.5500,9.5500,0.0000,85,
^VIX,2017-09-28,VIX,2017-10-04,14.500,C,0.0000,0.0000,0.0000,0.0000,0,4077,0.0500,5914,0.1500,9.7000,9.7000,210,0.0500,289,0.1000,9.5500,9.5500,0.0000,1060,
^VIX,2017-09-28,VIX,2017-10-04,14.500,P,0.0000,0.0000,0.0000,0.0000,0,26,3.7000,26,3.9000,9.7000,9.7000,256,3.6000,274,4.2000,9.5500,9.5500,0.0000,47,
^VIX,2017-09-28,VIX,2017-10-04,15.000,C,0.1000,0.1000,0.1000,0.1000,626,414,0.0500,6184,0.1500,9.7000,9.7000,50,0.0500,1491,0.1000,9.5500,9.5500,0.1000,913,
^VIX,2017-09-28,VIX,2017-10-04,15.000,P,0.0000,0.0000,0.0000,0.0000,0,26,4.2000,26,4.4000,9.7000,9.7000,309,4.1000,20,4.6000,9.5500,9.5500,0.0000,101,
^VIX,2017-09-28,VIX,2017-10-04,16.000,C,0.0500,0.0500,0.0500,0.0500,27,31,0.0500,3945,0.1000,9.7000,9.7000,31,0.0500,3462,0.1000,9.5500,9.5500,0.0500,962,
^VIX,2017-09-28,VIX,2017-10-04,16.000,P,0.0000,0.0000,0.0000,0.0000,0,26,5.2000,26,5.4000,9.7000,9.7000,275,5.0000,275,5.7000,9.5500,9.5500,0.0000,1010,
^VIX,2017-09-28,VIX,2017-10-04,17.000,C,0.0500,0.1000,0.0500,0.0500,956,0,0.0000,5907,0.1000,9.7000,9.7000,0,0.0000,20,0.0500,9.5500,9.5500,0.0526,22606,
^VIX,2017-09-28,VIX,2017-10-04,17.000,P,6.2600,6.2600,6.2600,6.2600,5,26,6.1000,26,6.4000,9.7000,9.7000,289,6.0000,275,6.7000,9.5500,9.5500,6.2600,1,
^VIX,2017-09-28,VIX,2017-10-04,18.000,C,0.0500,0.0500,0.0400,0.0400,88,0,0.0000,58,0.0500,9.7000,9.7000,0,0.0000,58,0.0500,9.5500,9.5500,0.0414,22299,
^VIX,2017-09-28,VIX,2017-10-04,18.000,P,0.0000,0.0000,0.0000,0.0000,0,26,7.1000,205,7.4000,9.7000,9.7000,291,7.0000,274,7.7000,9.5500,9.5500,0.0000,290,
^VIX,2017-09-28,VIX,2017-10-04,19.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1261,0.0500,9.7000,9.7000,0,0.0000,912,0.0500,9.5500,9.5500,0.0000,19492,
^VIX,2017-09-28,VIX,2017-10-04,19.000,P,0.0000,0.0000,0.0000,0.0000,0,26,8.1000,149,8.4000,9.7000,9.7000,216,8.0000,197,8.7000,9.5500,9.5500,0.0000,4,
^VIX,2017-09-28,VIX,2017-10-04,20.000,C,0.0500,0.0500,0.0500,0.0500,25,0,0.0000,1237,0.0500,9.7000,9.7000,0,0.0000,1261,0.0500,9.5500,9.5500,0.0500,6075,
