underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^VIX,2017-08-23,VIX,2017-08-23,9.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,11.7600,11.7600,0,0.0000,0,0.0000,12.2500,12.2500,0.0000,122,
^VIX,2017-08-23,VIX,2017-08-23,9.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,11.7600,11.7600,0,0.0000,0,0.0000,12.2500,12.2500,0.0000,3,
^VIX,2017-08-23,VIX,2017-08-23,9.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,11.7600,11.7600,0,0.0000,0,0.0000,12.2500,12.2500,0.0000,165,
^VIX,2017-08-23,VIX,2017-08-23,9.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,11.7600,11.7600,0,0.0000,0,0.0000,12.2500,12.2500,0.0000,852,
^VIX,2017-08-23,VIX,2017-08-23,10.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,11.7600,11.7600,0,0.0000,0,0.0000,12.2500,12.2500,0.0000,916,
^VIX,2017-08-23,VIX,2017-08-23,10.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,11.7600,11.7600,0,0.0000,0,0.0000,12.2500,12.2500,0.0000,2806,
^VIX,2017-08-23,VIX,2017-08-23,10.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,11.7600,11.7600,0,0.0000,0,0.0000,12.2500,12.2500,0.0000,223,
^VIX,2017-08-23,VIX,2017-08-23,10.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,11.7600,11.7600,0,0.0000,0,0.0000,12.2500,12.2500,0.0000,3881,
^VIX,2017-08-23,VIX,2017-08-23,11.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,11.7600,11.7600,0,0.0000,0,0.0000,12.2500,12.2500,0.0000,602,
^VIX,2017-08-23,VIX,2017-08-23,11.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,11.7600,11.7600,0,0.0000,0,0.0000,12.2500,12.2500,0.0000,5742,
